
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: Instagram-Face-9min
--------------------------------------------------------------------------------

Application output directory created at: output/Instagram-Face-9min
Output will be written to file: output/Instagram-Face-9min/Instagram-Face-9min.2020-11-12.040356.csv

Running test script with params: 
\t Application package name: \t\t com.instagram.android
\t Application local name: \t\t Instagram-Face-9min
\t Run time (milliseconds): \t\t\t 540000

  bash arg: -p
  bash arg: com.instagram.android
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=15ms (0ms mobile, 0ms wifi, 15ms not connected)

--------------------------------------------------------------------------------

App PID: 22333
Trial start time (ms): 1605171836304

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,540658,231,1.6,113468064,61037120,51890272,46,1308,7819780,540284,4135808,4211008,116,44,0,0,12,69,182521944,43945
2,1209,227,2.4,113468064,61037096,51890296,46,1308,7819780,441592,3997488,1077952832,229,60,0,0,12,80,182521944,53574
3,1926,6.8,2.7,113468064,61037096,51890296,46,1308,7819780,436360,3992272,1077952832,247,61,0,0,12,72,182521944,48415
4,2830,156,2.4,113468064,61037088,51890304,46,1308,7819780,477028,4032980,1077952832,374,90,0,0,12,95,182521944,51181
5,3706,37.9,2.6,113468064,61037076,51890316,46,1308,7819780,477696,4033656,1077952832,447,114,0,0,12,99,182521944,50799
6,4634,6.4,2.6,113468064,61037072,51890320,46,1308,7819780,476708,4032668,1077952832,481,131,0,0,12,85,182521944,53834
7,5551,16.6,2.7,113468064,61037188,51890204,46,1308,7819780,459764,4022192,1077952832,498,136,0,0,12,80,182521944,54298
8,6551,6.6,2.7,113468064,61037188,51890204,46,1308,7819780,460268,4022700,1077952832,504,137,0,0,12,77,182521944,54424
9,7525,0.0,2.7,113468064,61037208,51890184,46,1308,7819780,460920,4023352,1077952832,510,137,0,0,12,77,182521944,54357
10,8541,10.0,2.7,113468064,61037208,51890184,46,1308,7819780,461152,4023564,1077952832,524,138,0,0,12,77,182521944,54587
11,9508,3.4,2.7,113468064,61037208,51890184,46,1308,7819780,459528,4021948,1077952832,526,138,0,0,12,77,182521944,54587
12,10486,6.4,2.7,113468064,61037208,51890184,46,1308,7819780,459908,4022320,1077952832,531,145,0,0,12,77,182521944,54587
13,11507,10.3,2.7,113468064,61037208,51890184,46,1308,7819780,459768,4022180,1077952832,537,146,0,0,12,77,182521944,54588
14,12479,3.4,2.7,113468064,61037208,51890184,46,1308,7819780,459412,4021824,1077952832,539,146,0,0,12,77,182521944,54588
15,13484,3.2,2.7,113468064,61037208,51890184,46,1308,7819780,459392,4021804,1077952832,542,147,0,0,12,77,182521944,54588
16,14487,3.3,2.7,113468064,61037208,51890184,46,1308,7819780,459568,4021984,1077952832,543,148,0,0,12,77,182521944,54588
17,15467,3.2,2.7,113468064,61037204,51890188,46,1308,7819780,459400,4021816,1077952832,545,149,0,0,12,77,182521944,54588
18,16363,3.1,2.7,113468064,61037204,51890188,46,1308,7819780,459556,4021976,1077952832,547,149,0,0,12,77,182521944,54588
19,17375,0.0,2.7,113468064,61037204,51890188,46,1308,7819780,459544,4021964,1077952832,549,149,0,0,12,77,182521944,54588
