
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: Pinterest-9min
--------------------------------------------------------------------------------

Application output directory created at: output/Pinterest-9min
Output will be written to file: output/Pinterest-9min/Pinterest-9min.2020-11-11.082001.csv

Running test script with params: 
\t Application package name: \t\t com.pinterest
\t Application local name: \t\t Pinterest-9min
\t Run time (milliseconds): \t\t\t 540000

  bash arg: -p
  bash arg: com.pinterest
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=19ms (0ms mobile, 0ms wifi, 19ms not connected)

--------------------------------------------------------------------------------

App PID: 29455
Trial start time (ms): 1605100801427

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,540213,86.2,1.8,113468064,60679712,52247680,47,DNE,7819780,259564,2087496,1077952832,76,21,0,0,10,93,175418459,42824
2,1177,106,2.2,113468064,60679396,52247996,47,DNE,7819780,224756,2053436,1077952832,117,29,0,0,10,117,175418459,46988
3,1866,0.0,2.4,113468064,60679396,52247996,47,DNE,7819780,224560,2052696,1077952832,125,33,0,0,10,116,175418459,40548
4,2664,,,113468064,60679396,52247996,47,DNE,7819780,251752,2079920,1077952832,125,34,0,0,10,114,175418459,40822
5,3547,0.0,2.0,113468064,60679396,52247996,47,DNE,7819780,251380,2079556,1077952832,125,34,0,0,10,114,175418459,40822
6,4431,13.7,2.0,113468064,60679396,52247996,47,DNE,7819780,250700,2078880,1077952832,129,35,0,0,10,116,175418459,41290
7,5335,0.0,2.1,113468064,60679396,52247996,47,DNE,7819780,250940,2079120,1077952832,132,37,0,0,10,112,175418459,41733
8,6244,0.0,2.1,113468064,60679396,52247996,47,DNE,7819780,231264,2076392,1077952832,133,37,0,0,10,113,175418459,41734
9,7120,0.0,2.1,113468064,60679396,52247996,47,DNE,7819780,229436,2075544,1077952832,133,37,0,0,10,113,175418459,41662
10,8044,13.3,2.1,113468064,60679396,52247996,47,DNE,7819780,228160,2074284,1077952832,137,37,0,0,10,113,175418459,41880
11,8964,0.0,2.1,113468064,60679396,52247996,47,DNE,7819780,231308,2075272,1077952832,137,38,0,0,10,113,175418459,41880
