
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: Tiktok-Face-9min
--------------------------------------------------------------------------------

Application output directory created at: output/Tiktok-Face-9min
Output will be written to file: output/Tiktok-Face-9min/Tiktok-Face-9min.2020-11-12.041853.csv

Running test script with params: 
\t Application package name: \t\t com.zhiliaoapp.musically
\t Application local name: \t\t Tiktok-Face-9min
\t Run time (milliseconds): \t\t\t 540000

  bash arg: -p
  bash arg: com.zhiliaoapp.musically
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=16ms (0ms mobile, 0ms wifi, 16ms not connected)

--------------------------------------------------------------------------------

App PID: 23362
Trial start time (ms): 1605172733654

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,50.0,5.9,113468064,60940448,51986944,47,21160,7819780,243316,3680648,1077952832,18262,5978,21,62,10,166,182523996,115812
2,1707,50.0,5.9,113468064,60940448,51986944,47,21160,7819780,241620,3678836,1077952832,18299,5991,21,62,10,166,182523996,116093
3,2696,46.8,5.9,113468064,60940448,51986944,47,21160,7819780,240332,3677544,1077952832,18335,6003,21,62,10,166,182523996,116397
4,3674,53.1,5.9,113468064,60940412,51986980,47,21160,7819780,239036,3676248,1077952832,18378,6012,21,62,10,167,182523996,116729
5,4654,53.1,5.9,113468064,60940468,51986924,47,21160,7819780,237192,3674384,1077952832,18417,6022,21,62,10,167,182523996,117082
6,5624,43.7,5.9,113468064,60940468,51986924,47,21160,7819780,235196,3672388,1077952832,18450,6034,21,62,10,167,182523996,117307
7,6614,50.0,6.0,113468064,60940468,51986924,47,21160,7819780,245532,3683392,1077952832,18486,6046,21,62,10,167,182523996,117511
8,7587,43.7,6.0,113468064,60940468,51986924,47,21160,7819780,244492,3682276,1077952832,18522,6056,21,62,10,167,182523996,117854
9,8576,50.0,6.0,113468064,60940468,51986924,47,21160,7819780,242672,3680456,1077952832,18552,6073,21,62,10,162,182523996,118162
10,9544,50.0,6.0,113468064,60940468,51986924,47,21160,7819780,240516,3678304,1077952832,18587,6089,21,62,10,162,182523996,118456
11,10561,50.0,6.0,113468064,60940468,51986924,47,21160,7819780,239092,3676880,1077952832,18617,6105,21,62,10,162,182523996,118631
12,11540,50.0,6.0,113468064,60940468,51986924,47,21160,7819780,238052,3675840,1077952832,18655,6115,21,62,10,162,182523996,118868
13,12532,53.1,6.0,113468064,60940468,51986924,47,21160,7819780,236288,3674076,1077952832,18694,6126,21,62,10,162,182523996,119216
14,13528,53.1,6.1,113468064,60940468,51986924,47,21160,7819780,235416,3673080,1077952832,18736,6136,21,62,10,162,182523996,119459
15,14537,53.1,6.1,113468064,60940468,51986924,47,21160,7819780,232620,3670424,1077952832,18770,6150,21,62,10,162,182523996,119765
16,15526,50.0,6.1,113468064,60940468,51986924,47,21160,7819780,231048,3668852,4211008,18800,6167,21,62,10,162,182523996,120059
17,16524,53.1,6.1,113468064,60940436,51986956,47,21160,7819780,228844,3666668,1077952832,18855,6186,21,62,10,167,182523996,121153
18,17488,50.0,6.0,113468064,60940532,51986860,47,21160,7819780,240656,3678404,1077952832,18895,6201,21,62,10,168,182523996,113484
