
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: Snapchat-9min
--------------------------------------------------------------------------------

Application output directory created at: output/Snapchat-9min
Output will be written to file: output/Snapchat-9min/Snapchat-9min.2020-11-10.090856.csv

Running test script with params: 
\t Application package name: \t\t com.snapchat.android
\t Application local name: \t\t Snapchat-9min
\t Run time (milliseconds): \t\t\t 510000

  bash arg: -p
  bash arg: com.snapchat.android
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=24ms (0ms mobile, 0ms wifi, 24ms not connected)

--------------------------------------------------------------------------------

App PID: 16193
Trial start time (ms): 1605017336999

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,41.3,3.4,113468064,61548520,51378872,46,16,7819780,1123908,3347920,1077952832,1344,346,0,0,16,98,167065507,67047
2,1537,75.8,3.2,113468064,61548516,51378876,46,16,7819780,1120060,3160676,1077952832,1372,352,0,0,16,98,167065507,64191
3,2169,10.3,3.2,113468064,61548516,51378876,46,16,7819780,1118788,3159424,1077952832,1378,353,0,0,16,98,167065507,64191
4,3024,9.7,3.2,113468064,61549272,51378120,46,16,7819780,1120128,3160012,1077952832,1382,357,0,0,16,98,167065507,64191
5,3989,24.3,3.2,113468064,61549304,51378088,46,16,7819780,1120448,3160296,1077952832,1401,360,0,0,16,98,167065507,64334
6,5123,9.3,3.2,113468064,61549276,51378116,46,16,7819780,1097540,3137496,1077952832,1406,361,0,0,16,98,167065507,64401
7,5931,7.1,3.2,113468064,61549240,51378152,46,16,7819780,1048532,3089392,1077952832,1408,367,0,0,16,98,167065507,64395
8,6930,9.3,3.2,113468064,61549236,51378156,46,16,7819780,1072112,3112992,1077952832,1411,371,0,0,16,98,167065507,64395
9,7819,7.3,3.2,113468064,61549232,51378160,46,16,7819780,1072424,3113336,1077952832,1417,374,0,0,16,98,167065507,64395
10,8821,10.0,3.2,113468064,61549232,51378160,46,16,7819780,1072996,3113916,1077952832,1424,376,0,0,16,98,167065507,64395
11,9918,10.0,3.2,113468064,61549232,51378160,46,16,7819780,1073168,3114088,1077952832,1441,382,0,0,16,98,167065507,64629
12,11002,9.3,3.3,113468064,61549232,51378160,46,16,7819780,1071692,3112628,1077952832,1450,382,0,0,16,98,167065507,64503
13,11904,7.5,3.2,113468064,61549232,51378160,46,16,7819780,1073332,3114272,1077952832,1457,384,0,0,16,98,167065507,64503
14,12981,10.0,3.2,113468064,61549232,51378160,46,16,7819780,1077516,3118476,1077952832,1462,388,0,0,16,98,167065507,64503
15,14042,7.3,3.2,113468064,61549232,51378160,46,16,7819780,1077528,3118492,1077952832,1469,390,0,0,16,98,167065507,64368
16,15151,10.0,3.2,113468064,61549232,51378160,46,16,7819780,1077424,3118388,1077952832,1476,392,0,0,16,98,167065507,64368
17,16231,7.5,3.2,113468064,61549232,51378160,46,16,7819780,1077464,3118424,1077952832,1483,395,0,0,16,98,167065507,64426
18,17289,9.7,3.2,113468064,61549232,51378160,46,16,7819780,1077068,3118020,1077952832,1492,396,0,0,16,98,167065507,64426
19,18378,7.5,3.2,113468064,61549232,51378160,46,16,7819780,1075668,3116624,1077952832,1498,398,0,0,16,98,167065507,64426
20,19364,7.5,3.2,113468064,61549232,51378160,46,16,7819780,1077012,3117972,1077952832,1504,400,0,0,16,98,167065507,64493
21,20453,7.3,3.2,113468064,61549232,51378160,46,16,7819780,1077216,3118176,1077952832,1521,404,0,0,16,98,167065507,64575
22,21576,10.0,3.3,113468064,61549232,51378160,46,16,7819780,1080932,3121904,1077952832,1528,406,0,0,16,98,167065507,64463
23,22633,10.0,3.2,113468064,61549232,51378160,46,16,7819780,1080872,3121844,1077952832,1536,406,0,0,16,98,167065507,64463
24,23689,7.5,3.2,113468064,61549232,51378160,46,16,7819780,1080868,3121832,1077952832,1545,406,0,0,16,98,167065507,64463
25,24788,4.8,3.2,113468064,61549232,51378160,46,16,7819780,1081316,3122304,1077952832,1551,409,0,0,16,98,167065507,64463
26,25865,26.8,3.2,113468064,61549236,51378156,46,16,7819780,1080904,3121888,1077952832,1566,411,0,0,16,98,167065507,64619
27,26961,12.5,3.3,113468064,61549236,51378156,46,16,7819780,1081432,3122416,1077952832,1576,411,0,0,16,98,167065507,64686
28,28021,10.0,3.3,113468064,61549236,51378156,46,16,7819780,1081480,3122460,1077952832,1583,413,0,0,16,98,167065507,64686
29,29082,10.0,3.3,113468064,61549264,51378128,46,16,7819780,1082304,3123252,1077952832,1587,419,0,0,16,98,167065507,64528
30,30151,7.3,3.3,113468064,61549264,51378128,46,16,7819780,1080112,3121072,1077952832,1595,419,0,0,16,98,167065507,64528
31,31234,15.0,3.3,113468064,61549264,51378128,46,16,7819780,1080432,3121392,1077952832,1601,425,0,0,16,98,167065507,64541
32,32297,7.5,3.3,113468064,61549264,51378128,46,16,7819780,1081780,3122744,1077952832,1606,429,0,0,16,98,167065507,64570
33,33350,7.5,3.3,113468064,61549264,51378128,46,16,7819780,1081140,3122108,1077952832,1612,431,0,0,16,98,167065507,64570
34,34428,7.5,3.3,113468064,61549264,51378128,46,16,7819780,1081284,3122252,1077952832,1618,434,0,0,16,98,167065507,64570
35,35509,7.5,3.3,113468064,61549264,51378128,46,16,7819780,1082028,3122996,1077952832,1623,437,0,0,16,98,167065507,64570
36,36585,10.0,3.3,113468064,61549296,51378096,46,16,7819780,1082516,3123452,1077952832,1627,442,0,0,16,98,167065507,64638
37,37661,7.5,3.3,113468064,61549296,51378096,46,16,7819780,1081056,3121996,1077952832,1635,442,0,0,16,98,167065507,64638
38,38731,10.0,3.3,113468064,61549296,51378096,46,16,7819780,1080384,3121324,1077952832,1640,445,0,0,16,98,167065507,64638
39,39811,5.0,3.3,113468064,61549296,51378096,46,16,7819780,1082228,3123168,1077952832,1646,447,0,0,16,98,167065507,64678
40,40779,7.5,3.3,113468064,61549296,51378096,46,16,7819780,1082384,3123324,1077952832,1654,447,0,0,16,98,167065507,64678
41,41849,7.3,3.3,113468064,61549296,51378096,46,16,7819780,1082432,3123376,1077952832,1661,449,0,0,16,98,167065507,64678
42,42942,10.0,3.3,113468064,61549296,51378096,46,16,7819780,1082012,3122952,1077952832,1668,451,0,0,16,98,167065507,64533
43,43992,7.3,3.3,113468064,61549296,51378096,46,16,7819780,1081856,3122796,1077952832,1673,454,0,0,16,98,167065507,64533
44,45092,7.3,3.3,113468064,61549296,51378096,46,16,7819780,1079760,3120700,1077952832,1677,459,0,0,16,98,167065507,64533
45,46153,7.3,3.3,113468064,61549296,51378096,46,16,7819780,1081824,3122764,1077952832,1683,462,0,0,16,98,167065507,64533
46,47248,7.3,3.3,113468064,61549296,51378096,46,16,7819780,1081216,3122156,1077952832,1696,469,0,0,16,98,167065507,64765
47,48341,5.0,3.3,113468064,61549296,51378096,46,16,7819780,1080784,3121724,1077952832,1702,470,0,0,16,98,167065507,64765
48,49314,7.5,3.3,113468064,61549296,51378096,46,16,7819780,1082364,3123304,1077952832,1709,471,0,0,16,98,167065507,64765
49,50369,7.5,3.3,113468064,61549296,51378096,46,16,7819780,1083256,3124196,1077952832,1718,475,0,0,16,98,167065507,64749
50,51449,10.0,3.3,113468064,61549296,51378096,46,16,7819780,1081628,3122568,1077952832,1726,476,0,0,16,98,167065507,64749
51,52523,7.5,3.3,113468064,61549296,51378096,46,16,7819780,1081504,3122448,1077952832,1731,480,0,0,16,98,167065507,64818
52,53610,7.5,3.3,113468064,61549296,51378096,46,16,7819780,1080400,3121360,1077952832,1736,483,0,0,16,98,167065507,64818
53,54671,7.5,3.3,113468064,61549296,51378096,46,16,7819780,1080692,3121672,1077952832,1740,488,0,0,16,98,167065507,64818
54,55775,9.7,3.3,113468064,61549296,51378096,46,16,7819780,1080800,3121780,1077952832,1746,490,0,0,16,98,167065507,64818
55,56800,10.0,3.3,113468064,61549296,51378096,46,16,7819780,1079836,3120816,1077952832,1752,493,0,0,16,98,167065507,64886
56,57856,9.7,3.3,113468064,61549296,51378096,46,16,7819780,1079540,3120520,1077952832,1760,493,0,0,16,98,167065507,64708
57,58932,9.7,3.3,113468064,61549296,51378096,46,16,7819780,1080344,3121324,1077952832,1767,495,0,0,16,98,167065507,64708
58,59981,9.7,3.3,113468064,61549296,51378096,46,16,7819780,1078508,3119488,1077952832,1774,496,0,0,16,98,167065507,64708
59,61032,7.3,3.3,113468064,61549300,51378092,46,16,7819780,1079904,3120880,1077952832,1784,499,0,0,16,97,167065507,64737
60,62115,7.3,3.3,113468064,61549300,51378092,46,16,7819780,1080140,3121120,1077952832,1791,500,0,0,16,97,167065507,64737
61,63185,7.3,3.3,113468064,61549300,51378092,46,16,7819780,1080448,3121428,1077952832,1797,502,0,0,16,97,167065507,64804
62,64264,7.3,3.3,113468064,61549300,51378092,46,16,7819780,1080164,3121144,1077952832,1802,506,0,0,16,97,167065507,64804
63,65340,7.5,3.3,113468064,61549300,51378092,46,16,7819780,1079416,3120396,1077952832,1808,508,0,0,16,97,167065507,64804
64,66393,37.8,3.3,113468064,61548832,51378560,46,16,7819780,1029844,3114400,1077952832,1823,512,0,0,16,98,167065507,64779
