
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: Instagram-Face-9min
--------------------------------------------------------------------------------

Application output directory created at: output/Instagram-Face-9min
Output will be written to file: output/Instagram-Face-9min/Instagram-Face-9min.2020-11-12.034031.csv

Running test script with params: 
\t Application package name: \t\t com.instagram.android
\t Application local name: \t\t Instagram-Face-9min
\t Run time (milliseconds): \t\t\t 540000

  bash arg: -p
  bash arg: com.instagram.android
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=14ms (0ms mobile, 0ms wifi, 14ms not connected)

--------------------------------------------------------------------------------

App PID: 5100
Trial start time (ms): 1605170431208

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,540442,R,217,113468064,61044960,51882432,46,1308,7819780,511788,4092816,4211008,118,26,0,0,12,61,182381432,42978
2,1170,R,216,113468064,61044864,51882528,46,1308,7819780,411588,3953260,1077952832,241,45,0,0,12,82,182381432,54478
3,1903,186,2.7,113468064,61044820,51882572,46,1308,7819780,384552,3926200,1077952832,367,76,0,0,12,94,182381432,48515
4,2688,30.0,2.8,113468064,61044832,51882560,46,1308,7819780,403468,3945364,1077952832,425,86,0,0,12,98,182381432,54964
5,3638,13.3,2.8,113468064,61044832,51882560,46,1308,7819780,424792,3965888,1077952832,455,96,0,0,12,90,182381432,57472
6,4553,17.2,2.6,113468064,61044816,51882576,46,1308,7819780,435588,3979024,1077952832,487,115,0,0,12,85,182381432,52845
7,5505,3.2,2.7,113468064,61044816,51882576,46,1308,7819780,434868,3978340,1077952832,493,116,0,0,12,78,182381432,53933
8,6487,3.3,2.7,113468064,61044836,51882556,46,1308,7819780,436288,3979764,1077952832,496,118,0,0,12,78,182381432,53933
9,7470,0.0,2.7,113468064,61044836,51882556,46,1308,7819780,437428,3980892,1077952832,498,118,0,0,12,78,182381432,53865
10,8458,17.2,2.7,113468064,61044836,51882556,46,1308,7819780,438568,3982032,1077952832,512,120,0,0,12,78,182381432,54137
11,9437,3.3,2.7,113468064,61044836,51882556,46,1308,7819780,438104,3981796,1077952832,515,120,0,0,12,78,182381432,54137
12,10407,6.4,2.7,113468064,61044836,51882556,46,1308,7819780,437836,3981564,1077952832,523,124,0,0,12,78,182381432,54138
13,11422,10.0,2.7,113468064,61044836,51882556,46,1308,7819780,437936,3981664,1077952832,530,124,0,0,12,78,182381432,54139
14,12416,0.0,2.7,113468064,61044868,51882524,46,1308,7819780,439092,3982788,1077952832,532,124,0,0,12,78,182381432,54139
15,13388,3.1,2.7,113468064,61044868,51882524,46,1308,7819780,438832,3982528,1077952832,534,125,0,0,12,78,182381432,54140
