
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: Pinterest-9min
--------------------------------------------------------------------------------

Application output directory created at: output/Pinterest-9min
Output will be written to file: output/Pinterest-9min/Pinterest-9min.2020-11-11.081100.csv

Running test script with params: 
\t Application package name: \t\t com.pinterest
\t Application local name: \t\t Pinterest-9min
\t Run time (milliseconds): \t\t\t 540000

  bash arg: -p
  bash arg: com.pinterest
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=16ms (0ms mobile, 0ms wifi, 16ms not connected)

--------------------------------------------------------------------------------

App PID: 22145
Trial start time (ms): 1605100260994

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,540272,96.5,1.4,113468064,60708860,52218532,47,DNE,7819780,284844,1999848,4211008,59,14,0,0,10,88,175364433,39659
2,1325,227,2.2,113468064,60704456,52222936,47,DNE,7819780,210812,1903200,1077952832,155,45,0,0,10,141,175364433,50977
3,2026,3.4,2.6,113468064,60704456,52222936,47,DNE,7819780,206428,1898832,1077952832,163,50,0,0,10,140,175364433,42932
4,2875,0.0,2.1,113468064,60704452,52222940,47,DNE,7819780,251508,1944300,1077952832,164,50,0,0,10,138,175364433,42990
5,3775,3.4,2.1,113468064,60704456,52222936,47,DNE,7819780,250348,1943256,1077952832,164,51,0,0,10,138,175364433,42990
6,4660,6.8,2.1,113468064,60704440,52222952,47,DNE,7819780,267740,1961276,1077952832,166,52,0,0,10,136,175364433,43044
7,5568,0.0,2.2,113468064,60704440,52222952,47,DNE,7819780,266916,1960492,1077952832,172,52,0,0,10,132,175364433,44846
8,6473,3.3,2.2,113468064,60704440,52222952,47,DNE,7819780,266704,1960280,1077952832,173,52,0,0,10,133,175364433,44849
9,7381,0.0,2.2,113468064,60704440,52222952,47,DNE,7819780,267016,1960592,1077952832,173,52,0,0,10,133,175364433,44766
10,8318,24.1,2.2,113468064,60704428,52222964,47,DNE,7819780,268100,1961704,1077952832,180,52,0,0,10,133,175364433,44854
11,9220,0.0,2.2,113468064,60704428,52222964,47,DNE,7819780,267788,1961392,1077952832,181,52,0,0,10,133,175364433,44854
12,10116,0.0,2.2,113468064,60704428,52222964,47,DNE,7819780,267744,1961628,1077952832,183,53,0,0,10,132,175364433,44859
13,11014,10.0,2.2,113468064,60704428,52222964,47,DNE,7819780,263776,1958852,1077952832,184,55,0,0,10,132,175364433,44882
14,11898,6.8,2.2,113468064,60704428,52222964,47,DNE,7819780,247388,1946376,1077952832,187,56,0,0,10,132,175364433,44883
15,12847,17.2,2.2,113468064,60704416,52222976,47,DNE,7819780,246176,1945824,1077952832,191,58,0,0,10,134,175364433,45529
16,13733,6.2,2.3,113468064,60704416,52222976,47,DNE,7819780,237400,1937248,1077952832,210,58,0,0,10,134,175364433,45968
17,14673,3.3,2.3,113468064,60704416,52222976,47,DNE,7819780,236560,1936408,1077952832,212,60,0,0,10,134,175364433,45968
18,15593,12.9,2.3,113468064,60704416,52222976,47,DNE,7819780,235476,1935324,1077952832,221,60,0,0,10,134,175364433,47982
19,16535,10.3,2.4,113468064,60704416,52222976,47,DNE,7819780,234764,1934628,1077952832,229,60,0,0,10,134,175364433,47982
20,17442,13.3,2.4,113468064,60704416,52222976,47,DNE,7819780,234552,1934416,1077952832,237,60,0,0,10,134,175364433,47982
21,18358,13.3,2.4,113468064,60704416,52222976,47,DNE,7819780,234732,1934612,1077952832,246,60,0,0,10,134,175364433,47982
22,19263,12.9,2.4,113468064,60704416,52222976,47,DNE,7819780,231864,1931748,1077952832,254,60,0,0,10,134,175364433,47982
23,20154,13.3,2.4,113468064,60704416,52222976,47,DNE,7819780,230312,1930204,1077952832,265,60,0,0,10,134,175364433,48434
24,21062,13.3,2.4,113468064,60704416,52222976,47,DNE,7819780,229912,1929804,1077952832,273,61,0,0,10,134,175364433,48434
25,21977,6.8,2.4,113468064,60704416,52222976,47,DNE,7819780,229148,1929056,1077952832,281,61,0,0,10,134,175364433,48434
26,22888,13.3,2.4,113468064,60704416,52222976,47,DNE,7819780,229396,1929304,1077952832,289,61,0,0,10,134,175364433,48434
27,23782,10.3,2.4,113468064,60704416,52222976,47,DNE,7819780,229940,1929848,1077952832,296,62,0,0,10,134,175364433,48434
28,24667,9.3,2.4,113468064,60704416,52222976,47,DNE,7819780,228156,1928068,1077952832,304,62,0,0,10,134,175364433,48434
29,25595,6.6,2.4,113468064,60704416,52222976,47,DNE,7819780,227928,1927620,1077952832,310,62,0,0,10,134,175364433,48434
30,26514,9.6,2.4,113468064,60704416,52222976,47,DNE,7819780,227876,1927472,1077952832,319,62,0,0,10,134,175364433,48434
31,27455,9.6,2.4,113468064,60704416,52222976,47,DNE,7819780,227400,1926996,1077952832,326,62,0,0,10,134,175364433,48434
32,28418,13.7,2.4,113468064,60704416,52222976,47,DNE,7819780,226952,1926548,1077952832,336,62,0,0,10,134,175364433,48434
33,29324,10.0,2.4,113468064,60704416,52222976,47,DNE,7819780,225928,1924764,1077952832,345,62,0,0,10,134,175364433,48434
34,30207,6.6,2.4,113468064,60704416,52222976,47,DNE,7819780,225808,1924020,1077952832,355,62,0,0,10,134,175364433,48434
35,31102,13.7,2.4,113468064,60704416,52222976,47,DNE,7819780,226428,1924640,1077952832,364,63,0,0,10,133,175364433,48434
36,32006,10.3,2.4,113468064,60704416,52222976,47,DNE,7819780,225772,1923984,1077952832,372,63,0,0,10,133,175364433,48434
37,32916,13.3,2.4,113468064,60704416,52222976,47,DNE,7819780,222972,1921184,1077952832,379,64,0,0,10,133,175364433,48434
38,33818,13.7,2.4,113468064,60704416,52222976,47,DNE,7819780,222948,1921160,1077952832,386,65,0,0,10,133,175364433,48434
39,34716,9.6,2.4,113468064,60704416,52222976,47,DNE,7819780,222432,1920304,1077952832,393,66,0,0,10,133,175364433,48434
40,35638,13.7,2.4,113468064,60704416,52222976,47,DNE,7819780,221696,1919568,1077952832,404,67,0,0,10,132,175364433,48429
41,36548,12.9,2.4,113468064,60704416,52222976,47,DNE,7819780,220108,1917980,1077952832,412,69,0,0,10,132,175364433,48429
42,37501,13.7,2.4,113468064,60704416,52222976,47,DNE,7819780,220288,1918160,1077952832,421,69,0,0,10,132,175364433,48429
43,38392,13.3,2.4,113468064,60704416,52222976,47,DNE,7819780,219396,1917268,1077952832,430,69,0,0,10,132,175364433,48429
44,39288,9.6,2.4,113468064,60704416,52222976,47,DNE,7819780,219108,1916980,1077952832,438,69,0,0,10,132,175364433,48429
45,40260,13.7,2.4,113468064,60704416,52222976,47,DNE,7819780,219076,1916952,1077952832,447,69,0,0,10,132,175364433,51161
46,41151,12.9,2.6,113468064,60704448,52222944,47,DNE,7819780,218412,1916292,1077952832,456,70,0,0,10,132,175364433,51161
47,42055,12.9,2.6,113468064,60704448,52222944,47,DNE,7819780,218040,1915888,1077952832,467,70,0,0,10,132,175364433,51161
48,42987,12.9,2.6,113468064,60704448,52222944,47,DNE,7819780,217544,1915392,1077952832,477,71,0,0,10,132,175364433,51161
49,43919,6.6,2.6,113468064,60686016,52241376,47,DNE,7819780,196312,1912796,1077952832,493,79,0,0,10,132,175364433,52126
50,44757,6.4,2.3,113468064,60686016,52241376,47,DNE,7819780,210212,1926888,1077952832,508,81,0,0,10,132,175364433,46262
51,45674,12.9,2.4,113468064,60686016,52241376,47,DNE,7819780,209012,1925704,1077952832,517,81,0,0,10,132,175364433,48560
52,46610,12.9,2.4,113468064,60686016,52241376,47,DNE,7819780,208128,1924820,1077952832,524,82,0,0,10,132,175364433,48560
53,47581,10.3,2.4,113468064,60686016,52241376,47,DNE,7819780,207352,1923520,1077952832,532,83,0,0,10,132,175364433,48560
54,48471,36.6,2.5,113468064,60686016,52241376,47,DNE,7819780,216644,1932812,1077952832,550,83,0,0,10,132,175364433,46613
55,49371,12.9,2.3,113468064,60686016,52241376,47,DNE,7819780,216276,1932444,1077952832,560,83,0,0,10,132,175364433,46612
56,50314,12.9,2.3,113468064,60686016,52241376,47,DNE,7819780,214628,1930460,1077952832,570,83,0,0,10,132,175364433,46865
57,51278,10.0,2.3,113468064,60686016,52241376,47,DNE,7819780,214588,1930336,1077952832,579,83,0,0,10,132,175364433,46865
58,52182,13.3,2.3,113468064,60686016,52241376,47,DNE,7819780,214144,1929892,1077952832,588,83,0,0,10,132,175364433,47241
59,53082,10.3,2.4,113468064,60686016,52241376,47,DNE,7819780,213912,1929660,1077952832,598,83,0,0,10,132,175364433,47241
60,53955,13.7,2.4,113468064,60686016,52241376,47,DNE,7819780,213524,1929272,1077952832,608,84,0,0,10,132,175364433,47241
61,54825,13.7,2.4,113468064,60686016,52241376,47,DNE,7819780,212904,1928652,1077952832,618,85,0,0,10,132,175364433,47241
62,55713,9.6,2.4,113468064,60686016,52241376,47,DNE,7819780,211420,1927176,1077952832,625,85,0,0,10,132,175364433,47241
63,56644,9.6,2.4,113468064,60686016,52241376,47,DNE,7819780,212164,1927920,1077952832,631,86,0,0,10,132,175364433,47241
64,57597,6.6,2.4,113468064,60686016,52241376,47,DNE,7819780,210832,1926588,1077952832,640,86,0,0,10,132,175364433,47241
65,58498,10.0,2.4,113468064,60686016,52241376,47,DNE,7819780,210952,1926708,1077952832,649,87,0,0,10,132,175364433,48013
