
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: Snapchat-Face-9min
--------------------------------------------------------------------------------

Application output directory created at: output/Snapchat-Face-9min
Output will be written to file: output/Snapchat-Face-9min/Snapchat-Face-9min.2020-11-11.100544.csv

Running test script with params: 
\t Application package name: \t\t com.snapchat.android
\t Application local name: \t\t Snapchat-Face-9min
\t Run time (milliseconds): \t\t\t 540000

  bash arg: -p
  bash arg: com.snapchat.android
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=25ms (0ms mobile, 0ms wifi, 25ms not connected)

--------------------------------------------------------------------------------

App PID: 19232
Trial start time (ms): 1605107144093

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,540345,327,1.8,113468064,60551836,52375556,47,16,7819780,377796,1586416,1077952832,201,80,0,0,16,89,176052725,56530
2,1317,169,3.3,113468064,60551844,52375548,47,16,7819780,305984,1330476,1077952832,388,115,0,0,16,92,176052725,66508
3,2121,82.7,3.3,113468064,60551788,52375604,47,16,7819780,349712,1374336,1077952832,423,118,0,0,16,92,176052725,53962
4,2999,547,3.0,113468064,60547924,52379468,47,16,7819780,288296,1328804,1077952832,754,189,0,0,16,115,176052725,71593
5,4104,137,3.9,113468064,60545736,52381656,47,16,7819780,273192,1329168,1077952832,876,211,0,0,16,114,176052725,71690
6,5091,65.6,3.6,113468064,60545736,52381656,47,16,7819780,268960,1325012,1077952832,918,225,0,0,16,109,176052725,72296
7,6086,87.5,3.6,113468064,60545728,52381664,47,16,7819780,270576,1327236,4211008,977,242,0,0,16,109,176052725,74133
8,7052,62.5,3.7,113468064,60545728,52381664,47,16,7819780,271988,1328656,4211008,1023,257,0,0,16,109,176052725,73628
9,8040,106,3.8,113468064,60545728,52381664,47,16,7819780,267416,1324096,1077952832,1095,278,0,0,16,109,176052725,75783
10,9023,271,3.8,113468064,60545724,52381668,47,16,7819780,239816,1298000,1077952832,1254,308,0,0,16,113,176052725,88148
11,9998,124,4.4,113468064,60545724,52381668,47,16,7819780,247744,1306240,1077952832,1366,328,0,0,16,111,176052725,86793
