
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: Snow-Face-9min
--------------------------------------------------------------------------------

Application output directory created at: output/Snow-Face-9min
Output will be written to file: output/Snow-Face-9min/Snow-Face-9min.2020-11-11.104713.csv

Running test script with params: 
\t Application package name: \t\t com.campmobile.snow
\t Application local name: \t\t Snow-Face-9min
\t Run time (milliseconds): \t\t\t 540000

  bash arg: -p
  bash arg: com.campmobile.snow
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=24ms (0ms mobile, 0ms wifi, 24ms not connected)

--------------------------------------------------------------------------------

App PID: 14440
Trial start time (ms): 1605109633779

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,540048,406,1.7,113468064,60499368,52428024,47,87064,7819780,577464,2166780,1077952832,148,71,0,0,10,114,176301699,55631
2,1366,337,3.4,113468064,60499296,52428096,47,87064,7819780,282888,1321084,1077952832,315,104,0,0,10,142,176301699,79500
3,2131,162,4.1,113468064,60499296,52428096,47,87064,7819780,338512,1377580,1077952832,430,118,0,0,10,141,176301699,48887
4,2991,53.1,2.1,113468064,60499292,52428100,47,87064,7819780,347848,1386692,1077952832,490,131,0,0,10,138,176301699,41738
5,3998,112,2.1,113468064,60499296,52428096,47,87064,7819780,345424,1384324,1077952832,572,152,0,0,10,134,176301699,42140
6,4984,78.7,2.1,113468064,60499296,52428096,47,87064,7819780,346632,1385496,1077952832,632,184,0,0,10,127,176301699,42333
7,5991,75.0,2.1,113468064,60499288,52428104,47,87064,7819780,327512,1366596,4211008,728,207,0,0,10,119,176301699,42454
8,6963,193,2.2,113468064,60499272,52428120,47,87064,7819780,300604,1372032,1077952832,879,237,0,0,10,119,176301699,45464
9,7963,184,2.3,113468064,60499268,52428124,47,87064,7819780,289180,1360672,1077952832,965,273,0,0,10,120,176301699,61809
10,8925,96.8,3.1,113468064,60499268,52428124,47,87064,7819780,271340,1345288,1077952832,1031,302,0,0,10,120,176301699,61876
11,9916,56.2,3.1,113468064,60499268,52428124,47,87064,7819780,284472,1358700,4211008,1070,313,0,0,10,121,176301699,61593
12,10904,87.5,3.1,113468064,60499268,52428124,47,87064,7819780,303320,1377548,1077952832,1120,322,0,0,10,121,176301699,59483
13,11887,40.6,3.0,113468064,60499268,52428124,47,87064,7819780,295400,1369472,1077952832,1154,326,0,0,10,121,176301699,59419
14,12895,40.6,3.0,113468064,60499268,52428124,47,87064,7819780,294244,1368116,1077952832,1183,332,0,0,10,121,176301699,59389
15,13864,30.3,3.0,113468064,60499268,52428124,47,87064,7819780,294924,1368684,1077952832,1213,336,0,0,10,121,176301699,59326
16,14884,40.6,3.0,113468064,60499268,52428124,47,87064,7819780,294456,1368084,1077952832,1243,341,0,0,10,121,176301699,59327
17,15924,37.5,3.0,113468064,60499268,52428124,47,87064,7819780,290380,1364008,1077952832,1278,343,0,0,10,121,176301699,59286
18,16956,37.5,3.0,113468064,60499268,52428124,47,87064,7819780,285148,1358776,1077952832,1307,349,0,0,10,121,176301699,59286
19,17957,31.2,3.0,113468064,60499268,52428124,47,87064,7819780,293788,1367424,1077952832,1336,353,0,0,10,121,176301699,59235
20,18919,39.3,3.0,113468064,60499268,52428124,47,87064,7819780,294688,1368324,1077952832,1365,358,0,0,10,121,176301699,59205
21,19825,42.4,3.0,113468064,60499268,52428124,47,87064,7819780,295080,1368716,1077952832,1397,360,0,0,10,121,176301699,59176
22,20716,40.6,3.0,113468064,60499268,52428124,47,87064,7819780,295288,1368924,1077952832,1426,365,0,0,10,121,176301699,59181
23,21648,28.1,3.0,113468064,60499268,52428124,47,87064,7819780,294752,1368060,1077952832,1454,369,0,0,10,121,176301699,59043
24,22640,40.6,3.0,113468064,60499268,52428124,47,87064,7819780,294672,1367848,1077952832,1485,374,0,0,10,121,176301699,59043
25,23577,31.2,3.0,113468064,60499268,52428124,47,87064,7819780,295212,1368388,1077952832,1513,376,0,0,10,121,176301699,59024
26,24575,28.1,3.0,113468064,60499268,52428124,47,87064,7819780,294012,1367188,1077952832,1545,379,0,0,10,121,176301699,58989
27,25573,42.4,3.0,113468064,60499268,52428124,47,87064,7819780,295628,1368808,1077952832,1578,384,0,0,10,121,176301699,58954
28,26564,33.3,3.0,113468064,60499268,52428124,47,87064,7819780,295116,1368296,1077952832,1609,388,0,0,10,121,176301699,58919
29,27589,40.6,3.0,113468064,60499268,52428124,47,87064,7819780,295504,1368472,1077952832,1639,396,0,0,10,121,176301699,58832
30,28603,34.3,3.0,113468064,60499268,52428124,47,87064,7819780,295116,1368084,1077952832,1669,399,0,0,10,121,176301699,58832
31,29585,31.2,3.0,113468064,60499264,52428128,47,87064,7819780,296448,1369424,1077952832,1696,404,0,0,10,121,176301699,58768
