
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: Tiktok-Face-9min
--------------------------------------------------------------------------------

Application output directory created at: output/Tiktok-Face-9min
Output will be written to file: output/Tiktok-Face-9min/Tiktok-Face-9min.2020-11-12.042754.csv

Running test script with params: 
\t Application package name: \t\t com.zhiliaoapp.musically
\t Application local name: \t\t Tiktok-Face-9min
\t Run time (milliseconds): \t\t\t 540000

  bash arg: -p
  bash arg: com.zhiliaoapp.musically
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=14ms (0ms mobile, 0ms wifi, 14ms not connected)

--------------------------------------------------------------------------------

App PID: 8005
Trial start time (ms): 1605173274405

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,540417,389,1.9,113468064,60953704,51973688,47,21236,7819780,599040,4130260,1077952832,158,67,0,0,10,128,182665753,64769
2,1287,75.8,3.4,113468064,60953808,51973584,47,21316,7819780,545620,4100244,1077952832,205,90,0,0,10,169,182665753,72253
3,2036,72.4,3.7,113468064,60944840,51982552,47,21316,7819780,620896,4091052,1077952832,249,108,0,0,10,168,182665753,53175
4,2921,120,2.7,113468064,60944836,51982556,47,21324,7819780,572560,4032324,1077952832,307,144,0,2,10,201,182665753,63765
5,3859,141,3.2,113468064,60942776,51984616,47,21324,7819780,529620,3991284,1077952832,371,237,0,21,10,211,182665753,68904
6,4861,110,3.7,113468064,60942756,51984636,47,21324,7819780,393236,3766320,4211008,445,267,0,21,10,230,182665753,78542
7,5648,217,4.0,113468064,60942676,51984716,47,21324,7819780,373424,3723436,4211008,561,395,5,44,10,243,182665753,85665
8,6789,R,200,113468064,60942688,51984704,47,21340,7819780,384544,3731868,1077952832,683,473,15,63,10,250,182665753,78421
9,7872,206,3.9,113468064,60942684,51984708,47,21392,7819780,372324,3719272,1077952832,913,508,17,64,10,255,182665753,78769
10,8871,294,4.1,113468064,60942000,51985392,47,22188,7819780,358564,3707588,4211008,1105,576,17,64,10,257,182665753,81333
11,9871,103,4.1,113468064,60941948,51985444,47,22244,7819780,350276,3698228,1077952832,1180,597,17,64,10,257,182665753,83281
12,10769,87.5,4.2,113468064,60941944,51985448,47,22244,7819780,345308,3693208,1077952832,1244,614,17,64,10,258,182665753,84303
13,11752,56.2,4.3,113468064,60941944,51985448,47,22244,7819780,342956,3690856,1077952832,1281,627,17,64,10,258,182665753,84607
14,12750,53.1,4.1,113468064,60941944,51985448,47,22244,7819780,359368,3707304,1077952832,1340,644,17,64,10,259,182665753,80212
15,13725,50.0,4.0,113468064,60941944,51985448,47,22244,7819780,361568,3709216,1077952832,1372,660,17,64,10,259,182665753,80053
16,14682,R,53.1,113468064,60941944,51985448,47,22244,7819780,360024,3706232,1077952832,1408,672,17,64,10,257,182665753,80394
17,15685,50.0,4.1,113468064,60941944,51985448,47,22244,7819780,358632,3704840,1077952832,1457,689,17,64,10,256,182665753,80630
18,16704,R,53.1,113468064,60941944,51985448,47,22244,7819780,356656,3702576,1077952832,1494,709,17,64,10,256,182665753,81074
19,17702,75.0,4.1,113468064,60941944,51985448,47,22244,7819780,353664,3699540,1077952832,1532,729,17,64,10,258,182665753,82757
20,18726,68.7,4.2,113468064,60941944,51985448,47,22244,7819780,350732,3696608,1077952832,1573,745,17,64,10,251,182665753,84172
21,19744,48.4,4.3,113468064,60941944,51985448,47,22244,7819780,350000,3695300,1077952832,1610,757,17,64,10,248,182665753,85041
22,20740,56.2,4.3,113468064,60941944,51985448,47,22244,7819780,346820,3692120,1077952832,1644,774,17,64,10,247,182665753,85249
23,21702,53.1,4.3,113468064,60941944,51985448,47,22244,7819780,349060,3694072,1077952832,1675,791,17,64,10,247,182665753,84529
24,22671,53.1,4.3,113468064,60941944,51985448,47,22244,7819780,352792,3696940,1077952832,1710,803,17,64,10,246,182665753,84800
25,23628,50.0,4.3,113468064,60941944,51985448,47,22244,7819780,350340,3694488,1077952832,1750,814,17,64,10,246,182665753,85003
26,24653,51.5,4.3,113468064,60941944,51985448,47,22244,7819780,349728,3693876,1077952832,1791,826,17,64,10,246,182665753,85424
27,25656,50.0,4.4,113468064,60941944,51985448,47,22244,7819780,349968,3693540,1077952832,1831,832,17,64,10,245,182665753,87168
28,26615,51.5,4.4,113468064,60941944,51985448,47,22244,7819780,348256,3691828,1077952832,1864,848,17,64,10,245,182665753,87374
29,27611,50.0,4.4,113468064,60941944,51985448,47,22244,7819780,348216,3691788,1077952832,1896,865,17,64,10,245,182665753,87371
30,28593,53.1,4.4,113468064,60941944,51985448,47,22244,7819780,346408,3689692,1077952832,1929,878,17,64,10,245,182665753,87611
