
--------------------------------------------------------------------------------
 	 MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 	 TESTING APPLICATION: barcodes
--------------------------------------------------------------------------------

Application output directory created at: output/barcodes
Output will be written to file: output/barcodes/barcodes.2020-06-09.172220.csv

Running test script with params: 
	 Application package name: 		 edu.temple.mar_security.headless_fb
	 Application local name: 		 barcodes
	 Run time (milliseconds): 			 780000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=91ms (0ms mobile, 0ms wifi, 91ms not connected)

--------------------------------------------------------------------------------

App PID: 17471
Trial start time (ms): 1591737740683

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,100,3.3,54725904,46579272,8146632,15,1958204,3667668,298508,1896664,4211008,169,11,0,0,10,25,581399,31067
2,3366,96.7,3.3,54725904,46578504,8147400,15,1958968,3667668,333220,1896684,1077952832,348,13,0,0,10,25,581399,31092
3,5387,103,4.0,54725904,46577876,8148028,15,1959600,3667668,304012,1873236,1077952832,535,15,0,0,10,21,581399,37238
4,7410,100,3.2,54725904,46577980,8147924,15,1959496,3667668,346208,1904944,4211008,727,18,0,0,10,21,581399,28745
5,9444,103,3.4,54725904,46578100,8147804,15,1959376,3667668,337024,1900500,4211008,906,21,0,0,10,21,581399,31307
6,11446,103,3.7,54725904,46578000,8147904,15,1959476,3667668,365680,1933996,4211008,1089,25,0,0,10,21,581399,22788
7,13487,96.7,3.4,54725904,46577996,8147908,15,1959480,3667668,327212,1899920,4211008,1270,28,0,0,10,21,581399,31481
8,15528,96.8,3.6,54725904,46578004,8147900,15,1959472,3667668,311148,1887576,4211008,1449,30,0,0,10,21,581399,22843
9,17561,96.8,3.0,54725904,46577996,8147908,15,1959480,3667668,320568,1900344,4211008,1629,35,0,0,10,21,581399,31329
10,19614,54.8,2.7,54725904,46578036,8147868,15,1959440,3667668,322272,1892020,1077952832,1800,42,0,0,10,21,581399,34865
11,21630,34.3,2.4,54725904,46578020,8147884,15,1959456,3667668,331628,1905488,1077952832,1983,49,0,0,10,21,581399,31272
12,23699,61.2,3.4,54725904,46578004,8147900,15,1959472,3667668,325172,1899336,1077952832,2162,52,0,0,10,21,581399,34024
13,25737,100,2.4,54725904,46578032,8147872,15,1959444,3667668,348152,1923268,1077952832,2349,54,0,0,10,21,581399,29077
14,27766,100,3.2,54725904,46578044,8147860,15,1959432,3667668,333892,1913468,1077952832,2528,59,0,0,10,21,581399,27718
15,29790,96.7,3.4,54725904,46578044,8147860,15,1959440,3667668,324552,1893064,1077952832,2707,62,0,0,10,20,581399,26073
16,31824,96.8,2.5,54725904,46578036,8147868,15,1959452,3667668,361164,1933784,1077952832,2900,67,0,0,10,20,581399,22314
17,33875,93.7,3.4,54725904,46578024,8147880,15,1959452,3667668,323116,1900032,4211008,3087,69,0,0,10,20,581399,31338
18,35889,93.5,2.5,54725904,46578032,8147872,15,1959444,3667668,358640,1932576,4211008,3265,76,0,0,10,20,581399,22863
19,37902,103,3.4,54725904,46578040,8147864,15,1959436,3667668,336048,1900480,4211008,3443,80,0,0,10,20,581399,31433
20,39942,109,3.7,54725904,46578040,8147864,15,1959436,3667668,366680,1935016,4211008,3615,89,0,0,10,20,581399,22814
21,42000,100,3.4,54725904,46578032,8147872,15,1959444,3667668,335412,1901592,4211008,3794,95,0,0,10,20,581399,31460
22,44033,96.8,3.8,54725904,46578056,8147848,15,1959420,3667668,371380,1934192,4211008,3971,98,0,0,10,20,581399,23084
23,46031,103,3.3,54725904,46578028,8147876,15,1959448,3667668,337908,1904900,4211008,4150,103,0,0,10,20,581399,31635
24,48077,93.7,3.7,54725904,46578040,8147864,15,1959436,3667668,324236,1892616,4211008,4331,105,0,0,10,20,581399,23204
25,50104,96.7,3.3,54725904,46578036,8147868,15,1959440,3667668,333152,1905380,4211008,4509,108,0,0,10,20,581399,31558
26,52147,96.7,3.4,54725904,46578016,8147888,15,1959460,3667668,319656,1889748,4211008,4688,115,0,0,10,20,581399,23464
27,54204,100,3.0,54725904,46578048,8147856,15,1959428,3667668,329500,1904560,4211008,4867,118,0,0,10,20,581399,31960
28,56229,100,3.4,54725904,46578000,8147904,15,1959476,3667668,320224,1889248,4211008,5052,124,0,0,10,20,581399,23207
29,58267,93.5,3.0,54725904,46578176,8147728,15,1959300,3667668,334984,1902036,4211008,5239,127,0,0,10,20,581399,31814
30,60311,103,3.4,54725904,46577992,8147912,15,1959484,3667668,318980,1889756,4211008,5417,131,0,0,10,20,581399,34979
31,62327,100,3.0,54725904,46578088,8147816,15,1959388,3667668,332292,1900796,4211008,5601,135,0,0,10,20,581399,30740
32,64360,100,3.4,54725904,46578104,8147800,15,1959368,3667668,314704,1887132,4211008,5772,140,0,0,10,20,581399,34973
33,66318,93.5,3.0,54725904,46578076,8147828,15,1959396,3667668,324844,1901712,4211008,5954,146,0,0,10,20,581399,31390
