
--------------------------------------------------------------------------------
 	 MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 	 TESTING APPLICATION: barcodes_with_text
--------------------------------------------------------------------------------

Application output directory created at: output/barcodes_with_text
Output will be written to file: output/barcodes_with_text/barcodes_with_text.2020-06-09.180614.csv

Running test script with params: 
	 Application package name: 		 edu.temple.mar_security.headless_fb_mal
	 Application local name: 		 barcodes_with_text
	 Run time (milliseconds): 			 780000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb_mal
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=48ms (0ms mobile, 0ms wifi, 48ms not connected)

--------------------------------------------------------------------------------

App PID: 
Trial start time (ms): 1591740374571

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,,,54725904,46670096,8055808,15,1956928,3667668,1045636,1907080,0,16037,132508,538724,2292,29959,0,0,59329
2,3194,,,54725904,46668052,8057852,15,1958968,3667668,1030928,1908568,0,16040,132538,538842,2293,29967,0,0,59341
3,5167,,,54725904,46667500,8058404,15,1959524,3667668,1027060,1910024,0,16041,132573,538958,2293,29975,0,0,59353
4,7156,,,54725904,46667528,8058376,15,1959496,3667668,981200,1868860,0,16043,132604,539079,2293,29982,0,0,59367
5,9111,,,54725904,46667528,8058376,15,1959496,3667668,979872,1872272,0,16043,132636,539196,2293,29989,0,0,59385
6,11112,,,54725904,46667648,8058256,15,1959376,3667668,958728,1856648,0,16051,132676,539308,2294,29998,0,0,59401
7,13109,,,54725904,46667524,8058380,15,1959500,3667668,949592,1852268,0,16051,132714,539435,2294,30005,0,0,59414
8,15119,,,54725904,46667524,8058380,15,1959500,3667668,928424,1836312,0,16053,132751,539551,2294,30012,0,0,59424
9,17092,,,54725904,46667532,8058372,15,1959492,3667668,916860,1829260,0,16060,132787,539664,2294,30019,0,0,59439
10,19045,,,54725904,46667532,8058372,15,1959492,3667668,900444,1817632,0,16064,132820,539786,2294,30027,0,0,59453
11,21023,,,54725904,46667532,8058372,15,1959500,3667668,899984,1823668,0,16067,132869,539901,2295,30035,0,0,59465
12,23057,,,54725904,46667524,8058380,15,1959500,3667668,871388,1799520,0,16068,132908,540016,2295,30043,0,0,59481
13,25068,,,54725904,46667548,8058356,15,1959472,3667668,863748,1797064,0,16069,132940,540136,2295,30050,0,0,59491
14,27083,,,54725904,46667548,8058356,15,1959472,3667668,849224,1787900,0,16070,132976,540252,2295,30058,0,0,59511
15,29090,,,54725904,46667540,8058364,15,1959480,3667668,804236,1747632,0,16070,133016,540372,2295,30066,0,0,59533
16,31109,,,54725904,46667552,8058352,15,1959468,3667668,797492,1746012,0,16074,133058,540484,2295,30075,0,0,59549
17,33085,,,54725904,46667580,8058324,15,1959440,3667668,779464,1732436,0,16076,133089,540599,2296,30082,0,0,59560
18,35049,,,54725904,46667580,8058324,15,1959440,3667668,777896,1735512,0,16078,133119,540720,2296,30089,0,0,59578
19,37024,,,54725904,46667544,8058360,15,1959476,3667668,741740,1704704,0,16079,133155,540840,2296,30096,0,0,59594
20,39027,,,54725904,46667564,8058340,15,1959456,3667668,755828,1723768,0,16095,133184,540952,2296,30103,0,0,59613
21,40952,,,54725904,46667564,8058340,15,1959456,3667668,715016,1686816,0,16097,133218,541066,2296,30111,0,0,59635
22,42909,,,54725904,46667548,8058356,15,1959472,3667668,720420,1697764,0,16105,133257,541182,2297,30118,0,0,59651
23,44929,,,54725904,46667580,8058324,15,1959440,3667668,707376,1689772,0,16108,133291,541298,2299,30126,0,0,59667
24,46878,,,54725904,46667580,8058324,15,1959440,3667668,659228,1646404,0,16117,133317,541415,2299,30133,0,0,59690
25,48907,,,54725904,46667548,8058356,15,1959472,3667668,664816,1656916,0,16126,133357,541536,2299,30140,0,0,59703
26,50868,,,54725904,46667588,8058316,15,1959432,3667668,639428,1636560,0,16126,133387,541649,2299,30148,0,0,59719
27,52837,,,54725904,46667588,8058316,15,1959432,3667668,629308,1630868,0,16126,133418,541771,2299,30156,0,0,59731
28,54848,,,54725904,46667580,8058324,15,1959440,3667668,622352,1629628,0,16128,133457,541895,2300,30164,0,0,59748
29,56846,,,54725904,46667596,8058308,15,1959424,3667668,592324,1603540,0,16142,133505,542005,2300,30171,0,0,59776
30,58830,,,54725904,46667596,8058308,15,1959424,3667668,586956,1603216,0,16147,133533,542123,2300,30178,0,0,59791
31,60811,,,54725904,46667584,8058320,15,1959436,3667668,555252,1576568,0,16155,133569,542229,2302,30187,0,0,59817
32,62792,,,54725904,46667588,8058316,15,1959432,3667668,548104,1574132,0,16164,133612,542343,2302,30195,0,0,59835
33,64793,,,54725904,46667588,8058316,15,1959432,3667668,517052,1548260,0,16171,133644,542465,2302,30202,0,0,59849
34,66768,,,54725904,46667576,8058328,15,1959452,3667668,533344,1569732,0,16172,133684,542577,2302,30210,0,0,59868
35,68704,,,54725904,46667584,8058320,15,1959436,3667668,484532,1524536,0,16172,133716,542697,2302,30218,0,0,59879
36,70675,,,54725904,46667584,8058320,15,1959436,3667668,487232,1532376,0,16177,133745,542819,2303,30225,0,0,59898
37,72663,,,54725904,46667584,8058320,15,1959436,3667668,465976,1515856,0,16178,133777,542948,2303,30232,0,0,59909
38,74649,,,54725904,46667592,8058312,15,1959428,3667668,425468,1480608,0,16178,133813,543071,2303,30239,0,0,59918
39,76612,,,54725904,46667576,8058328,15,1959444,3667668,410492,1470620,0,16178,133857,543198,2306,30245,0,0,59947
40,78598,,,54725904,46667600,8058304,15,1959420,3667668,394108,1459280,0,16184,133894,543323,2306,30252,0,0,59966
41,80609,,,54725904,46667600,8058304,15,1959420,3667668,395536,1465660,0,16191,133923,543446,2306,30259,0,0,59975
42,82587,,,54725904,46667572,8058332,15,1959448,3667668,375364,1450700,0,16200,133959,543570,2307,30266,0,0,59986
43,84613,,,54725904,46667596,8058308,15,1959424,3667668,335164,1415080,0,16200,133995,543697,2307,30273,0,0,60003
44,86601,,,54725904,46667584,8058320,15,1959436,3667668,327680,1413064,0,16200,134035,543818,2307,30281,0,0,60017
45,88594,,,54725904,46667580,8058324,15,1959440,3667668,300680,1390536,0,16202,134081,543943,2308,30287,0,0,60029
46,90592,,,54725904,46667580,8058324,15,1959440,3667668,323768,1418652,0,16203,134120,544060,2308,30296,0,0,60047
47,92576,,,54725904,46667600,8058304,15,1959420,3667668,286924,1386304,0,16209,134159,544187,2308,30302,0,0,60063
48,94587,,,54725904,46667560,8058344,15,1959460,3667668,267600,1372616,0,16210,134195,544311,2310,30309,0,0,60084
49,96611,,,54725904,46667592,8058312,15,1959428,3667668,273448,1382368,0,16213,134234,544427,2310,30318,0,0,60105
50,98580,,,54725904,46667568,8058336,15,1959452,3667668,219132,1340240,0,16213,134258,544556,2310,30324,0,0,60118
51,100557,,,54725904,46667544,8058360,15,1959476,3667668,188568,1314168,0,16218,134296,544677,2310,30332,0,0,60134
52,102572,,,54725904,46667720,8058184,15,1959300,3667668,203244,1328476,0,16221,134339,544803,2310,30338,0,0,60148
53,104575,,,54725904,46667720,8058184,15,1959300,3667668,179276,1308428,0,16221,134373,544931,2310,30345,0,0,60161
