
--------------------------------------------------------------------------------
 	 MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 	 TESTING APPLICATION: barcodes_with_text
--------------------------------------------------------------------------------

Application output directory created at: output/barcodes_with_text
Output will be written to file: output/barcodes_with_text/barcodes_with_text.2020-06-10.091200.csv

Running test script with params: 
	 Application package name: 		 edu.temple.mar_security.headless_fb_mal
	 Application local name: 		 barcodes_with_text
	 Run time (milliseconds): 			 780000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb_mal
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=89ms (0ms mobile, 0ms wifi, 89ms not connected)

--------------------------------------------------------------------------------

App PID: 15038
Trial start time (ms): 1591794720503

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,240,3.7,54725904,48708220,6017684,11,1958968,3667668,183344,1880268,4211008,210,24,0,0,10,40,23501,36888
2,3914,193,3.9,54725904,48708220,6017684,11,1958968,3667668,167804,1858076,1077952832,506,31,0,0,10,40,23501,39638
3,5944,234,4.9,54725904,48707640,6018264,11,1959524,3667668,230984,1879964,4211008,870,42,0,0,10,34,23501,39412
4,7910,200,4.1,54725904,48707668,6018236,11,1959496,3667668,181456,1834316,4211008,1288,49,0,0,10,34,23501,43557
5,9909,206,3.9,54725904,48707668,6018236,11,1959376,3667668,188840,1846920,1077952832,1652,57,0,0,10,34,23501,40107
6,11885,170,4.2,54725904,48707788,6018116,11,1959376,3667668,172272,1835716,4211008,2025,65,0,0,10,34,23501,45916
7,13894,222,5.4,54725904,48707664,6018240,11,1959500,3667668,178908,1819136,4211008,2439,72,0,0,10,34,23501,40644
8,15898,196,5.2,54725904,48707688,6018216,11,1959476,3667668,169940,1799024,4211008,2813,79,0,0,10,34,23501,52938
9,17875,162,5.3,54725904,48707672,6018232,11,1959492,3667668,164964,1793520,4211008,3220,86,0,0,10,34,23501,52044
10,19882,266,5.7,54725904,48707672,6018232,11,1959492,3667668,193880,1780056,1077952832,3618,93,0,0,10,34,23501,53588
11,21945,171,6.0,54725904,48707664,6018240,11,1959500,3667668,180104,1771172,4211008,4021,99,0,0,10,34,23501,64357
12,24012,227,7.1,54725904,48707664,6018240,11,1959500,3667668,221232,1753684,4211008,4414,107,0,0,10,34,23501,65457
13,25992,206,6.9,54725904,48707692,6018212,11,1959472,3667668,229516,1765916,1077952832,4770,115,0,0,10,34,23501,66920
14,28020,122,7.0,54725904,48707692,6018212,11,1959472,3667668,199772,1742056,4211008,5176,124,0,0,10,34,23501,74759
15,30014,258,8.3,54725904,48707692,6018212,11,1959472,3667668,204140,1751928,1077952832,5557,133,0,0,10,34,23501,66170
16,32014,248,7.3,54725904,48707696,6018208,11,1959468,3667668,163812,1716156,4211008,5923,143,0,0,10,33,23501,75447
17,33991,170,8.3,54725904,48707724,6018180,11,1959440,3667668,169208,1708900,4211008,6326,150,0,0,10,33,23501,72075
18,36031,196,8.8,54725904,48707724,6018180,11,1959476,3667668,183452,1727564,1077952832,6722,158,0,0,10,33,23501,79830
19,38041,124,8.3,54725904,48707688,6018216,11,1959476,3667668,166500,1694048,4211008,7089,164,0,0,10,33,23501,84945
20,40051,263,9.1,54725904,48707708,6018196,11,1959456,3667668,179812,1701896,4211008,7514,173,0,0,10,33,23501,77767
21,42031,206,9.2,54725904,48707668,6018236,11,1959496,3667668,174424,1683612,1077952832,7873,181,0,0,10,33,23501,85914
22,44021,75.8,8.2,54725904,48707684,6018220,11,1959472,3667668,170372,1683056,4211008,8268,189,0,0,10,33,23501,88523
23,46038,254,9.8,54725904,48707716,6018188,11,1959440,3667668,176888,1667348,4211008,8648,198,0,0,10,33,23501,90047
24,48058,200,9.0,54725904,48707708,6018196,11,1959444,3667668,181772,1668488,4211008,9026,208,0,0,10,33,23501,91417
25,50090,170,10.0,54725904,48707680,6018224,11,1959472,3667668,179572,1645648,4211008,9436,214,0,0,10,33,23501,95709
26,52068,263,10.3,54725904,48707720,6018184,11,1959432,3667668,206704,1660296,1077952832,9819,219,0,0,10,33,23501,96395
27,54043,193,10.8,54725904,48707704,6018200,11,1959448,3667668,175716,1634244,4211008,10197,227,0,0,10,33,23501,106740
28,56053,212,12.2,54725904,48707712,6018192,11,1959440,3667668,187036,1630480,4211008,10611,233,0,0,10,33,23501,102947
29,58060,203,11.9,54725904,48707728,6018176,11,1959424,3667668,172196,1619840,4211008,11004,246,0,0,10,33,23501,112106
30,60055,200,12.8,54725904,48707700,6018204,11,1959452,3667668,191060,1612032,4211008,11421,252,0,0,10,33,23501,106266
31,62079,213,12.3,54725904,48707720,6018184,11,1959432,3667668,187008,1605096,1077952832,11785,259,0,0,10,33,23501,115744
32,64026,65.5,12.5,54725904,48707720,6018184,11,1959432,3667668,188268,1568480,4211008,12163,261,0,0,10,33,23501,121030
33,66068,258,12.7,54725904,48707708,6018196,11,1959444,3667668,192992,1578084,4211008,12574,268,0,0,10,33,23501,113413
34,68114,177,13.2,54725904,48707716,6018188,11,1959436,3667668,157256,1545008,4211008,12976,279,0,0,10,33,23501,120582
35,70070,96.7,13.9,54725904,48707716,6018188,11,1959448,3667668,183144,1540064,1077952832,13208,284,0,0,10,33,23501,118440
36,72158,224,13.0,54725904,48707704,6018200,11,1959448,3667668,166316,1528072,4211008,13468,292,0,0,10,33,23501,133705
37,74146,100,14.3,54725904,48707724,6018180,11,1959428,3667668,213512,1563176,4211008,13733,303,0,0,10,33,23501,126267
38,76128,103,14.9,54725904,48707708,6018196,11,1959444,3667668,181404,1514460,1077952832,13959,310,0,0,10,33,23501,130082
39,78138,187,13.9,54725904,48707708,6018196,11,1959444,3667668,181900,1493672,4211008,14206,320,0,0,10,33,23501,136197
40,80127,96.8,14.7,54725904,48707732,6018172,11,1959420,3667668,210640,1519176,4211008,14460,334,0,0,10,33,23501,146979
41,82124,100,14.4,54725904,48707732,6018172,11,1959420,3667668,207176,1488372,4211008,14683,339,0,0,10,33,23501,131282
42,84032,59.3,16.2,54725904,48707728,6018176,11,1959424,3667668,187644,1445932,4211008,14932,352,0,0,10,33,23501,145960
43,85959,100,16.7,54725904,48707716,6018188,11,1959436,3667668,186656,1446644,1077952832,15145,359,0,0,10,33,23501,144284
44,87977,233,16.1,54725904,48707728,6018176,11,1959424,3667668,177212,1433696,4211008,15406,368,0,0,10,33,23501,150729
45,89949,100,16.7,54725904,48707712,6018192,11,1959440,3667668,227616,1473896,4211008,15666,383,0,0,10,33,23501,155634
46,91933,96.7,17.6,54725904,48707712,6018192,11,1959440,3667668,179324,1412516,1077952832,15897,388,0,0,10,32,23501,156971
47,93986,244,17.0,54725904,48707692,6018212,11,1959460,3667668,170584,1401024,4211008,16160,399,0,0,10,33,23501,170401
48,95987,100,17.6,54725904,48707716,6018188,11,1959424,3667668,231260,1436956,4211008,16410,406,0,0,10,33,23501,151207
49,97962,100,19.2,54725904,48707712,6018192,11,1959428,3667668,188656,1378188,4211008,16637,410,0,0,10,33,23501,176348
50,99917,116,17.5,54725904,48707664,6018240,11,1959476,3667668,178672,1365004,4211008,16892,423,0,0,10,33,23501,179136
51,101917,100,19.4,54725904,48707652,6018252,11,1959488,3667668,224636,1380520,4211008,17126,430,0,0,10,33,23501,187041
52,103893,193,20.6,54725904,48707652,6018252,11,1959488,3667668,205916,1359900,4211008,17365,438,0,0,10,33,23501,178256
53,105862,103,20.8,54725904,48707748,6018156,11,1959392,3667668,194288,1351488,4211008,17606,449,0,0,10,33,23501,182953
54,107788,155,19.9,54725904,48707656,6018248,11,1959484,3667668,173940,1318356,4211008,17829,454,0,0,10,33,23501,183630
55,109739,96.7,20.9,54725904,48707684,6018220,11,1959456,3667668,204620,1331136,4211008,18065,463,0,0,10,33,23501,198558
56,111695,168,21.2,54725904,48707684,6018220,11,1959456,3667668,215676,1321116,4211008,18300,469,0,0,10,33,23501,182873
57,113662,96.6,21.9,54725904,48707760,6018144,11,1959380,3667668,208796,1317852,4211008,18543,479,0,0,10,33,23501,192752
58,115565,96.6,22.2,54725904,48707772,6018132,11,1959368,3667668,206348,1275228,4211008,18766,482,0,0,10,33,23501,204386
59,117567,116,21.8,54725904,48707776,6018128,11,1959364,3667668,202612,1262220,4211008,19026,494,0,0,10,33,23501,210107
60,119598,103,21.9,54725904,48707744,6018160,11,1959368,3667668,239896,1271188,1077952832,19250,505,0,0,10,33,23501,198288
61,121605,175,23.8,54725904,48707772,6018132,11,1959368,3667668,288044,1267376,4211008,19501,515,0,0,10,33,23501,210560
62,123545,96.6,23.8,54725904,48707736,6018168,11,1959400,3667668,297140,1267400,4211008,19748,522,0,0,10,33,23501,209735
63,125456,172,23.8,54725904,48710016,6015888,11,1957120,3667668,264920,1224272,4211008,20021,530,0,0,10,33,23501,224655
64,127429,79.3,25.1,54725904,48709928,6015976,11,1957208,3667668,330836,1225972,4211008,20319,538,0,0,10,33,23501,227122
65,129397,67.7,25.1,54725904,48710088,6015816,11,1957048,3667668,281624,1181388,1077952832,20592,547,0,0,10,33,23501,230223
66,131382,226,25.6,54725904,48710092,6015812,11,1957044,3667668,278744,1161220,4211008,20868,559,0,0,10,33,23501,243013
67,133373,168,26.9,54725904,48709904,6016000,11,1957232,3667668,263572,1121764,4211008,21170,568,0,0,10,33,23501,246864
68,135409,80.0,27.3,54725904,48710032,6015872,11,1957104,3667668,308472,1139716,4211008,21445,577,0,0,10,33,23501,252125
69,137371,231,28.2,54725904,48710148,6015756,11,1957496,3667668,268184,1073296,4211008,21729,585,0,0,10,33,23501,263285
70,139378,132,29.3,54725904,48710024,6015880,11,1957060,3667668,287828,1072904,1077952832,22015,597,0,0,10,33,23501,269571
71,141368,170,30.1,54725904,48710084,6015820,11,1957052,3667668,330152,1081000,4211008,22343,608,0,0,10,33,23501,268539
72,143338,119,30.4,54725904,48709928,6015976,11,1957208,3667668,281368,1006828,1077952832,22618,615,0,0,10,33,23501,286797
73,145349,210,30.9,54725904,48709980,6015924,11,1957156,3667668,283712,986652,1077952832,22897,623,0,0,10,33,23501,279520
74,147341,246,30.9,54725904,48710036,6015868,11,1957100,3667668,306692,985064,4211008,23185,637,0,0,10,33,23501,292111
75,149302,251,31.4,54725904,48709812,6016092,11,1957324,3667668,295828,960344,1077952832,23461,648,0,0,10,33,23501,295761
76,151265,235,32.8,54725904,48710028,6015876,11,1957108,3667668,295836,923300,4211008,23773,658,0,0,10,33,23501,303137
