barcode_cpu_trial1,barcode_mem_trial1,barcode_cpu_trial2,barcode_mem_trial2,barcode_cpu_trial3,barcode_mem_trial3,barcode_cpu_trial4,barcode_mem_trial4,barcode_cpu_trial5,barcode_mem_trial5,barcode_cpu_trial6,barcode_mem_trial6,barcode_cpu_trial7,barcode_mem_trial7,barcodeText_cpu_trial1,barcodeText_mem_trial1,barcodeText_cpu_trial2,barcodeText_mem_trial2,barcodeText_cpu_trial3,barcodeText_mem_trial3,barcodeText_cpu_trial4,barcodeText_mem_trial4,barcode_cpu_phone1,barcode_mem_phone1,barcodeText_cpu_phone1,barcodeText_mem_phone1
100,3.3,,,103,3.2,100,3.3,106,3.2,92.3,6.3,64.5,6.2,237,3.5,,,230,3.2,240,3.7,58.6,1.8,131,3.3
100,3.4,,,96.7,3.4,96.7,3.3,96.7,3.3,69.2,6.2,88.4,6.1,193,3.7,,,200,3.8,193,3.9,90,1.7,116,3.6
100,4,,,100,4,103,4,103,3.9,100,6.1,84.6,6.2,234,3,,,203,3.1,234,4.9,55.1,2,117,4
100,2.8,,,100,3.4,100,3.2,100,2.8,66.6,6.3,72,6.2,193,4.2,,,186,3.7,200,4.1,46.8,1.8,110,4.1
54.8,3.4,,,53.3,2.3,103,3.4,93.5,3.3,96,5.9,80,6.1,263,4,,,178,4.2,206,3.9,86.2,1.7,109,4.2
54.8,2.4,,,76.6,2.3,103,3.7,100,2.3,84.6,6.3,76.9,6.3,190,4.6,,,206,4.4,170,4.2,43.7,2,124,4.7
96.7,3.4,,,96.6,3.4,96.7,3.4,100,3.2,80,6.4,55.1,6.5,174,3.9,,,134,4.3,222,5.4,90.3,1.8,129,5.1
96.6,3,,,93.7,3.4,96.8,3.6,100,2.4,76,6.6,77.7,6.4,182,4.8,,,260,4.9,196,5.2,70,1.7,124,5.3
103,3.6,,,106,3.8,96.8,3,100,3.4,96.1,5.9,80,6.1,270,5.9,,,210,4.3,162,5.3,39.3,1.9,127,5.9
100,3.4,,,96.7,3.4,54.8,2.7,100,2.3,96.1,6.2,84.6,6.2,220,4.7,,,170,5,266,5.7,40.6,1.7,110,6
103,3.7,,,103,2.5,34.3,2.4,100,3.4,96.1,6.3,69.2,6.3,173,6.2,,,248,4.6,171,6,103,1.9,112,6.2
100,3.4,,,100,3.3,61.2,3.4,100,2.3,64.2,6.4,92,6.4,245,5.9,,,186,5.2,227,7.1,59.3,1.9,120,6.2
93.7,2.5,,,45.1,2.3,100,2.4,96.7,3.2,84.6,6.1,84.6,6.3,229,6.4,,,186,6.3,206,6.9,46.8,1.7,110,6.4
77.4,3.4,,,96.5,2.7,100,3.2,100,2.3,65.3,6.4,82.1,6.4,120,6.1,,,206,6.5,122,7,70,1.9,106,6.7
50,2.4,,,96.6,3.3,96.7,3.4,100,3.2,69.2,5.9,92,6.2,270,6.6,,,120,6.7,258,8.3,50,1.7,110,6.8
93.5,2.3,,,103,3.7,96.8,2.5,100,2.6,72,6.2,73,6.2,200,7.1,,,196,7.1,248,7.3,70,2,120,6.9
100,3.6,,,96.7,3.4,93.7,3.4,100,3.4,65.3,6.2,92.3,6.5,126,6.7,,,196,8.2,170,8.3,70.9,1.9,112,7
100,3.4,,,93.5,2.5,93.5,2.5,96.7,2.4,65.3,5.9,84,5.9,203,8.4,,,148,7.4,196,8.8,83.3,1.7,116,7.2
103,3.7,,,86.2,3.4,103,3.4,83.3,3.4,76,6.2,76,6.2,203,7.8,,,200,8.8,124,8.3,83.3,2,120,7.7
100,3.4,,,41.3,2.4,109,3.7,32.2,2.4,61.5,5.9,80,6.5,175,7.9,,,196,8.1,263,9.1,74.1,1.8,100,7.8
100,2.5,,,100,3.4,100,3.4,28.1,2.7,73,6.2,80,6.4,196,9,,,164,8.3,206,9.2,40,1.9,106,7.8
76.6,3.4,,,93.5,3.3,96.8,3.8,55.1,2.3,73,6.3,88.4,6,190,8.5,,,166,9.3,75.8,8.2,22.5,1.7,110,7.9
30,2.4,,,103,3.8,103,3.3,90.3,2.7,57.6,6,65.3,6,123,8.6,,,254,9.6,254,9.8,27.5,1.8,113,8.4
83.3,2.8,,,100,3.4,93.7,3.7,100,3,76,6.4,65.3,6,190,10,,,193,10,200,9,31,1.6,113,8.4
96.7,3.1,,,93.3,2.5,96.7,3.3,103,3.4,71.4,6.4,73,6.2,254,10,,,162,9.7,170,10,16.6,1.8,113,8.5
100,3.8,,,103,3.4,96.7,3.4,103,3.2,62.9,6,69.2,5.9,212,10.3,,,282,9.8,263,10.3,24.1,1.6,124,8.9
90.6,3.3,,,86.2,2.3,100,3,96.7,3.6,76,6.1,76.9,6.3,155,10.3,,,220,10.3,193,10.8,22.5,1.8,123,9.3
93.5,2.4,,,51.6,3.4,100,3.4,100,3.4,73,6.1,76,6.3,273,10.8,,,203,10.6,212,12.2,26.6,1.6,110,9.4
100,3.4,,,87,2.4,93.5,3,103,3.8,65.3,6.1,68,5.9,180,10.3,,,196,11.1,203,11.9,34.4,1.8,113,9.7
103,2.5,,,100,3.4,103,3.4,93.7,3.6,69.2,6.2,73,6,273,11.2,,,200,10.1,200,12.8,20.6,1.6,110,10.4
43.3,3.4,,,100,3.4,100,3,96.8,2.4,72,6.1,72,6,206,10.7,,,273,11,213,12.3,20.6,1.7,110,10.6
63.3,2.4,,,106,3.8,100,3.4,100,3.4,68,6.2,76,6.2,80,10.9,,,262,11.2,65.5,12.5,34.4,1.9,109,10.8
93.3,3.4,,,93.3,3.4,93.5,3,53.1,2.3,76,6.4,65.3,6.2,270,12.3,,,174,11.8,258,12.7,30,1.6,131,11.2
100,3.3,,,96.7,2.5,96.7,3.3,86.2,2.6,69.2,6.4,60.7,6,210,12.8,,,263,11.6,177,13.2,27.5,1.8,106,11.3
103,3.8,,,74.1,3.3,56.2,2.4,53.3,2.2,76,6.2,73,6.3,90.9,11.4,,,225,12,96.7,13.9,43.3,1.5,116,11.4
61.2,3.4,,,100,3.1,100,2.9,76.6,3.2,69.2,6.1,73,6.2,76.6,14,,,100,12.4,224,13,23.3,1.7,110,11.6
96.7,3.6,,,83.8,2.6,83.3,2.2,96.5,3,65.3,6.1,73,6.2,96.7,14.3,,,226,12.6,100,14.3,53.3,1.9,110,11.9
84.3,2.8,,,100,2.6,90,2.2,61.2,1.9,76,6.1,69.2,6,206,13.2,,,96.7,14.7,103,14.9,36.6,1.6,113,12.8
100,2.9,,,100,2.1,103,3.1,73.3,2.8,62.9,6.1,72,6,103,14.3,,,100,15,187,13.9,20.6,1.8,110,12.9
74.1,3.1,,,93.3,2.6,80,2.4,68.7,2.1,72,6,69.2,6,268,14.1,,,120,14.5,96.8,14.7,23.3,1.6,116,13.1
74.1,2.6,,,68.7,2.3,63.3,2.4,106,2.5,68,6,68,6,96.6,15.7,,,93.7,14.5,100,14.4,44.8,1.7,120,13.5
71.8,3,,,86.6,2.4,75,2.6,96.5,2.3,69.2,6.1,72,6.3,100,15.6,,,157,16,59.3,16.2,40,1.9,124,13.7
61.2,2.7,,,67.7,1.8,100,2.1,68.7,2.3,72,6.1,65.3,6.3,70,16.3,,,65.6,16.2,100,16.7,25.8,1.6,203,13.7
80.6,2.9,,,51.6,2.2,62.5,2.4,103,1.7,76,6.2,72,5.9,100,16.9,,,100,16.7,233,16.1,51.6,1.8,203,11.8
60,2.6,,,64.5,1.8,83.8,1.6,83.8,2.2,76,6.1,76.9,6.3,237,15,,,217,15.7,100,16.7,20,1.6,220,10.4
100,2.4,,,53.1,1.7,61.2,2.2,93.3,1.9,72,6.1,65.3,6.5,100,16.4,,,83.8,15.3,96.7,17.6,25.8,1.7,193,9.6
55.1,2.3,,,70.9,2,70.9,2.3,80.6,1.5,76,6.1,69.2,6.3,175,18.4,,,96.6,17.8,244,17,63.3,1.8,212,8
59.3,2.7,,,93.3,1.6,66.6,1.8,82.7,2,64,6.1,74,6.2,96.6,18.2,,,200,16.7,100,17.6,25.8,1.5,203,5.2
80,2.3,,,53.1,1.8,90.3,1.8,66.6,1.5,80,6.3,76,6.2,96.7,18.3,,,100,17.2,100,19.2,40,1.6,220,3.5
70.9,1.7,,,90.6,1.7,66.6,1.6,61.2,1.8,80,6.3,76,6,93.7,18,,,93.7,16.8,116,17.5,30,1.4,230,3.3
103,2.3,,,86.6,1.6,64.5,1.9,63.3,1.5,69.2,6.4,73,5.9,93.7,17.4,,,112,18.9,100,19.4,27.5,1.7,87,1.2
80,1.6,,,86.6,1.7,67.7,1.7,63.3,1.7,92.5,6.3,73,6.2,93.7,19.3,,,100,19.4,193,20.6,51.7,1.8,117,1.5
96.7,2.3,,,86.6,2,93.5,1.6,74.1,1.5,73,6.4,69.2,6.3,93.9,19.8,,,181,19.9,103,20.8,24.1,1.7,110,1.8
96.6,1.7,,,96.7,1.6,63.3,1.6,65.5,1.6,72,6.4,84,6.2,103,19.4,,,103,19,155,19.9,48.2,1.8,87,1.7
58,2.2,,,96.6,1.6,86.6,1.9,72.4,1.5,76,6,73,5.9,113,20.1,,,231,19.2,96.7,20.9,24.1,1.6,120,1.8
58,1.7,,,93.1,1.6,80,1.6,71.8,1.8,72,6,73,6.3,100,20.7,,,103,20.7,168,21.2,23.3,1.8,96.6,1.7
61.2,1.8,,,93.3,1.9,103,1.6,75,1.5,76,6.4,73,6.2,100,19.1,,,217,20.4,96.6,21.9,41.3,1.9,90.6,1.2
100,2.9,,,93.7,1.6,93.3,1.6,79.3,1.5,80,6.3,80,6.2,253,20.7,,,103,21.1,96.6,22.2,35.4,1.6,82.7,1.2
61.2,3.2,,,83.3,1.6,103,1.6,79.3,1.5,84,6.3,84,6.3,96.6,21.5,,,193,20.2,116,21.8,43.3,1.7,113,1.6
79.3,3,,,96.6,1.6,66.6,1.6,73.3,1.5,68,6,80,6.4,93.7,21,,,96.8,20.2,103,21.9,36.6,1.8,100,1.9
106,3.2,,,80.6,1.6,64.5,1.6,53.3,1.5,76,6,50,6.2,217,21.6,,,170,22,175,23.8,36.6,1.6,93.5,1.8
96.6,2.2,,,63.3,1.6,93.5,1.6,90.3,1.5,69.2,6.6,69.2,6.1,96.7,21.6,,,110,20.9,96.6,23.8,34.4,1.7,100,1.6
77.4,2.6,,,70,1.6,96.6,1.6,63.3,1.5,65.3,6,64,6.5,75,22.2,,,229,22.5,172,23.8,22.5,1.7,66.6,1.6
63.3,2.2,,,60,1.6,53.3,1.6,50,1.5,76,6.2,68,6.4,248,21.4,,,170,22.5,79.3,25.1,23.3,1.7,100,1.4
80,3.1,,,103,1.6,96.7,1.6,64.5,1.5,68,6.3,69.2,6.1,177,23,,,200,24.1,67.7,25.1,53.3,1.9,96.6,2
79.3,2.5,,,73.3,1.6,70.9,1.6,72.4,1.5,62,6.1,72,6,216,23.2,,,220,25.2,226,25.6,35.4,1.6,112,1.8
90.3,2.8,,,61.2,1.6,96.6,1.6,53.3,1.5,73,6.1,69.2,6.1,260,23.6,,,223,25.1,168,26.9,40,1.7,76.6,1.7
53.3,2.3,,,60,1.6,56.6,1.6,100,1.5,68,6.1,73,6.6,243,23.5,,,177,25.3,80,27.3,40,1.9,70,1.6
103,3.1,,,67.7,1.6,74.1,1.6,45.1,1.5,72,6.3,76,6,140,25,,,170,25.7,231,28.2,31,1.7,90,1.4
93.5,2.3,,,106,1.6,86.6,1.6,73.3,1.5,76,6.3,73,6.6,80,25.2,,,123,27.5,132,29.3,43.3,1.8,70,1.4
55.1,2.6,,,100,1.6,73.3,1.6,66.6,1.5,72,6.3,80,6,100,27.9,,,66.6,27.8,170,30.1,36.6,1.5,77.4,1.1
59.3,3,,,63.3,1.6,110,1.6,78.1,1.5,69.2,6.3,72,6.3,173,28.1,,,56.2,27.5,119,30.4,34.4,1.7,86.6,1.5
74.1,1.8,,,100,1.6,93.5,1.6,73.3,1.5,61.5,6.3,76,6.3,221,27.6,,,219,28.6,210,30.9,43.3,1.8,96.7,1.6
93.5,2.2,,,74.1,1.6,68.9,1.6,58,1.5,84,6.3,71.4,6.1,210,28.9,,,66.6,30.3,246,30.9,33.3,1.5,103,1.4
90,2.7,,,65.6,1.6,60,1.6,90,1.5,80,6.3,73,6.3,103,30,,,100,30.6,251,31.4,24.1,1.6,87,1.8
96.6,2.1,,,84.3,1.6,64.5,1.6,96.7,1.5,72,6.3,76,6.6,266,28.8,,,87.8,31.2,235,32.8,51.7,1.7,70,1.7
71.8,2.6,,,66.6,1.6,65.6,1.6,96.7,1.5,76,6.4,69.2,6.1,154,30.5,,,165,31.5,236,34.1,36.6,1.5,83.8,1.4
96.6,2.3,,,93.7,1.6,74.1,1.6,54.8,1.5,72,6.3,76,6,290,31.4,,,80.6,32.5,51.7,34.2,41.3,1.6,83.3,1.4
64.5,2,,,64.5,1.6,76.6,1.6,93.7,1.5,65.3,6.1,76,6.1,100,30.5,,,100,32.4,61.2,35.2,33.3,1.7,64.5,1.5
110,2.5,,,80.6,1.6,76.6,1.6,83.3,1.5,62.9,6.3,76,6.3,253,31.4,,,60,32.9,67.7,35.3,36.6,1.4,78.1,1.3
56.6,1.6,,,63.3,1.6,80.6,1.6,100,1.5,64,6,80.7,6.4,263,32.4,,,260,33.6,219,35.8,27.5,1.5,120,1.9
59.3,1.8,,,96.7,1.6,100,1.6,80,1.5,76,6.4,76,6.4,56.2,33.6,,,141,34.3,223,36.5,35.4,1.7,86.6,1.9
74.1,2.2,,,100,1.6,86.6,1.6,100,1.5,76,6.3,80,6.4,85.7,33.5,,,212,34.3,203,36.9,31,1.4,90,1.6
58,1.6,,,83.8,1.6,61.2,1.6,100,1.5,64,6.1,76,6.4,132,34.1,,,112,35.3,183,38.7,41.3,1.5,109,1.6
93.7,1.6,,,100,1.6,60,1.6,77.4,1.5,72,6.1,76,6.4,193,33.8,,,91.1,35.6,240,38.2,48.2,1.7,80,1.7
