barcode_text_cpu,barcode_text_mem,barcode_cpu,barcode_mem,object_cpu,object_mem,object_faces_cpu,object_faces_mem
244,1.8,128,1.7,136,2.1,220,2.1
244,1.7,120,1.9,176,1.8,256,2.1
244,1.3,124,1.6,180,1.5,216,1.9
244,1.7,128,1.4,176,1.6,192,1.8
248,1.4,116,1.4,176,1.7,188,1.8
244,1.3,136,1.4,160,1.5,172,1.4
176,1.6,112,1.4,164,1.5,168,1.8
156,1.6,108,1.4,204,1.9,134,1.3
176,1.5,112,1.4,176,1.6,160,1.6
168,1.3,120,1.4,168,1.1,176,1.6
164,1.3,124,1.4,180,1.5,172,1.3
172,1.3,124,1.4,180,1.8,184,1.1
180,1.3,120,1.4,184,1.4,184,2
196,1.3,124,1.4,184,1.7,168,2.1
180,1.3,120,1.4,176,1.7,180,2.1
200,1.3,124,1.4,180,2.1,156,2
176,1.3,120,1.4,172,1.6,136,2.1
184,1.3,108,1.4,168,1.5,156,2.1
196,1.3,120,2,168,2,160,1.8
156,1.3,104,1.6,172,1.7,176,2
152,1.3,112,1.4,176,1.8,172,1.5
144,1.3,112,1.4,184,1.8,168,1.6
168,1.3,116,1.4,188,1.7,168,1.1
140,1.3,124,1.4,160,1.8,156,2.2
150,1.3,120,1.4,172,1.9,168,2.2
140,1.3,112,1.4,172,1.7,180,2.1
156,1.3,116,1.4,188,1.7,152,2
176,1.3,116,1.4,172,1.2,172,1.9
208,1.3,120,1.4,184,1,168,1.3
196,1.3,116,1.4,192,1.9,160,1.8
188,1.3,112,1.4,164,1.4,192,2
192,1.3,116,1.4,180,1,176,1.6
228,1.3,128,1.4,180,2,196,1.7
204,1.3,116,1.4,192,1.8,180,1.4
216,1.3,124,1.4,176,1.9,180,1.1
204,1.3,120,1.4,188,188,188,2.1
200,1.3,112,1.4,188,1.8,184,2.2
204,1.3,116,2,168,2,172,1.8
208,1.3,112,1.9,192,1.5,152,1.6
208,1.3,116,1.8,180,1.8,164,2
228,1.3,116,1.7,108,1,180,2.1
224,1.3,128,1.5,192,1.8,184,1.9
220,1.3,116,1.4,188,1.9,196,1.7
224,1.3,116,1.4,172,2,200,1.8
224,1.3,124,1.4,192,1.8,172,1.6
208,1.3,124,1.4,188,1.3,176,1.3
212,1.3,116,1.4,192,1.6,160,1.1
232,1.3,120,1.4,200,1.5,184,1.4
228,1.3,120,1.4,156,1.9,160,1.1
204,1.3,116,1.4,188,1.6,160,1.1
216,1.3,116,1.4,172,1.4,148,1.9
224,1.3,116,1.4,180,1.8,144,1.4
212,1.3,120,1.4,184,1.3,140,2.1
224,1.3,112,1.9,164,1.8,168,1.8
208,1.3,96.1,1.8,168,1.5,164,2
212,1.3,116,1.6,172,1.1,188,1.7
208,1.3,132,1.8,,,,
216,1.3,128,1.8,,,,
240,1.3,128,1.5,,,,
240,1.3,108,1.4,,,,
236,1.3,124,1.4,,,,
236,1.3,136,1.4,,,,
232,1.3,116,1.4,,,,
208,1.3,120,1.4,,,,
208,1.3,120,1.4,,,,
207,1.3,116,1.4,,,,
236,1.3,116,1.8,,,,
216,1.3,132,1.5,,,,
224,1.3,132,1.4,,,,
