processor_barcode,memory_barcode,processor_barcodetext,memory_barcodetext
120,1.4,144,1.3
120,1.4,156,1.3
112,1.4,160,1.3
111,1.4,136,1.3
116,1.4,168,1.3
124,1.4,144,1.3
124,1.4,144,1.3
116,1.4,146,1.3
120,1.4,140,1.3
120,1.4,150,1.3
116,1.4,152,1.3
120,1.4,144,1.3
116,1.4,140,1.3
116,1.4,152,1.3
116,1.4,144,1.3
111,1.4,140,1.6
116,1.4,144,1.5
112,1.4,134,1.5
116,1.4,140,1.4
116,1.4,156,1.4
112,1.4,142,1.6
107,1.4,134,1.5
119,1.4,172,1.5
132,1.4,220,1.4
140,1.4,220,1.8
130,1.4,207,1.6
130,1.4,228,1.6
128,1.4,220,1.7
124,1.4,224,1.5
136,1.4,216,1.4
128,1.4,223,1.7
124,1.4,220,1.9
124,1.4,240,1.8
128,1.4,219,1.5
124,1.4,220,1.8
128,1.4,220,1.8
111,1.4,232,2
128,1.4,252,1.8
136,1.4,252,1.8
124,1.4,220,2
128,1.4,216,1.8
112,1.4,216,1.6
128,1.4,226,1.7
124,1.4,220,1.3
120,1.4,232,1.9
116,1.4,232,1.8
123,1.4,224,1.8
120,1.4,236,1.8
126,1.4,232,1.5
124,1.4,212,1.7
128,1.4,232,1.7
128,1.4,228,1.6
128,1.4,228,1.3
140,1.4,240,1.9
120,1.4,232,1.9
128,1.4,224,1.9
128,1.4,228,1.7
132,1.4,228,1.9
124,1.4,236,1.9
124,1.4,248,1.6
136,1.4,216,1.4
124,1.4,220,1.4
124,1.4,220,1.7
128,1.4,220,1.9
116,1.4,219,1.9
120,1.4,216,1.7
132,1.4,216,1.6
116,1.4,236,1.9
116,1.4,248,1.6
120,1.4,228,1.7
132,2,224,1.9
124,1.6,216,1.6
124,1.4,224,1.4
136,1.4,236,1.5
136,1.4,224,1.7
140,1.4,220,1.5
128,1.4,244,1.7
128,1.4,228,1.4
112,1.4,211,1.4
124,1.4,220,1.7
116,1.4,240,1.5
116,1.5,236,1.6
128,1.4,223,1.3
124,1.4,232,1.3
120,1.4,248,1.4
120,1.4,236,1.4
120,1.4,208,1.3
124,1.4,208,1.7
128,1.4,228,1.9
132,1.4,220,1.8
128,1.4,220,1.7
116,1.4,220,1.9
128,1.4,224,1.6
136,1.4,228,1.8
132,1.4,212,1.8
124,1.4,224,1.8
120,1.4,216,1.6
116,1.4,212,1.7
112,1.4,212,1.5
128,1.4,228,1.6
120,1.4,216,1.9
124,1.4,220,1.9
120,1.4,232,2.1
116,1.4,196,1.8
124,1.4,212,1.7
128,1.4,168,1.4
128,1.4,152,1.5
120,1.4,152,1.8
120,1.4,164,1.8
116,1.4,138,1.7
116,1.4,153,1.6
128,1.4,156,1.6
120,1.4,138,1.4
120,1.4,144,1.3
116,1.4,152,1.6
128,1.4,172,1.5
124,1.4,188,1.3
124,1.4,160,1.3
120,1.4,176,1.3
120,1.4,168,1.4
128,1.4,153,1.8
116,1.4,144,1.8
116,1.4,160,1.6
116,1.4,157,1.5
116,1.4,176,1.5
116,1.4,160,1.8
124,1.4,168,1.7
116,1.4,168,1.6
116,1.4,173,1.6
115,1.4,180,1.5
124,1.4,184,1.4
116,1.4,196,1.3
116,1.4,184,1.5
124,1.4,172,1.6
112,1.4,176,1.8
124,1.4,164,1.6
120,1.4,156,1.7
112,1.4,168,1.8
124,1.4,184,1.7
128,1.4,160,1.6
120,1.4,156,1.7
120,1.4,196,1.6
120,1.4,164,1.5
116,1.4,236,1.5
116,1.4,192,1.3
124,1.4,216,1.5
124,1.4,216,1.4
116,1.4,169,1.8
115,1.4,196,1.6
116,1.4,188,1.6
116,1.4,180,1.4
120,1.4,204,1.7
116,1.4,192,1.4
132,1.4,196,1.3
116,1.4,188,1.4
116,1.4,200,1.5
112,1.4,200,1.3
128,1.4,232,1.3
116,1.4,188,1.4
116,1.4,220,1.8
116,1.4,224,1.5
116,1.4,184,1.7
120,1.4,208,1.7
112,1.4,176,1.4
116,1.4,168,1.8
116,1.4,204,1.7
132,1.4,168,1.7
120,1.4,180,1.6
120,1.4,168,1.4
116,1.4,216,1.7
116,1.4,180,1.7
124,1.4,172,1.6
120,1.4,188,1.4
128,1.4,216,1.5
116,1.4,188,1.6
116,1.4,176,1.6
116,1.4,188,1.5
111,1.4,180,1.6
116,1.4,168,1.4
120,1.4,192,1.4
128,1.4,184,1.3
124,1.4,204,1.3
132,1.4,204,1.4
124,1.4,200,1.3
