
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: headless_fb-Barcode-Text-13pt5min
--------------------------------------------------------------------------------

Application output directory created at: output/headless_fb-Barcode-Text-13pt5min
Output will be written to file: output/headless_fb-Barcode-Text-13pt5min/headless_fb-Barcode-Text-13pt5min.2020-10-01.183411.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb
\t Application local name: \t\t headless_fb-Barcode-Text-13pt5min
\t Run time (milliseconds): \t\t\t 810000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=13ms (0ms mobile, 0ms wifi, 13ms not connected)

--------------------------------------------------------------------------------

App PID: 20541
Trial start time (ms): 1601591651649

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,46.6,2.4,113468064,67925064,45002328,40,2628,7819780,1234488,3385100,1077952832,754,31,0,0,10,22,100694283,47490
2,1324,63.3,2.4,113468064,67925064,45002328,40,2628,7819780,1228240,3378852,1077952832,806,33,0,0,10,22,100694283,48784
3,2133,79.3,2.5,113468064,67925064,45002328,40,2628,7819780,1223644,3368172,1077952832,854,35,0,0,10,22,100694283,50401
4,2938,89.6,2.5,113468064,67925064,45002328,40,2628,7819780,1219320,3363848,1077952832,902,37,0,0,10,22,100694283,30562
5,3676,38.7,1.5,113468064,67925064,45002328,40,2628,7819780,1296284,3450064,1077952832,941,37,0,0,10,22,100694283,31329
6,4423,50.0,1.6,113468064,67925064,45002328,40,2628,7819780,1290372,3444152,1077952832,991,39,0,0,10,22,100694283,33474
7,5199,66.6,1.7,113468064,67925064,45002328,40,2628,7819780,1284312,3438092,1077952832,1040,40,0,0,10,22,100694283,35020
8,6007,74.1,1.8,113468064,67925064,45002328,40,2628,7819780,1280752,3425284,1077952832,1083,41,0,0,10,22,100694283,36407
9,6791,77.4,1.8,113468064,67925064,45002328,40,2628,7819780,1275120,3428904,1077952832,1125,42,0,0,10,22,100694283,37968
10,7575,48.2,1.9,113468064,67925064,45002328,40,2628,7819780,1268384,3422168,1077952832,1171,45,0,0,10,22,100694283,30835
11,8369,35.4,1.6,113468064,67925064,45002328,40,2628,7819780,1295196,3448980,1077952832,1217,47,0,0,10,22,100694283,32190
12,9217,37.5,1.6,113468064,67925064,45002328,40,2628,7819780,1288040,3441824,1077952832,1268,48,0,0,10,22,100694283,33713
13,10022,70.0,1.7,113468064,67925064,45002328,40,2628,7819780,1282836,3427368,1077952832,1312,48,0,0,10,22,100694283,35258
14,10753,70.0,1.8,113468064,67925064,45002328,40,2628,7819780,1268564,3422348,1077952832,1353,50,0,0,10,22,100694283,36707
15,11535,40.0,1.8,113468064,67925064,45002328,40,2628,7819780,1272972,3426756,1077952832,1398,52,0,0,10,22,100694283,38301
