
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: Barcode-9min
--------------------------------------------------------------------------------

Application output directory created at: output/Barcode-9min
Output will be written to file: output/Barcode-9min/Barcode-9min.2020-10-07.172556.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb
\t Application local name: \t\t Barcode-9min
\t Run time (milliseconds): \t\t\t 510000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=18ms (0ms mobile, 0ms wifi, 18ms not connected)

--------------------------------------------------------------------------------

App PID: 31775
Trial start time (ms): 1602105956731

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,510083,67.8,1.0,113468064,67417956,45509436,41,1108,7819780,3189032,5022032,1077952832,42,3,0,0,10,22,26441552,26624
2,959,103,1.5,113468064,67417924,45509468,41,1108,7819780,3168608,4958332,1077952832,91,5,0,0,10,26,26441552,33382
3,1473,68.9,1.7,113468064,67417924,45509468,41,1108,7819780,3165740,4955464,1077952832,131,7,0,0,10,26,26441552,34188
4,1987,82.7,1.7,113468064,67417924,45509468,41,1108,7819780,3160088,4940580,1077952832,176,8,0,0,10,26,26441552,32044
5,2638,44.8,1.6,113468064,67417924,45509468,41,1108,7819780,3168948,4958700,1077952832,215,8,0,0,10,26,26441552,32795
6,3361,73.3,1.7,113468064,67417920,45509472,41,1108,7819780,3164352,4944864,1077952832,259,8,0,0,10,26,26441552,34348
7,4119,43.3,1.7,113468064,67417924,45509468,41,1108,7819780,3159396,4949156,1077952832,298,9,0,0,10,26,26441552,35105
8,4859,46.6,1.8,113468064,67417924,45509468,41,1108,7819780,3152964,4942724,1077952832,352,9,0,0,10,26,26441552,36632
9,5581,80.0,1.8,113468064,67417924,45509468,41,1108,7819780,3149076,4938836,1077952832,384,10,0,0,10,22,26441552,38269
10,6323,30.0,1.9,113468064,67417924,45509468,41,1108,7819780,3142892,4932652,1077952832,432,10,0,0,10,22,26441552,39055
11,7039,90.3,1.9,113468064,67417924,45509468,41,1108,7819780,3139052,4928812,1077952832,473,10,0,0,10,22,26441552,40476
12,7718,43.3,2.0,113468064,67417924,45509468,41,1108,7819780,3133328,4923088,1077952832,519,10,0,0,10,22,26441552,41319
13,8437,82.7,2.1,113468064,67417924,45509468,41,1108,7819780,3128908,4909416,1077952832,564,10,0,0,10,22,26441552,42971
14,9144,50.0,2.1,113468064,67417924,45509468,41,1108,7819780,3124020,4913780,1077952832,602,11,0,0,10,22,26441552,43748
15,9869,75.8,2.2,113468064,67417924,45509468,41,1108,7819780,3119980,4900504,1077952832,642,13,0,0,10,22,26441552,45280
16,10578,23.3,2.3,113468064,67417924,45509468,41,1108,7819780,3114600,4904380,1077952832,685,13,0,0,10,22,26441552,46072
17,11293,90.0,2.3,113468064,67417924,45509468,41,1108,7819780,3111172,4900952,1077952832,716,14,0,0,10,22,26441552,47621
18,12018,34.4,2.4,113468064,67417924,45509468,41,1108,7819780,3104932,4894712,1077952832,762,15,0,0,10,22,26441552,48270
19,12704,80.0,2.4,113468064,67417924,45509468,41,1108,7819780,3102216,4891996,1077952832,797,16,0,0,10,22,26441552,49872
20,13444,30.0,2.5,113468064,67417924,45509468,41,1108,7819780,3095160,4884940,1077952832,847,16,0,0,10,22,26441552,50680
21,14161,93.1,2.5,113468064,67417924,45509468,41,1108,7819780,3169912,4959692,1077952832,880,20,0,0,10,22,26441552,32314
22,14883,48.2,1.6,113468064,67417924,45509468,41,1108,7819780,3163312,4953100,1077952832,933,20,0,0,10,22,26441552,33478
23,15606,93.1,1.7,113468064,67417924,45509468,41,1108,7819780,3159996,4949784,1077952832,962,20,0,0,10,22,26441552,35107
24,16277,29.0,1.7,113468064,67417924,45509468,41,1108,7819780,3154096,4943884,1077952832,1010,21,0,0,10,22,26441552,35811
25,16998,86.2,1.8,113468064,67417924,45509468,41,1108,7819780,3147052,4936840,1077952832,1040,21,0,0,10,22,26441552,37366
26,17673,25.0,1.9,113468064,67417924,45509468,41,1108,7819780,3144992,4934780,1077952832,1087,21,0,0,10,22,26441552,38041
27,18371,60.0,1.9,113468064,67417924,45509468,41,1108,7819780,3142168,4931956,1077952832,1115,22,0,0,10,22,26441552,38910
28,19079,50.0,2.0,113468064,67417924,45509468,41,1108,7819780,3137224,4926376,1077952832,1161,22,0,0,10,22,26441552,31971
29,19767,27.5,1.6,113468064,67417924,45509468,41,1108,7819780,3166928,4956716,1077952832,1200,22,0,0,10,22,26441552,32763
30,20471,82.7,1.7,113468064,67417924,45509468,41,1108,7819780,3163224,4943760,1077952832,1232,24,0,0,10,22,26441552,34135
31,21172,35.4,1.7,113468064,67417924,45509468,41,1108,7819780,3157632,4947420,1077952832,1278,24,0,0,10,22,26441552,35050
32,21923,82.7,1.8,113468064,67417924,45509468,41,1108,7819780,3153832,4934368,1077952832,1312,25,0,0,10,22,26441552,36654
33,22588,19.3,1.8,113468064,67417924,45509468,41,1108,7819780,3148952,4938740,1077952832,1354,26,0,0,10,22,26441552,37343
34,23297,90.0,1.9,113468064,67417924,45509468,41,1108,7819780,3144952,4934740,1077952832,1384,27,0,0,10,22,26441552,38892
35,23968,22.5,1.9,113468064,67417924,45509468,41,1108,7819780,3138892,4928680,1077952832,1433,27,0,0,10,22,26441552,39660
36,24690,100,2.0,113468064,67417924,45509468,41,1108,7819780,3169648,4959436,1077952832,1463,30,0,0,10,22,26441552,32754
37,25405,34.4,1.6,113468064,67417924,45509468,41,1108,7819780,3164000,4953788,1077952832,1512,30,0,0,10,22,26441552,33449
38,26119,86.2,1.7,113468064,67417924,45509468,41,1108,7819780,3160928,4950716,1077952832,1541,31,0,0,10,22,26441552,35070
39,26823,34.4,1.7,113468064,67417924,45509468,41,1108,7819780,3153856,4943644,1077952832,1584,31,0,0,10,22,26441552,35827
40,27510,56.6,1.8,113468064,67417924,45509468,41,1108,7819780,3151188,4940976,1077952832,1616,32,0,0,10,22,26441552,36483
41,28228,56.6,1.9,113468064,67417924,45509468,41,1108,7819780,3147124,4927660,1077952832,1657,33,0,0,10,22,26441552,38132
42,28923,31.0,1.9,113468064,67417924,45509468,41,1108,7819780,3141656,4931444,1077952832,1695,33,0,0,10,22,26441552,38906
43,29615,86.2,1.8,113468064,67417924,45509468,41,1108,7819780,3169628,4950164,1077952832,1731,35,0,0,10,22,26441552,32633
44,30276,29.0,1.6,113468064,67417924,45509468,41,1108,7819780,3162924,4952712,1077952832,1775,36,0,0,10,21,26441552,33529
45,31017,89.6,1.7,113468064,67417956,45509436,41,1108,7819780,3160536,4949348,1077952832,1803,38,0,0,10,21,26441552,34817
46,31686,26.6,1.7,113468064,67417956,45509436,41,1108,7819780,3154212,4943024,1077952832,1847,38,0,0,10,21,26441552,35816
47,32374,62.0,1.8,113468064,67417956,45509436,41,1108,7819780,3151108,4939920,1077952832,1878,39,0,0,10,21,26441552,37276
48,33077,32.2,1.9,113468064,67417956,45509436,41,1108,7819780,3144808,4933620,1077952832,1925,39,0,0,10,21,26441552,38138
49,33767,58.6,1.9,113468064,67417956,45509436,41,1108,7819780,3141724,4930536,1077952832,1957,39,0,0,10,21,26441552,38880
50,34481,56.6,1.6,113468064,67417956,45509436,41,1108,7819780,3167404,4946964,1077952832,2001,41,0,0,10,21,26441552,32724
51,35177,60.0,1.6,113468064,67417956,45509436,41,1108,7819780,3162864,4951676,1077952832,2037,41,0,0,10,21,26441552,33484
52,35895,48.3,1.7,113468064,67417956,45509436,41,1108,7819780,3158748,4938308,1077952832,2074,43,0,0,10,21,26441552,34896
53,36572,12.9,1.7,113468064,67417956,45509436,41,1108,7819780,3153356,4942176,1077952832,2114,44,0,0,10,21,26441552,36185
54,37297,77.4,1.8,113468064,67417956,45509436,41,1108,7819780,3150128,4929696,1077952832,2147,46,0,0,10,21,26441552,37191
55,38001,23.3,1.9,113468064,67417956,45509436,41,1108,7819780,3144332,4933148,1077952832,2191,46,0,0,10,21,26441552,38082
56,38714,93.3,1.9,113468064,67417956,45509436,41,1108,7819780,3140640,4920840,1077952832,2229,47,0,0,10,21,26441552,31504
57,39420,30.0,1.6,113468064,67417956,45509436,41,1108,7819780,3166176,4955008,1077952832,2271,49,0,0,10,21,26441552,32691
58,40124,79.3,1.7,113468064,67417956,45509436,41,1108,7819780,3161780,4941360,1077952832,2306,49,0,0,10,21,26441552,34056
59,40810,21.8,1.7,113468064,67417956,45509436,41,1108,7819780,3156568,4945400,1077952832,2348,50,0,0,10,21,26441552,34977
60,41547,82.7,1.8,113468064,67417956,45509436,41,1108,7819780,3153052,4932632,1077952832,2380,50,0,0,10,21,26441552,36414
61,42220,20.0,1.8,113468064,67417956,45509436,41,1108,7819780,3148108,4936940,1077952832,2423,50,0,0,10,21,26441552,37322
62,42907,68.9,1.9,113468064,67417956,45509436,41,1108,7819780,3146356,4935188,1077952832,2454,50,0,0,10,21,26441552,38006
63,43580,41.9,1.9,113468064,67417956,45509436,41,1108,7819780,3140332,4929164,1077952832,2505,53,0,0,10,21,26441552,31953
64,44345,62.0,1.6,113468064,67417956,45509436,41,1108,7819780,3168144,4956976,1077952832,2535,53,0,0,10,21,26441552,32729
65,45038,50.0,1.7,113468064,67417956,45509436,41,1108,7819780,3164512,4944092,1077952832,2574,55,0,0,10,21,26441552,34042
66,45732,32.2,1.7,113468064,67417956,45509436,41,1108,7819780,3160176,4949008,1077952832,2611,57,0,0,10,21,26441552,34963
67,46457,79.3,1.8,113468064,67417956,45509436,41,1108,7819780,3156404,4935984,1077952832,2644,57,0,0,10,21,26441552,36337
68,47134,16.6,1.8,113468064,67417956,45509436,41,1108,7819780,3151656,4940488,1077952832,2688,57,0,0,10,21,26441552,37316
69,47836,86.6,1.9,113468064,67417956,45509436,41,1108,7819780,3148108,4936940,1077952832,2719,57,0,0,10,21,26441552,38631
70,48559,22.5,1.9,113468064,67417956,45509436,41,1108,7819780,3142100,4930932,1077952832,2767,58,0,0,10,21,26441552,39594
71,49279,100,2.0,113468064,67417956,45509436,41,1108,7819780,3171972,4960804,1077952832,2797,61,0,0,10,21,26441552,32750
72,49988,26.6,1.6,113468064,67417956,45509436,41,1108,7819780,3166660,4955492,1077952832,2846,61,0,0,10,21,26441552,33460
73,50720,89.6,1.7,113468064,67417956,45509436,41,1108,7819780,3163288,4952120,1077952832,2874,61,0,0,10,21,26441552,35012
74,51401,30.0,1.7,113468064,67417956,45509436,41,1108,7819780,3156996,4945828,1077952832,2920,62,0,0,10,21,26441552,35651
75,52093,51.7,1.8,113468064,67417956,45509436,41,1108,7819780,3152660,4941492,1077952832,2949,63,0,0,10,21,26441552,36493
76,52812,53.1,1.8,113468064,67417956,45509436,41,1108,7819780,3149752,4929332,1077952832,2990,63,0,0,10,21,26441552,37924
77,53550,33.3,1.9,113468064,67417956,45509436,41,1108,7819780,3144008,4932840,1077952832,3028,64,0,0,10,21,26441552,38830
78,54252,89.6,2.0,113468064,67417956,45509436,41,1108,7819780,3140108,4919688,1077952832,3066,65,0,0,10,21,26441552,31356
79,54889,19.3,1.6,113468064,67417956,45509436,41,1108,7819780,3168776,4957608,1077952832,3109,66,0,0,10,21,26441552,32679
80,55623,86.2,1.6,113468064,67417956,45509436,41,1108,7819780,3165032,4953864,1077952832,3137,67,0,0,10,21,26441552,34112
81,56288,15.6,1.7,113468064,67417956,45509436,41,1108,7819780,3159092,4947924,1077952832,3182,68,0,0,10,21,26441552,35040
82,57008,74.1,1.7,113468064,67417956,45509436,41,1108,7819780,3156020,4944852,1077952832,3213,68,0,0,10,21,26441552,36504
83,57744,33.3,1.8,113468064,67417956,45509436,41,1108,7819780,3150496,4939328,1077952832,3260,68,0,0,10,21,26441552,37334
84,58458,81.2,1.9,113468064,67417956,45509436,41,1108,7819780,3146680,4935512,1077952832,3291,68,0,0,10,21,26441552,38862
85,59174,30.0,1.9,113468064,67417956,45509436,41,1108,7819780,3140880,4929712,1077952832,3338,68,0,0,10,21,26441552,39615
86,59870,80.0,2.0,113468064,67417956,45509436,41,1108,7819780,3171556,4960388,4211008,3369,68,0,0,10,21,26441552,32310
87,60562,36.6,1.6,113468064,67417956,45509436,41,1108,7819780,3165032,4953864,1077952832,3415,69,0,0,10,21,26441552,33420
88,61278,60.0,1.7,113468064,67417956,45509436,41,1108,7819780,3161844,4950672,1077952832,3447,70,0,0,10,21,26441552,34256
89,62006,48.3,1.7,113468064,67417956,45509436,41,1108,7819780,3157784,4937360,1077952832,3485,72,0,0,10,21,26441552,35794
90,62697,40.0,1.8,113468064,67417956,45509436,41,1108,7819780,3153080,4941908,1077952832,3523,72,0,0,10,21,26441552,36562
91,63409,70.0,1.9,113468064,67417956,45509436,41,1108,7819780,3148740,4928316,1077952832,3558,73,0,0,10,21,26441552,37976
