
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: Barcode-Text-9min
--------------------------------------------------------------------------------

Application output directory created at: output/Barcode-Text-9min
Output will be written to file: output/Barcode-Text-9min/Barcode-Text-9min.2020-10-07.165917.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb_mal
\t Application local name: \t\t Barcode-Text-9min
\t Run time (milliseconds): \t\t\t 510000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb_mal
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=21ms (0ms mobile, 0ms wifi, 21ms not connected)

--------------------------------------------------------------------------------

App PID: 20861
Trial start time (ms): 1602104357642

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,510148,82.7,1.0,113468064,67446808,45480584,41,1108,7819780,4662492,5395872,1077952832,47,5,0,0,10,22,26281647,26272
2,1026,155,1.4,113468064,67446776,45480616,41,1108,7819780,4640028,5330128,1077952832,112,6,0,0,10,39,26281647,35101
3,1548,110,1.8,113468064,67446776,45480616,41,1108,7819780,4623784,5313936,1077952832,168,7,0,0,10,39,26281647,36495
4,2071,120,1.8,113468064,67446776,45480616,41,1108,7819780,4629368,5319572,1077952832,241,9,0,0,10,39,26281647,32423
5,2699,100,1.7,113468064,67446776,45480616,41,1108,7819780,4614000,5304200,1077952832,313,12,0,0,10,39,26281647,34077
6,3337,110,1.7,113468064,67446772,45480620,41,1108,7819780,4602104,5292308,1077952832,381,19,0,0,10,39,26281647,35795
7,3982,117,1.9,113468064,67446776,45480616,41,1108,7819780,4592004,5282212,1077952832,450,20,0,0,10,39,26281647,40391
8,4590,117,2.2,113468064,67446776,45480616,41,1108,7819780,4581364,5262320,1077952832,520,25,0,0,10,39,26281647,44325
9,5206,110,2.3,113468064,67446776,45480616,41,1108,7819780,4569308,5259516,1077952832,592,26,0,0,10,35,26281647,46491
10,5851,113,2.3,113468064,67446776,45480616,41,1108,7819780,4553292,5243500,1077952832,658,28,0,0,10,35,26281647,49997
11,6442,135,2.5,113468064,67446776,45480616,41,1108,7819780,4596364,5277320,1077952832,730,32,0,0,10,35,26281647,41560
