
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: Face-9min
--------------------------------------------------------------------------------

Application output directory created at: output/Face-9min
Output will be written to file: output/Face-9min/Face-9min.2020-10-06.015556.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb
\t Application local name: \t\t Face-9min
\t Run time (milliseconds): \t\t\t 516000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=12ms (0ms mobile, 0ms wifi, 12ms not connected)

--------------------------------------------------------------------------------

App PID: 10915
Trial start time (ms): 1601963756744

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,89.6,1.6,113468064,67669528,45257864,41,1444,7819780,106536,2228984,1077952832,125,15,0,0,10,34,12221452,32429
2,1041,100,1.6,113468064,67669528,45257864,41,1444,7819780,102544,2212596,1077952832,180,21,0,0,10,34,12221452,28415
3,1717,80.0,1.4,113468064,67669528,45257864,41,1444,7819780,108036,2221752,1077952832,231,21,0,0,10,34,12221452,29946
4,2513,58.6,1.5,113468064,67669524,45257868,41,1444,7819780,99948,2218988,1077952832,279,21,0,0,10,34,12221452,31503
5,3282,40.0,1.6,113468064,67669528,45257864,41,1444,7819780,91980,2210740,1077952832,324,24,0,0,10,34,12221452,32292
6,4076,46.6,1.6,113468064,67669528,45257864,41,1444,7819780,85416,2204256,1077952832,379,24,0,0,10,30,12221452,33866
7,4886,56.6,1.7,113468064,67669528,45257864,41,1444,7819780,85384,2197444,1077952832,431,25,0,0,10,30,12221452,35402
8,5632,80.0,1.8,113468064,67669528,45257864,41,1444,7819780,85180,2190380,1077952832,478,25,0,0,10,30,12221452,36935
9,6420,90.0,1.8,113468064,67669528,45257864,41,1444,7819780,86168,2178960,1077952832,520,27,0,0,10,30,12221452,38443
10,7166,50.0,1.9,113468064,67669528,45257864,41,1444,7819780,80956,2179768,1077952832,561,28,0,0,10,30,12221452,39208
11,7768,60.0,2.0,113468064,67669528,45257864,41,1444,7819780,81540,2173924,1077952832,607,29,0,0,10,30,12221452,40783
12,8394,77.4,2.0,113468064,67669528,45257864,41,1444,7819780,86936,2169312,1077952832,650,29,0,0,10,30,12221452,42333
13,9105,56.6,2.1,113468064,67669528,45257864,41,1444,7819780,158608,2237124,1077952832,697,31,0,0,10,30,12221452,24290
14,9736,93.1,1.2,113468064,67669528,45257864,41,1444,7819780,155240,2224316,1077952832,731,31,0,0,10,30,12221452,25823
15,10318,37.5,1.3,113468064,67669528,45257864,41,1444,7819780,148504,2226828,1077952832,778,31,0,0,10,30,12221452,26588
16,11007,89.6,1.3,113468064,67669528,45257864,41,1444,7819780,155172,2224248,1077952832,822,32,0,0,10,30,12221452,24604
17,11756,79.3,1.2,113468064,67669528,45257864,41,1444,7819780,148460,2226788,1077952832,871,34,0,0,10,30,12221452,22149
18,12577,44.8,1.1,113468064,67669528,45257864,41,1444,7819780,155624,2233952,1077952832,913,36,0,0,10,30,12221452,23684
19,13328,50.0,1.2,113468064,67669528,45257864,41,1444,7819780,147952,2226284,1077952832,965,36,0,0,10,30,12221452,24448
20,14153,46.6,1.1,113468064,67669528,45257864,41,1444,7819780,152940,2231284,1077952832,1019,37,0,0,10,30,12221452,22501
21,14965,66.6,1.1,113468064,67669528,45257864,41,1444,7819780,160000,2238344,1077952832,1074,38,0,0,10,30,12221452,20046
22,15702,89.6,1.0,113468064,67669528,45257864,41,1444,7819780,154268,2223996,1077952832,1102,41,0,0,10,30,12221452,21576
23,16303,46.6,1.1,113468064,67669528,45257864,41,1444,7819780,135172,2213516,1077952832,1146,43,0,0,10,30,12221452,22342
24,16969,96.5,1.1,113468064,67669528,45257864,41,1444,7819780,154796,2223888,1077952832,1187,45,0,0,10,30,12221452,20388
25,17725,66.6,1.0,113468064,67669528,45257864,41,1444,7819780,147668,2226012,1077952832,1239,46,0,0,10,30,12221452,19475
26,18468,43.3,0.9,113468064,67669528,45257864,41,1444,7819780,155200,2233528,1077952832,1279,49,0,0,10,30,12221452,19477
27,19182,66.6,0.9,113468064,67669528,45257864,41,1444,7819780,147068,2225396,1077952832,1325,51,0,0,10,30,12221452,20212
28,19853,80.0,1.0,113468064,67669528,45257864,41,1444,7819780,154800,2233132,1077952832,1366,53,0,0,10,30,12221452,19480
29,20614,53.3,0.9,113468064,67669528,45257864,41,1444,7819780,146984,2225312,1077952832,1415,55,0,0,10,30,12221452,19482
30,21399,48.3,0.9,113468064,67669528,45257864,41,1444,7819780,153688,2232016,1077952832,1464,56,0,0,10,30,12221452,19482
31,22158,61.2,0.9,113468064,67669528,45257864,41,1444,7819780,146648,2224980,1077952832,1513,57,0,0,10,30,12221452,19482
32,22862,83.3,0.9,113468064,67669528,45257864,41,1444,7819780,154956,2224668,1077952832,1555,59,0,0,10,30,12221452,19485
33,23647,70.9,0.9,113468064,67669528,45257864,41,1444,7819780,145392,2223716,1077952832,1601,61,0,0,10,30,12221452,19485
34,24438,38.7,0.9,113468064,67669528,45257864,41,1444,7819780,154420,2232744,1077952832,1644,64,0,0,10,30,12221452,19487
35,25164,58.0,0.9,113468064,67669528,45257864,41,1444,7819780,148064,2226392,1077952832,1688,65,0,0,10,30,12221452,19487
36,25798,62.5,0.9,113468064,67669528,45257864,41,1444,7819780,154008,2232340,4211008,1723,67,0,0,10,30,12221452,19489
37,26472,53.3,0.9,113468064,67669528,45257864,41,1444,7819780,147164,2225496,1077952832,1770,67,0,0,10,30,12221452,19489
38,27099,87.0,0.9,113468064,67669528,45257864,41,1444,7819780,156524,2234856,1077952832,1806,70,0,0,10,30,12221452,19489
39,27764,50.0,0.9,113468064,67669528,45257864,41,1444,7819780,149988,2228012,1077952832,1855,70,0,0,10,30,12221452,19490
40,28411,89.6,0.9,113468064,67669528,45257864,41,1444,7819780,145248,2223272,1077952832,1883,74,0,0,10,30,12221452,19491
41,29020,48.3,0.9,113468064,67669528,45257864,41,1444,7819780,151148,2229212,1077952832,1932,74,0,0,10,30,12221452,19491
42,29698,89.6,0.9,113468064,67669560,45257832,41,1444,7819780,145232,2214044,1077952832,1967,75,0,0,10,29,12221452,19491
43,30286,41.9,0.9,113468064,67669560,45257832,41,1444,7819780,153124,2230244,1077952832,2012,76,0,0,10,29,12221452,19491
44,30953,74.1,0.9,113468064,67669560,45257832,41,1444,7819780,148660,2216508,1077952832,2050,76,0,0,10,29,12221452,19491
45,31607,50.0,0.9,113468064,67669560,45257832,41,1444,7819780,154932,2232044,1077952832,2093,76,0,0,10,29,12221452,19491
46,32224,75.0,0.9,113468064,67669560,45257832,41,1444,7819780,147840,2222620,1077952832,2136,76,0,0,10,29,12221452,19494
47,32964,76.6,0.9,113468064,67669560,45257832,41,1444,7819780,156088,2233212,1077952832,2177,78,0,0,10,29,12221452,19494
48,33673,43.3,0.9,113468064,67669560,45257832,41,1444,7819780,148408,2225536,1077952832,2225,78,0,0,10,29,12221452,19494
49,34439,61.2,0.9,113468064,67669560,45257832,41,1444,7819780,155104,2232232,1077952832,2278,79,0,0,10,29,12221452,19510
50,35205,83.8,0.9,113468064,67669560,45257832,41,1444,7819780,148064,2215936,1077952832,2320,81,0,0,10,29,12221452,19510
51,35969,93.3,0.9,113468064,67669560,45257832,41,1444,7819780,155276,2232392,1077952832,2371,82,0,0,10,29,12221452,19510
52,36758,48.2,0.9,113468064,67669560,45257832,41,1444,7819780,148212,2225324,1077952832,2411,82,0,0,10,29,12221452,19510
53,37485,53.1,0.9,113468064,67669560,45257832,41,1444,7819780,154328,2231436,1077952832,2465,84,0,0,10,29,12221452,19510
54,38236,79.3,0.9,113468064,67669560,45257832,41,1444,7819780,146252,2214108,1077952832,2514,84,0,0,10,29,12221452,19510
55,39035,103,0.9,113468064,67669560,45257832,41,1444,7819780,155004,2223496,1077952832,2552,85,0,0,10,29,12221452,19510
56,39708,41.9,0.9,113468064,67669560,45257832,41,1444,7819780,147360,2224468,1077952832,2599,86,0,0,10,29,12221452,19510
57,40485,48.4,0.9,113468064,67669560,45257832,41,1444,7819780,153164,2230272,1077952832,2650,90,0,0,10,29,12221452,19510
58,41245,67.7,0.9,113468064,67669560,45257832,41,1444,7819780,143412,2220512,1077952832,2695,91,0,0,10,29,12221452,19510
59,41966,93.5,0.9,113468064,67669560,45257832,41,1444,7819780,153872,2222356,1077952832,2740,93,0,0,10,29,12221452,19510
60,42747,72.7,0.9,113468064,67669560,45257832,41,1444,7819780,146176,2223276,1077952832,2784,95,0,0,10,29,12221452,19510
61,43470,40.6,0.9,113468064,67669560,45257832,41,1444,7819780,153436,2230536,1077952832,2832,96,0,0,10,29,12221452,19510
62,44146,86.2,0.9,113468064,67669560,45257832,41,1444,7819780,145972,2213820,1077952832,2877,96,0,0,10,29,12221452,19510
63,44899,96.6,0.9,113468064,67669560,45257832,41,1444,7819780,153192,2230296,1077952832,2917,97,0,0,10,29,12221452,19510
64,45552,40.0,0.9,113468064,67669560,45257832,41,1444,7819780,145784,2222888,1077952832,2961,97,0,0,10,29,12221452,19510
65,46174,73.3,0.9,113468064,67669560,45257832,41,1444,7819780,142072,2219176,1077952832,3001,97,0,0,10,29,12221452,19510
66,46899,50.0,0.9,113468064,67669560,45257832,41,1444,7819780,158180,2235284,1077952832,3047,98,0,0,10,29,12221452,19510
