
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: Face-Text-9min
--------------------------------------------------------------------------------

Application output directory created at: output/Face-Text-9min
Output will be written to file: output/Face-Text-9min/Face-Text-9min.2020-10-06.022838.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb_mal
\t Application local name: \t\t Face-Text-9min
\t Run time (milliseconds): \t\t\t 510000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb_mal
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=8ms (0ms mobile, 0ms wifi, 8ms not connected)

--------------------------------------------------------------------------------

App PID: 14243
Trial start time (ms): 1601965718723

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,120,1.8,113468064,67681272,45246120,41,1444,7819780,3304428,4043580,1077952832,249,20,0,0,10,47,12417593,30403
2,1470,125,1.7,113468064,67681268,45246124,41,1444,7819780,3274468,4004412,1077952832,319,24,0,0,10,47,12417593,36019
3,2061,121,1.8,113468064,67681268,45246124,41,1444,7819780,3264100,4003308,1077952832,397,24,0,0,10,47,12417593,37377
4,2776,120,2.1,113468064,67681272,45246120,41,1444,7819780,3246468,3976432,4211008,481,27,0,0,10,47,12417593,42570
5,3518,124,2.1,113468064,67681272,45246120,41,1444,7819780,3275328,4005288,1077952832,557,32,0,0,10,47,12417593,30186
6,4182,117,1.8,113468064,67681272,45246120,41,1444,7819780,3257408,3996620,1077952832,640,36,0,0,10,43,12417593,32117
7,4943,113,1.7,113468064,67681272,45246120,41,1444,7819780,3248876,3978836,1077952832,732,37,0,0,10,43,12417593,36833
8,5722,113,1.5,113468064,67681272,45246120,41,1444,7819780,3256028,3985988,1077952832,814,41,0,0,10,43,12417593,31909
9,6441,124,1.8,113468064,67681272,45246120,41,1444,7819780,3251760,3990964,1077952832,901,45,0,0,10,43,12417593,32914
10,7209,113,1.6,113468064,67681272,45246120,41,1444,7819780,3225360,3964564,1077952832,984,45,0,0,10,43,12417593,26138
11,7948,110,1.3,113468064,67681272,45246120,41,1444,7819780,3234036,3973248,1077952832,1070,47,0,0,10,43,12417593,27538
12,8663,125,1.4,113468064,67681272,45246120,41,1444,7819780,3227340,3957264,1077952832,1148,51,0,0,10,43,12417593,33883
13,9406,125,1.7,113468064,67681272,45246120,41,1444,7819780,3229416,3959384,1077952832,1229,55,0,0,10,43,12417593,27826
14,10140,117,1.4,113468064,67681272,45246120,41,1444,7819780,3214712,3953932,1077952832,1312,58,0,0,10,43,12417593,31921
15,10887,121,1.6,113468064,67681272,45246120,41,1444,7819780,3202944,3932912,1077952832,1398,60,0,0,10,43,12417593,24900
16,11650,110,1.3,113468064,67681272,45246120,41,1444,7819780,3208740,3938836,1077952832,1487,64,0,0,10,43,12417593,25981
17,12372,113,1.3,113468064,67681272,45246120,41,1444,7819780,3210420,3949768,1077952832,1561,65,0,0,10,43,12417593,27518
18,13103,124,1.6,113468064,67681272,45246120,41,1444,7819780,3207028,3946376,1077952832,1637,70,0,0,10,43,12417593,28970
19,13791,117,1.4,113468064,67681404,45245988,41,1444,7819780,3168564,3916448,1077952832,1719,72,0,0,10,43,12417593,31012
20,14499,106,1.6,113468064,67681408,45245984,41,1444,7819780,3119604,3912864,1077952832,1797,76,0,0,10,43,12417593,41982
21,15243,117,1.6,113468064,67681408,45245984,41,1444,7819780,3135544,3928804,1077952832,1881,78,0,0,10,43,12417593,39411
22,15988,116,2.0,113468064,67681408,45245984,41,1444,7819780,3126496,3910568,1077952832,1972,79,0,0,10,43,12417593,35302
23,16757,110,1.8,113468064,67681408,45245984,41,1444,7819780,3122368,3915692,1077952832,2050,81,0,0,10,43,12417593,38366
24,17414,103,2.0,113468064,67681244,45246148,41,1444,7819780,3088744,3892396,1077952832,2128,82,0,0,10,43,12417593,44073
25,18148,110,2.2,113468064,67681244,45246148,41,1444,7819780,3083396,3887836,1077952832,2210,86,0,0,10,43,12417593,41256
