
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: headless_fb-Object-Text-9min
--------------------------------------------------------------------------------

Application output directory created at: output/headless_fb-Object-Text-9min
Output will be written to file: output/headless_fb-Object-Text-9min/headless_fb-Object-Text-9min.2020-08-27.123446.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb
\t Application local name: \t\t headless_fb-Object-Text-9min
\t Run time (milliseconds): \t\t\t 540000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=13ms (0ms mobile, 0ms wifi, 13ms not connected)

--------------------------------------------------------------------------------

App PID: 18301
Trial start time (ms): 1598546086550

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,51.7,2.9,113468064,72861736,40065656,36,5432,7819780,380612,3600612,1077952832,137,19,0,0,10,41,158439941,40914
2,1188,62.0,2.0,113468064,72861736,40065656,36,5432,7819780,363740,3571324,1077952832,170,24,0,0,10,41,158439941,45168
3,1963,36.6,2.3,113468064,72861736,40065656,36,5432,7819780,343488,3560324,1077952832,213,26,0,0,10,41,158439941,50448
4,2724,61.2,2.5,113468064,72861740,40065652,36,5432,7819780,326120,3533700,1077952832,241,27,0,0,10,41,158439941,54261
5,3513,62.0,2.8,113468064,72861740,40065652,36,5432,7819780,320072,3536904,1077952832,284,36,0,0,10,37,158439941,36698
6,4297,46.6,1.9,113468064,72861740,40065652,36,5432,7819780,377736,3588484,1077952832,314,42,0,0,10,37,158439941,41520
7,5006,51.7,2.1,113468064,72861740,40065652,36,5432,7819780,389076,3609076,1077952832,349,44,0,0,10,37,158439941,38333
8,5764,56.6,1.9,113468064,72861740,40065652,36,5432,7819780,373844,3584592,1077952832,372,48,0,0,10,37,158439941,42278
9,6562,40.0,1.8,113468064,72861740,40065652,36,5432,7819780,382284,3602284,1077952832,403,52,0,0,10,37,158439941,39439
10,7245,50.0,2.0,113468064,72861740,40065652,36,5432,7819780,364832,3575544,1077952832,439,54,0,0,10,37,158439941,35937
11,8013,30.0,1.9,113468064,72861740,40065652,36,5432,7819780,379232,3590908,4211008,465,58,0,0,10,37,158439941,40730
12,8770,40.0,2.1,113468064,72861740,40065652,36,5432,7819780,391320,3611284,1077952832,504,61,0,0,10,37,158439941,36871
13,9540,56.6,1.9,113468064,72861740,40065652,36,5432,7819780,375576,3586288,1077952832,533,62,0,0,10,37,158439941,41229
14,10359,36.6,2.1,113468064,72861740,40065652,36,5432,7819780,387128,3607092,1077952832,568,66,0,0,10,37,158439941,38727
