
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: headless_fb-Object-Text
--------------------------------------------------------------------------------

Application output directory created at: output/headless_fb-Object-Text
Output will be written to file: output/headless_fb-Object-Text/headless_fb-Object-Text.2020-08-19.164252.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb
\t Application local name: \t\t headless_fb-Object-Text
\t Run time (milliseconds): \t\t\t 270000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=18ms (0ms mobile, 0ms wifi, 18ms not connected)

--------------------------------------------------------------------------------

App PID: 29783
Trial start time (ms): 1597869772292

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,51.7,1.9,113468064,73380240,39547152,36,2520,7819780,1178580,3873760,4211008,710,114,0,0,10,37,90807171,44822
2,1333,51.7,2.2,113468064,73380240,39547152,36,2520,7819780,1185280,3889696,1077952832,745,119,0,0,10,37,90807171,41533
3,2108,73.3,2.1,113468064,73380240,39547152,36,2520,7819780,1163492,3858656,4211008,785,124,0,0,10,37,90807171,38897
4,2894,70.0,2.0,113468064,73380240,39547152,36,2520,7819780,1177404,3875736,4211008,817,129,0,0,10,37,90807171,44618
5,3655,48.3,2.3,113468064,73380240,39547152,36,2520,7819780,1181808,3889392,1077952832,849,134,0,0,10,37,90807171,41831
6,4428,39.3,2.2,113468064,73380240,39547152,36,2520,7819780,1159252,3857584,1077952832,880,139,0,0,10,37,90807171,39549
7,5246,55.1,2.0,113468064,73380240,39547152,36,2520,7819780,1171192,3878776,1077952832,915,143,0,0,10,37,90807171,44834
8,6019,40.6,1.9,113468064,73380240,39547152,36,2520,7819780,1179728,3887312,1077952832,951,145,0,0,10,37,90807171,43710
9,6799,70.0,2.2,113468064,73380240,39547152,36,2520,7819780,1191552,3898212,1077952832,984,154,0,0,10,37,90807171,41937
10,7561,41.3,2.1,113468064,73380240,39547152,36,2520,7819780,1166512,3865488,1077952832,1018,156,0,0,10,37,90807171,38208
11,8328,53.3,2.0,113468064,73380260,39547132,36,2520,7819780,1170476,3878556,1077952832,1062,158,0,0,10,37,90807171,45730
12,9111,61.2,2.0,113468064,73380260,39547132,36,2520,7819780,1176256,3875092,1077952832,1098,162,0,0,10,37,90807171,44859
13,9898,51.7,2.3,113468064,73380260,39547132,36,2520,7819780,1174360,3882200,1077952832,1130,164,0,0,10,37,90807171,42965
14,10675,36.6,2.2,113468064,73380424,39546968,36,2520,7819780,1159720,3858392,1077952832,1160,167,0,0,10,37,90807171,40769
15,11442,41.9,2.1,113468064,73380424,39546968,36,2520,7819780,1164404,3863076,4211008,1188,171,0,0,10,37,90807171,47007
16,12261,37.5,1.9,113468064,73380424,39546968,36,2520,7819780,1176248,3874920,1077952832,1221,175,0,0,10,37,90807171,44689
17,13096,56.6,2.3,113468064,73380424,39546968,36,2520,7819780,1179964,3887888,1077952832,1262,180,0,0,10,37,90807171,43034
18,13847,62.0,2.2,113468064,73380424,39546968,36,2520,7819780,1190760,3889432,4211008,1294,186,0,0,10,37,90807171,40405
19,14611,50.0,2.1,113468064,73380424,39546968,36,2520,7819780,1164956,3872884,1077952832,1335,190,0,0,10,37,90807171,38665
20,15374,34.4,2.0,113468064,73380424,39546968,36,2520,7819780,1177268,3876580,1077952832,1360,195,0,0,10,36,90807171,43953
21,16133,58.0,2.3,113468064,73380424,39546968,36,2520,7819780,1183132,3891060,1077952832,1398,200,0,0,10,36,90807171,42542
22,16929,63.6,2.2,113468064,73380424,39546968,36,2520,7819780,1187492,3886168,1077952832,1432,205,0,0,10,36,90807171,41427
23,17731,50.0,2.1,113468064,73380424,39546968,36,2520,7819780,1158992,3866920,1077952832,1463,212,0,0,10,36,90807171,39128
24,18506,30.0,2.0,113468064,73380424,39546968,36,2520,7819780,1170388,3869064,1077952832,1493,216,0,0,10,36,90807171,45589
25,19286,55.1,1.9,113468064,73380424,39546968,36,2520,7819780,1176736,3884664,1077952832,1534,223,0,0,10,36,90807171,43014
26,20045,56.2,2.2,113468064,73380424,39546968,36,2520,7819780,1187224,3886536,1077952832,1568,230,0,0,10,36,90807171,41088
27,20836,58.6,2.1,113468064,73380424,39546968,36,2520,7819780,1164028,3863472,1077952832,1608,235,0,0,10,36,90807171,39412
28,21602,40.0,2.1,113468064,73380424,39546968,36,2520,7819780,1171436,3870112,1077952832,1636,237,0,0,10,36,90807171,45531
29,22414,29.0,2.0,113468064,73380424,39546968,36,2520,7819780,1178964,3879976,1077952832,1668,243,0,0,10,36,90807171,44745
30,23165,53.3,2.4,113468064,73380424,39546968,36,2520,7819780,1183236,3891164,1077952832,1703,247,0,0,10,36,90807171,43167
31,23923,46.6,2.3,113468064,73380424,39546968,36,2520,7819780,1187444,3888456,4211008,1741,250,0,0,10,36,90807171,42310
32,24673,51.6,2.2,113468064,73380424,39546968,36,2520,7819780,1193496,3892176,1077952832,1779,256,0,0,10,36,90807171,41729
33,25446,40.0,2.1,113468064,73380424,39546968,36,2520,7819780,1164388,3864472,1077952832,1809,260,0,0,10,36,90807171,38071
34,26218,56.6,2.0,113468064,73380424,39546968,36,2520,7819780,1169292,3877224,1077952832,1848,263,0,0,10,36,90807171,44839
35,26971,51.7,1.9,113468064,73380424,39546968,36,2520,7819780,1179260,3877940,1077952832,1878,269,0,0,10,36,90807171,44913
36,27718,61.2,2.3,113468064,73380424,39546968,36,2520,7819780,1184112,3892044,1077952832,1911,276,0,0,10,36,90807171,43080
37,28484,53.3,2.2,113468064,73380424,39546968,36,2520,7819780,1191584,3890264,1077952832,1941,282,0,0,10,36,90807171,41146
38,29247,43.3,2.1,113468064,73380424,39546968,36,2520,7819780,1164040,3862720,1077952832,1979,287,0,0,10,36,90807171,39207
39,29994,54.8,2.0,113468064,73380424,39546968,36,2520,7819780,1168648,3867328,1077952832,2014,290,0,0,10,36,90807171,45572
40,30759,43.3,1.9,113468064,73380424,39546968,36,2520,7819780,1173856,3872536,1077952832,2038,294,0,0,10,36,90807171,44437
41,31520,36.6,1.9,113468064,73380424,39546968,36,2520,7819780,1178488,3877168,1077952832,2072,296,0,0,10,36,90807171,44618
42,32265,63.3,2.3,113468064,73380424,39546968,36,2520,7819780,1185416,3884096,1077952832,2108,300,0,0,10,36,90807171,41325
43,33022,37.9,2.2,113468064,73380424,39546968,36,2520,7819780,1175288,3883220,1077952832,2146,302,0,0,10,36,90807171,40169
44,33813,60.0,2.1,113468064,73380424,39546968,36,2520,7819780,1167040,3874956,1077952832,2186,304,0,0,10,36,90807171,46890
45,34601,38.7,2.0,113468064,73380424,39546968,36,2520,7819780,1171656,3879588,1077952832,2218,308,0,0,10,36,90807171,44994
46,35378,73.3,2.3,113468064,73380424,39546968,36,2520,7819780,1185828,3884512,1077952832,2251,313,0,0,10,36,90807171,41448
47,36167,53.3,2.1,113468064,73380424,39546968,36,2520,7819780,1159004,3866940,1077952832,2294,315,0,0,10,36,90807171,39646
48,36962,60.0,2.1,113468064,73380424,39546968,36,2520,7819780,1168676,3867360,4211008,2327,319,0,0,10,36,90807171,46524
49,37763,48.3,1.9,113468064,73380424,39546968,36,2520,7819780,1178584,3886524,1077952832,2364,322,0,0,10,36,90807171,44037
50,38532,56.6,2.3,113468064,73380548,39546844,36,2520,7819780,1182860,3881432,1077952832,2397,330,0,0,10,36,90807171,41616
51,39290,46.6,2.2,113468064,73380548,39546844,36,2520,7819780,1155696,3863520,1077952832,2438,334,0,0,10,36,90807171,38450
52,40091,46.6,2.1,113468064,73380548,39546844,36,2520,7819780,1166984,3865556,4211008,2470,335,0,0,10,36,90807171,46115
53,40878,46.6,2.0,113468064,73380548,39546844,36,2520,7819780,1175488,3883312,1077952832,2506,339,0,0,10,36,90807171,44460
54,41647,54.8,2.3,113468064,73380548,39546844,36,2520,7819780,1184516,3883088,1077952832,2543,342,0,0,10,36,90807171,40873
55,42443,46.6,2.1,113468064,73380548,39546844,36,2520,7819780,1156960,3864784,1077952832,2582,346,0,0,10,36,90807171,39689
56,43209,48.3,2.1,113468064,73380548,39546844,36,2520,7819780,1167856,3866428,1077952832,2610,349,0,0,10,36,90807171,45632
57,43991,41.9,2.0,113468064,73380548,39546844,36,2520,7819780,1173864,3881688,1077952832,2646,355,0,0,10,36,90807171,44252
58,44759,45.1,2.3,113468064,73380548,39546844,36,2520,7819780,1184476,3883048,1077952832,2674,357,0,0,10,36,90807171,42376
59,45539,33.3,2.2,113468064,73380548,39546844,36,2520,7819780,1190028,3897852,1077952832,2708,364,0,0,10,36,90807171,40785
60,46339,44.8,2.1,113468064,73380548,39546844,36,2520,7819780,1166996,3865568,1077952832,2740,369,0,0,10,36,90807171,45853
61,47107,68.9,2.4,113468064,73380548,39546844,36,2520,7819780,1182664,3881236,1077952832,2771,378,0,0,10,36,90807171,43428
62,47834,46.6,2.3,113468064,73380548,39546844,36,2520,7819780,1189692,3888900,1077952832,2808,381,0,0,10,36,90807171,40549
63,48632,55.1,2.1,113468064,73380548,39546844,36,2520,7819780,1161496,3869320,1077952832,2848,385,0,0,10,36,90807171,38410
64,49410,56.6,2.0,113468064,73380548,39546844,36,2520,7819780,1170900,3869472,1077952832,2877,390,0,0,10,36,90807171,45256
