
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: headless_fb-Object-Text-13pt5min
--------------------------------------------------------------------------------

Application output directory created at: output/headless_fb-Object-Text-13pt5min
Output will be written to file: output/headless_fb-Object-Text-13pt5min/headless_fb-Object-Text-13pt5min.2020-08-27.130818.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb
\t Application local name: \t\t headless_fb-Object-Text-13pt5min
\t Run time (milliseconds): \t\t\t 810000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=11ms (0ms mobile, 0ms wifi, 11ms not connected)

--------------------------------------------------------------------------------

App PID: 17846
Trial start time (ms): 1598548098106

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,73.3,2.4,113468064,72893148,40034244,36,3188,7819780,347572,3583064,1077952832,28334,3188,0,0,10,36,158574444,42763
2,1280,45.1,2.2,113468064,72893148,40034244,36,3188,7819780,322392,3567136,1077952832,28367,3194,0,0,10,36,158574444,47827
3,2022,37.9,2.5,113468064,72893148,40034244,36,3188,7819780,338660,3586572,1077952832,28398,3198,0,0,10,36,158574444,43998
4,2793,26.6,2.2,113468064,72893148,40034244,36,3188,7819780,317064,3564976,1077952832,28425,3202,0,0,10,36,158574444,40015
5,3549,40.0,2.0,113468064,72893148,40034244,36,3188,7819780,333016,3580928,1077952832,28459,3206,0,0,10,36,158574444,45311
6,4338,33.3,2.3,113468064,72893148,40034244,36,3188,7819780,346948,3594860,1077952832,28486,3210,0,0,10,36,158574444,41886
7,5143,26.6,2.2,113468064,72893148,40034244,36,3188,7819780,325384,3573296,1077952832,28517,3214,0,0,10,36,158574444,47032
8,5886,58.6,2.4,113468064,72893148,40034244,36,3188,7819780,342976,3590888,1077952832,28553,3220,0,0,10,36,158574444,42694
9,6622,29.0,2.2,113468064,72893148,40034244,36,3188,7819780,323160,3571072,1077952832,28586,3225,0,0,10,36,158574444,47797
10,7318,53.3,2.4,113468064,72893148,40034244,36,3188,7819780,342488,3581148,1077952832,28608,3229,0,0,10,36,158574444,42630
11,8022,51.7,2.2,113468064,72893148,40034244,36,3188,7819780,321744,3569656,1077952832,28644,3231,0,0,10,36,158574444,47783
12,8722,35.4,2.0,113468064,72893148,40034244,36,3188,7819780,335704,3583616,1077952832,28669,3235,0,0,10,36,158574444,44805
13,9498,60.0,2.3,113468064,72893148,40034244,36,3188,7819780,316016,3554676,1077952832,28703,3240,0,0,10,36,158574444,40002
14,10173,36.6,2.1,113468064,72893148,40034244,36,3188,7819780,330532,3578444,1077952832,28734,3242,0,0,10,36,158574444,45220
15,10952,45.1,2.3,113468064,72893148,40034244,36,3188,7819780,347632,3595544,1077952832,28768,3245,0,0,10,36,158574444,41302
16,11748,63.3,2.1,113468064,72893148,40034244,36,3188,7819780,325344,3564004,1077952832,28803,3248,0,0,10,36,158574444,46461
17,12499,66.6,2.4,113468064,72893148,40034244,36,3188,7819780,341352,3589256,1077952832,28836,3254,0,0,10,36,158574444,42622
18,13218,50.0,2.2,113468064,72893148,40034244,36,3188,7819780,321324,3559976,1077952832,28864,3257,0,0,10,36,158574444,47756
19,13948,56.6,2.0,113468064,72893148,40034244,36,3188,7819780,335196,3574484,1077952832,28892,3262,0,0,10,36,158574444,44572
20,14621,34.4,2.3,113468064,72893148,40034244,36,3188,7819780,314808,3562712,1077952832,28913,3265,0,0,10,36,158574444,40210
21,15304,62.0,2.1,113468064,72893148,40034244,36,3188,7819780,333652,3581556,1077952832,28942,3268,0,0,10,36,158574444,45682
22,16046,48.2,2.3,113468064,72893148,40034244,36,3188,7819780,313268,3551920,4211008,28968,3273,0,0,10,36,158574444,41272
23,16743,30.0,2.1,113468064,72893148,40034244,36,3188,7819780,330620,3569908,1077952832,28997,3273,0,0,10,36,158574444,45531
24,17421,37.9,2.3,113468064,72893148,40034244,36,3188,7819780,309940,3557844,1077952832,29028,3277,0,0,10,36,158574444,41226
25,18179,32.2,2.1,113468064,72893148,40034244,36,3188,7819780,329752,3569808,1077952832,29056,3279,0,0,10,36,158574444,46392
26,18951,56.6,2.4,113468064,72893148,40034244,36,3188,7819780,341176,3589080,4211008,29085,3282,0,0,10,36,158574444,42565
27,19621,65.5,2.1,113468064,72893148,40034244,36,3188,7819780,325488,3564140,1077952832,29121,3285,0,0,10,36,158574444,47639
28,20406,75.8,2.4,113468064,72893148,40034244,36,3188,7819780,341056,3579708,1077952832,29154,3289,0,0,10,36,158574444,42656
29,21075,43.3,2.2,113468064,72893148,40034244,36,3188,7819780,320648,3568552,1077952832,29188,3291,0,0,10,36,158574444,47697
30,21857,27.5,2.0,113468064,72893148,40034244,36,3188,7819780,336316,3584220,1077952832,29218,3297,0,0,10,36,158574444,43893
31,22597,46.6,2.3,113468064,72893148,40034244,36,3188,7819780,316264,3564168,1077952832,29254,3300,0,0,10,36,158574444,40005
32,23380,40.0,2.1,113468064,72893148,40034244,36,3188,7819780,331628,3579532,1077952832,29284,3304,0,0,10,36,158574444,45105
33,24125,51.7,2.3,113468064,72893148,40034244,36,3188,7819780,349536,3597440,1077952832,29310,3308,0,0,10,36,158574444,40777
34,24812,30.0,2.1,113468064,72893148,40034244,36,3188,7819780,326020,3573924,1077952832,29332,3313,0,0,10,36,158574444,46447
35,25557,68.9,2.3,113468064,72893148,40034244,36,3188,7819780,345208,3583860,4211008,29363,3317,0,0,10,36,158574444,42509
36,26306,46.6,2.1,113468064,72893148,40034244,36,3188,7819780,326060,3564712,1077952832,29390,3320,0,0,10,36,158574444,47672
37,27067,56.2,2.5,113468064,72893148,40034244,36,3188,7819780,339284,3587188,1077952832,29421,3327,0,0,10,36,158574444,43875
38,27861,43.3,2.3,113468064,72893148,40034244,36,3188,7819780,316620,3564524,1077952832,29462,3332,0,0,10,36,158574444,39570
39,28629,30.0,2.1,113468064,72893148,40034244,36,3188,7819780,332176,3580080,1077952832,29490,3335,0,0,10,36,158574444,44930
40,29376,41.3,2.3,113468064,72893148,40034244,36,3188,7819780,307640,3555544,1077952832,29528,3336,0,0,10,36,158574444,40961
41,30149,33.3,2.1,113468064,72893148,40034244,36,3188,7819780,326632,3574536,1077952832,29559,3338,0,0,10,36,158574444,46741
42,30928,67.7,2.4,113468064,72893148,40034244,36,3188,7819780,338860,3577636,1077952832,29594,3342,0,0,10,36,158574444,43993
43,31722,56.6,2.2,113468064,72893148,40034244,36,3188,7819780,317668,3565572,1077952832,29632,3347,0,0,10,36,158574444,40051
44,32475,55.1,2.1,113468064,72893148,40034244,36,3188,7819780,329792,3577696,1077952832,29669,3353,0,0,10,36,158574444,45248
45,33259,45.4,2.3,113468064,72893148,40034244,36,3188,7819780,345112,3583764,4211008,29703,3357,0,0,10,36,158574444,42708
46,34068,36.6,2.2,113468064,72893148,40034244,36,3188,7819780,324744,3564164,1077952832,29733,3358,0,0,10,36,158574444,47792
47,34820,43.7,2.2,113468064,72893148,40034244,36,3188,7819780,336760,3584664,1077952832,29772,3365,0,0,10,36,158574444,43957
48,35608,43.3,2.3,113468064,72893148,40034244,36,3188,7819780,316740,3564644,1077952832,29810,3368,0,0,10,36,158574444,40022
49,36397,76.6,2.1,113468064,72893148,40034244,36,3188,7819780,328940,3567592,1077952832,29852,3370,0,0,10,36,158574444,46571
50,37151,66.6,2.4,113468064,72893148,40034244,36,3188,7819780,341220,3589124,1077952832,29891,3374,0,0,10,36,158574444,42615
51,37907,38.7,2.2,113468064,72893148,40034244,36,3188,7819780,319920,3567824,1077952832,29923,3378,0,0,10,36,158574444,47683
52,38665,51.7,2.0,113468064,72893148,40034244,36,3188,7819780,335228,3573880,1077952832,29956,3383,0,0,10,36,158574444,43414
53,39418,41.9,2.3,113468064,72893148,40034244,36,3188,7819780,316280,3554932,1077952832,29993,3385,0,0,10,36,158574444,40998
