
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: headless_fb-Object-Text-9min
--------------------------------------------------------------------------------

Application output directory created at: output/headless_fb-Object-Text-9min
Output will be written to file: output/headless_fb-Object-Text-9min/headless_fb-Object-Text-9min.2020-08-27.124356.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb
\t Application local name: \t\t headless_fb-Object-Text-9min
\t Run time (milliseconds): \t\t\t 540000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=8ms (0ms mobile, 0ms wifi, 8ms not connected)

--------------------------------------------------------------------------------

App PID: 15940
Trial start time (ms): 1598546636413

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,33.3,2.3,113468064,72861648,40065744,36,5432,7819780,264924,3512504,4211008,175,20,0,0,10,40,158494825,49020
2,1268,55.1,2.5,113468064,72861652,40065740,36,5432,7819780,240200,3486092,1077952832,211,22,0,0,10,40,158494825,54340
3,2017,48.2,2.8,113468064,72861652,40065740,36,5432,7819780,302760,3545212,1077952832,240,25,0,0,10,36,158494825,39824
4,2825,27.5,2.1,113468064,72861652,40065740,36,5432,7819780,281240,3532928,1077952832,260,32,0,0,10,36,158494825,36004
5,3514,55.1,1.8,113468064,72861652,40065740,36,5432,7819780,299896,3551584,1077952832,281,35,0,0,10,36,158494825,40910
6,4257,44.8,2.1,113468064,72861652,40065740,36,5432,7819780,306460,3558148,1077952832,305,43,0,0,10,36,158494825,38508
7,5070,31.0,2.0,113468064,72861652,40065740,36,5432,7819780,286016,3537704,1077952832,330,49,0,0,10,36,158494825,36886
8,5832,36.6,1.9,113468064,72861652,40065740,36,5432,7819780,293552,3545240,1077952832,355,53,0,0,10,36,158494825,42387
9,6591,40.0,2.2,113468064,72861652,40065740,36,5432,7819780,306580,3558268,1077952832,381,57,0,0,10,36,158494825,38605
10,7364,33.3,2.0,113468064,72861652,40065740,36,5432,7819780,283000,3534684,1077952832,413,59,0,0,10,36,158494825,35915
11,8116,44.8,1.8,113468064,72861652,40065740,36,5432,7819780,297644,3549328,1077952832,434,68,0,0,10,36,158494825,40845
12,8808,41.3,2.1,113468064,72861652,40065740,36,5432,7819780,308888,3551320,1077952832,456,73,0,0,10,36,158494825,38135
13,9542,30.0,2.0,113468064,72861652,40065740,36,5432,7819780,286528,3538212,1077952832,484,76,0,0,10,36,158494825,35226
14,10301,25.8,1.8,113468064,72861652,40065740,36,5432,7819780,297092,3548776,1077952832,506,79,0,0,10,36,158494825,40913
15,11039,46.6,2.1,113468064,72861652,40065740,36,5432,7819780,308144,3559828,1077952832,525,83,0,0,10,36,158494825,38619
16,11750,40.0,2.0,113468064,72861652,40065740,36,5432,7819780,284220,3526652,1077952832,548,88,0,0,10,36,158494825,44520
17,12579,65.5,1.8,113468064,72861652,40065740,36,5432,7819780,298928,3541360,1077952832,584,91,0,0,10,36,158494825,41028
18,13357,51.6,2.1,113468064,72861652,40065740,36,5432,7819780,310160,3552592,1077952832,612,93,0,0,10,36,158494825,37383
19,14164,46.6,1.9,113468064,72861652,40065740,36,5432,7819780,278960,3521392,4211008,642,96,0,0,10,36,158494825,43700
