
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: Object-9min
--------------------------------------------------------------------------------

Application output directory created at: output/Object-9min
Output will be written to file: output/Object-9min/Object-9min.2020-10-06.030352.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb
\t Application local name: \t\t Object-9min
\t Run time (milliseconds): \t\t\t 510000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=12ms (0ms mobile, 0ms wifi, 12ms not connected)

--------------------------------------------------------------------------------

App PID: 9066
Trial start time (ms): 1601967832096

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,62.0,2.6,113468064,67679308,45248084,41,1468,7819780,2439916,3899616,1077952832,133,15,0,0,10,41,12628930,40527
2,1111,51.7,1.7,113468064,67679308,45248084,41,1468,7819780,2516464,3966952,1077952832,162,21,0,0,10,41,12628930,39938
3,1935,23.3,2.1,113468064,67679304,45248088,41,1468,7819780,2488140,3939276,1077952832,187,24,0,0,10,41,12628930,45305
4,2737,R,56.6,113468064,67679308,45248084,41,1468,7819780,2466552,3917052,1077952832,222,27,0,0,10,41,12628930,51777
5,3547,60.0,2.7,113468064,67679308,45248084,41,1468,7819780,2520484,3980236,1077952832,257,30,0,0,10,37,12628930,37387
6,4271,31.0,1.9,113468064,67679308,45248084,41,1468,7819780,2499512,3959264,1077952832,285,33,0,0,10,37,12628930,42779
7,5049,R,40.0,113468064,67679308,45248084,41,1468,7819780,2510120,3969872,1077952832,311,40,0,0,10,37,12628930,40272
8,5831,38.7,2.1,113468064,67679308,45248084,41,1468,7819780,2520392,3970892,1077952832,344,47,0,0,10,37,12628930,37747
9,6680,37.9,2.0,113468064,67679308,45248084,41,1468,7819780,2496848,3947348,1077952832,378,51,0,0,10,37,12628930,36225
10,7503,R,43.3,113468064,67679308,45248084,41,1468,7819780,2504356,3964108,1077952832,404,53,0,0,10,37,12628930,41822
