
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: headless_fb_malicious-Object-Text
--------------------------------------------------------------------------------

Application output directory created at: output/headless_fb_malicious-Object-Text
Output will be written to file: output/headless_fb_malicious-Object-Text/headless_fb_malicious-Object-Text.2020-08-19.163723.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb_mal
\t Application local name: \t\t headless_fb_malicious-Object-Text
\t Run time (milliseconds): \t\t\t 270000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb_mal
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=29ms (0ms mobile, 0ms wifi, 29ms not connected)

--------------------------------------------------------------------------------

App PID: 12436
Trial start time (ms): 1597869443229

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,106,2.2,113468064,73409104,39518288,35,2520,7819780,1307820,3901712,1077952832,155,14,0,0,10,53,90775708,53985
2,1101,117,2.8,113468064,73409104,39518288,35,2520,7819780,1270732,3864392,1077952832,241,19,0,0,10,53,90775708,40011
3,1795,93.1,2.1,113468064,73409104,39518288,35,2520,7819780,1337712,3932116,1077952832,303,25,0,0,10,53,90775708,46639
4,2544,79.3,2.4,113468064,73409100,39518292,35,2520,7819780,1313784,3914276,1077952832,360,28,0,0,10,53,90775708,50604
5,3303,90.0,2.6,113468064,73409100,39518292,35,2520,7819780,1289908,3881160,1077952832,409,33,0,0,10,53,90775708,55500
6,4093,80.0,1.8,113468064,73409100,39518292,35,2520,7819780,1345980,3945848,1077952832,469,43,0,0,10,53,90775708,42334
7,4835,113,2.1,113468064,73409100,39518292,35,2520,7819780,1347876,3941240,1077952832,533,50,0,0,10,49,90775708,43095
8,5602,89.6,2.3,113468064,73409100,39518292,35,2520,7819780,1325004,3927620,1077952832,593,53,0,0,10,49,90775708,41573
9,6356,84.3,2.1,113468064,73409100,39518292,35,2520,7819780,1334104,3927468,1077952832,656,56,0,0,10,49,90775708,47145
10,7120,80.6,2.0,113468064,73409100,39518292,35,2520,7819780,1345720,3948336,1077952832,719,64,0,0,10,49,90775708,42736
11,7920,113,2.2,113468064,73409100,39518292,35,2520,7819780,1352928,3946292,1077952832,778,69,0,0,10,49,90775708,43338
12,8685,76.6,2.2,113468064,73409100,39518292,35,2520,7819780,1326980,3920344,1077952832,841,74,0,0,10,49,90775708,40241
13,9454,83.3,2.1,113468064,73409100,39518292,35,2520,7819780,1333200,3946976,1077952832,905,78,0,0,10,49,90775708,40780
14,10213,70.0,2.1,113468064,73409100,39518292,35,2520,7819780,1334496,3948276,1077952832,966,84,0,0,10,49,90775708,46483
15,10868,93.5,2.0,113468064,73409100,39518292,35,2520,7819780,1341460,3947392,1077952832,1028,88,0,0,10,49,90775708,44809
16,11620,76.6,2.3,113468064,73409100,39518292,35,2520,7819780,1348416,3952944,1077952832,1089,92,0,0,10,49,90775708,45798
17,12383,109,2.4,113468064,73409100,39518292,35,2520,7819780,1353864,3959028,1077952832,1169,97,0,0,10,49,90775708,42734
18,13154,80.6,2.2,113468064,73409100,39518292,35,2520,7819780,1329172,3940632,1077952832,1227,105,0,0,10,49,90775708,40645
19,13898,58.0,2.1,113468064,73409100,39518292,35,2520,7819780,1339068,3943596,1077952832,1287,110,0,0,10,49,90775708,47007
20,14656,93.9,2.0,113468064,73409100,39518292,35,2520,7819780,1339836,3952700,1077952832,1360,114,0,0,10,49,90775708,45729
21,15438,93.5,2.3,113468064,73409100,39518292,35,2520,7819780,1349928,3963712,1077952832,1422,120,0,0,10,49,90775708,43120
22,16188,90.0,2.2,113468064,73409100,39518292,35,2520,7819780,1320996,3933216,1077952832,1483,124,0,0,10,49,90775708,39020
23,16935,100,2.0,113468064,73409100,39518292,35,2520,7819780,1336884,3941420,1077952832,1552,132,0,0,10,49,90775708,38705
24,17697,90.0,2.1,113468064,73409100,39518292,35,2520,7819780,1333696,3945148,1077952832,1603,138,0,0,10,49,90775708,47292
25,18468,90.3,1.9,113468064,73409100,39518292,35,2520,7819780,1346552,3951088,1077952832,1675,146,0,0,10,49,90775708,44078
26,19219,106,2.3,113468064,73409100,39518292,35,2520,7819780,1349040,3953576,1077952832,1730,151,0,0,10,49,90775708,42378
27,19959,96.7,2.2,113468064,73409100,39518292,35,2520,7819780,1363580,3968116,1077952832,1803,155,0,0,10,49,90775708,39736
28,20682,106,2.1,113468064,73409100,39518292,35,2520,7819780,1331932,3936468,1077952832,1864,158,0,0,10,49,90775708,44005
29,21443,96.7,2.2,113468064,73409100,39518292,35,2520,7819780,1326752,3931288,1077952832,1934,163,0,0,10,49,90775708,47018
