
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: headless_fb_mal-Object-Text-13pt5min
--------------------------------------------------------------------------------

Application output directory created at: output/headless_fb_mal-Object-Text-13pt5min
Output will be written to file: output/headless_fb_mal-Object-Text-13pt5min/headless_fb_mal-Object-Text-13pt5min.2020-08-27.142132.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb_mal
\t Application local name: \t\t headless_fb_mal-Object-Text-13pt5min
\t Run time (milliseconds): \t\t\t 810000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb_mal
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=8ms (0ms mobile, 0ms wifi, 8ms not connected)

--------------------------------------------------------------------------------

App PID: 29450
Trial start time (ms): 1598552492077

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,72.4,2.9,113468064,72917412,40009980,36,3188,7819780,366224,3487948,1077952832,248,30,0,0,10,53,159080501,41851
2,1178,110,2.2,113468064,72917412,40009980,36,3188,7819780,347632,3469360,1077952832,301,34,0,0,10,53,159080501,45580
3,1943,51.7,2.3,113468064,72917412,40009980,36,3188,7819780,327496,3446260,1077952832,352,40,0,0,10,53,159080501,50834
4,2687,42.4,2.6,113468064,72917416,40009976,36,3188,7819780,309304,3427868,1077952832,396,44,0,0,10,53,159080501,55165
5,3496,134,2.8,113468064,72917416,40009976,36,3188,7819780,366160,3476528,1077952832,458,48,0,0,10,49,159080501,41067
6,4220,65.5,2.1,113468064,72917416,40009976,36,3188,7819780,349552,3469172,1077952832,515,52,0,0,10,49,159080501,46262
7,4980,50.0,1.9,113468064,72917416,40009976,36,3188,7819780,367020,3477388,1077952832,559,58,0,0,10,49,159080501,40985
8,5768,96.6,2.2,113468064,72917416,40009976,36,3188,7819780,345532,3455900,1077952832,617,60,0,0,10,49,159080501,39077
9,6566,93.3,2.1,113468064,72917416,40009976,36,3188,7819780,357620,3467988,1077952832,674,64,0,0,10,49,159080501,45228
10,7356,58.6,2.3,113468064,72917416,40009976,36,3188,7819780,369800,3489420,1077952832,733,68,0,0,10,49,159080501,42339
11,8110,106,2.1,113468064,72917416,40009976,36,3188,7819780,350508,3460876,4211008,785,71,0,0,10,49,159080501,39530
12,8865,123,2.0,113468064,72917416,40009976,36,3188,7819780,354360,3476940,1077952832,852,77,0,0,10,49,159080501,44090
13,9634,72.4,2.3,113468064,72917416,40009976,36,3188,7819780,367156,3498988,1077952832,917,85,0,0,10,49,159080501,40864
14,10371,56.2,2.1,113468064,72917416,40009976,36,3188,7819780,353092,3484924,4211008,958,87,0,0,10,49,159080501,44975
15,11176,119,2.0,113468064,72917416,40009976,36,3188,7819780,358172,3480752,4211008,1019,95,0,0,10,49,159080501,44285
16,11955,103,2.2,113468064,72917416,40009976,36,3188,7819780,338468,3461048,4211008,1084,96,0,0,10,49,159080501,39186
17,12729,106,2.0,113468064,72917416,40009976,36,3188,7819780,355152,3477732,1077952832,1142,100,0,0,10,49,159080501,44537
18,13499,62.0,2.3,113468064,72917416,40009976,36,3188,7819780,370336,3502168,1077952832,1201,106,0,0,10,49,159080501,42144
19,14243,93.1,2.1,113468064,72917416,40009976,36,3188,7819780,349272,3477448,4211008,1255,107,0,0,10,49,159080501,46654
20,15010,116,2.4,113468064,72917416,40009976,36,3188,7819780,362068,3484648,4211008,1309,116,0,0,10,49,159080501,43018
21,15785,103,2.2,113468064,72917416,40009976,36,3188,7819780,344484,3467064,1077952832,1364,121,0,0,10,49,159080501,37262
22,16571,56.6,2.0,113468064,72917416,40009976,36,3188,7819780,359600,3491432,1077952832,1421,125,0,0,10,49,159080501,42133
23,17350,83.3,2.2,113468064,72917416,40009976,36,3188,7819780,373136,3497120,4211008,1469,129,0,0,10,49,159080501,40662
