
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: headless_fb_mal-Object-Text-9min
--------------------------------------------------------------------------------

Application output directory created at: output/headless_fb_mal-Object-Text-9min
Output will be written to file: output/headless_fb_mal-Object-Text-9min/headless_fb_mal-Object-Text-9min.2020-08-27.145843.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb_mal
\t Application local name: \t\t headless_fb_mal-Object-Text-9min
\t Run time (milliseconds): \t\t\t 540000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb_mal
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=9ms (0ms mobile, 0ms wifi, 9ms not connected)

--------------------------------------------------------------------------------

App PID: 16308
Trial start time (ms): 1598554723269

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,151,2.7,113468064,72914124,40013268,36,6032,7819780,673384,3785428,1077952832,239,25,0,0,10,54,159303638,40600
2,1124,89.6,2.1,113468064,72914124,40013268,36,6032,7819780,667688,3779736,1077952832,299,30,0,0,10,54,159303638,45447
3,1869,113,2.3,113468064,72914124,40013268,36,6032,7819780,644108,3765452,1077952832,358,35,0,0,10,54,159303638,50840
4,2617,93.1,2.6,113468064,72914128,40013264,36,6032,7819780,624896,3746236,1077952832,415,38,0,0,10,54,159303638,54461
5,3425,96.5,2.8,113468064,72914128,40013264,36,6032,7819780,680804,3802144,1077952832,476,48,0,0,10,50,159303638,40891
6,4111,90.3,2.1,113468064,72914128,40013264,36,6032,7819780,664024,3776112,4211008,520,51,0,0,10,50,159303638,45646
7,4884,113,2.0,113468064,72914128,40013264,36,6032,7819780,670748,3782836,4211008,581,55,0,0,10,50,159303638,45753
8,5645,103,2.4,113468064,72914128,40013264,36,6032,7819780,683204,3795292,1077952832,641,60,0,0,10,50,159303638,41497
9,6369,48.2,2.1,113468064,72914128,40013264,36,6032,7819780,664264,3785604,1077952832,697,66,0,0,10,50,159303638,45867
10,7080,58.0,2.3,113468064,72914128,40013264,36,6032,7819780,683812,3795900,1077952832,743,70,0,0,10,50,159303638,40575
11,7781,58.6,2.1,113468064,72914128,40013264,36,6032,7819780,663448,3775536,1077952832,802,72,0,0,10,50,159303638,45838
12,8511,83.3,2.3,113468064,72914128,40013264,36,6032,7819780,679348,3802304,1077952832,848,76,0,0,10,50,159303638,41756
13,9277,103,2.1,113468064,72914128,40013264,36,6032,7819780,682268,3804456,1077952832,909,83,0,0,10,50,159303638,39477
14,10048,90.0,2.1,113468064,72914128,40013264,36,6032,7819780,647984,3779424,1077952832,962,89,0,0,10,50,159303638,35200
15,10781,117,1.8,113468064,72914088,40013304,36,6032,7819780,636892,3759116,1077952832,1023,92,0,0,10,50,159303638,41813
16,11567,86.6,2.1,113468064,72914088,40013304,36,6032,7819780,649524,3771752,1077952832,1079,97,0,0,10,50,159303638,38017
17,12331,82.7,2.0,113468064,72914088,40013304,36,6032,7819780,626464,3748692,4211008,1145,103,0,0,10,50,159303638,36373
18,13063,103,1.9,113468064,72914088,40013304,36,6032,7819780,636768,3758996,1077952832,1203,109,0,0,10,50,159303638,40257
19,13826,60.0,2.1,113468064,72914088,40013304,36,6032,7819780,618740,3750220,1077952832,1249,115,0,0,10,50,159303638,36890
20,14436,106,1.9,113468064,72914088,40013304,36,6032,7819780,645076,3767304,1077952832,1292,121,0,0,10,50,159303638,42925
21,15058,62.5,2.2,113468064,72914088,40013304,36,6032,7819780,621280,3752760,1077952832,1350,125,0,0,10,50,159303638,38713
22,15817,86.2,1.9,113468064,72914088,40013304,36,6032,7819780,639912,3762140,4211008,1404,129,0,0,10,50,159303638,43327
23,16601,120,2.1,113468064,72914088,40013304,36,6032,7819780,649484,3771712,1077952832,1469,133,0,0,10,50,159303638,39915
