
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: Object-Text-9min
--------------------------------------------------------------------------------

Application output directory created at: output/Object-Text-9min
Output will be written to file: output/Object-Text-9min/Object-Text-9min.2020-10-06.032136.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb_mal
\t Application local name: \t\t Object-Text-9min
\t Run time (milliseconds): \t\t\t 510000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb_mal
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=18ms (0ms mobile, 0ms wifi, 18ms not connected)

--------------------------------------------------------------------------------

App PID: 6613
Trial start time (ms): 1601968896257

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,120,2.6,113468064,67677044,45250348,41,1468,7819780,3486180,4527868,4211008,248,31,0,0,10,54,12735360,29863
2,1373,79.3,1.5,113468064,67677044,45250348,41,1468,7819780,3550160,4601120,1077952832,309,33,0,0,10,54,12735360,38120
3,2149,100,2.0,113468064,67677040,45250352,41,1468,7819780,3524344,4575312,1077952832,368,41,0,0,10,54,12735360,41704
4,2859,93.1,2.1,113468064,67677044,45250348,41,1468,7819780,3504424,4546144,4211008,426,46,0,0,10,54,12735360,49582
5,3557,75.0,1.3,113468064,67677044,45250348,41,1468,7819780,3559124,4600844,1077952832,494,54,0,0,10,54,12735360,32704
6,4344,86.6,1.3,113468064,67677044,45250348,41,1468,7819780,3555896,4597616,1077952832,553,59,0,0,10,50,12735360,29018
7,5024,100,1.7,113468064,67677044,45250348,41,1468,7819780,3574212,4625640,1077952832,617,62,0,0,10,50,12735360,29101
8,5730,75.8,1.5,113468064,67677044,45250348,41,1468,7819780,3581816,4624100,1077952832,664,72,0,0,10,50,12735360,25727
9,6419,117,1.5,113468064,67677044,45250348,41,1468,7819780,3546164,4588448,1077952832,731,78,0,0,10,50,12735360,22269
10,7148,82.7,1.2,113468064,67677044,45250348,41,1468,7819780,3552164,4594448,1077952832,780,84,0,0,10,50,12735360,20493
