Honest-Barcode-Text-Handheld-NonHeadless-CPU,Honest-Barcode-Text-Handheld-NonHeadless-MEM,Mal-Barcode-Text-Handheld-NonHeadless-CPU,Mal-Barcode-Text-Handheld-NonHeadless-MEM,Honest-Barcode-Text-Headless-CPU,Honest-Barcode-Text-Headless-MEM,Mal-Barcode-Text-Headless-CPU,Mal-Barcode-Text-Headless-MEM,Honest-Barcode-Text-Handheld-Headless-CPU,Honest-Barcode-Text-Handheld-Headless-MEM,Mal-Barcode-Text-Handheld-Headless-CPU,Mal-Barcode-Text-Handheld-Headless-MEM
116,1.3,140,1.3,43.3,1.8,120,2,48.3,1.9,175,2.6
108,1.3,152,1.4,41.3,1.7,116,2.5,48.3,2,144,2.7
108,1.3,140,1.5,27.5,1.6,116,2.2,56.6,1.8,148,2.9
124,1.7,152,1.4,20.6,1.5,124,2.3,16.1,1.9,132,2.8
116,1.6,152,1.3,44.8,1.8,110,2.3,48.2,1.8,156,2.9
120,1.5,144,1.3,34.4,1.7,131,2.7,41.3,1.6,151,3.1
111,1.4,148,1.3,30,1.6,113,2.5,10,1.9,148,3
120,1.3,168,1.5,17.2,1.5,120,2.8,38.7,1.8,148,3.4
112,1.3,164,1.4,27.5,1.8,110,3,37.9,1.8,148,3.4
112,1.3,136,1.6,43.3,1.7,137,3.2,24.1,1.8,166,3.5
116,1.3,164,1.4,41.3,1.6,177,2.7,17.2,1.7,143,3.4
108,1.3,132,1.9,41.3,1.5,193,1.2,32.2,1.9,151,4.2
112,1.3,136,1.8,48.2,1.8,80,1.5,37.9,1.8,267,4.1
112,1.3,140,1.8,32.2,1.8,83.3,1.6,37.9,1.6,268,4.4
116,1.3,168,2,43.3,1.7,80,1.3,23.3,1.9,272,4.3
112,1.3,176,1.9,9.6,1.6,89.6,1.3,16.6,1.7,245,3.2
112,1.3,144,1.8,58.6,1.9,79.3,1.9,20,1.6,264,3.1
112,1.3,236,1.8,44.8,1.8,83.3,1.6,51.7,1.8,241,3.2
116,1.3,204,2,43.3,1.7,70.9,1.8,29,1.7,246,2.9
132,1.3,216,2,41.3,1.6,86.2,1.8,51.7,1.9,251,2.8
116,1.3,236,1.9,55.1,1.9,106,2,13.7,1.8,254,3.1
