trial1,trial2,trial3
46.6,79.3,27.5
63.3,54.8,41.3
79.3,36.6,29
89.6,41.9,16.6
38.7,61.2,48.2
50,82.7,17.2
66.6,37.5,13.7
74.1,41.9,16.6
77.4,79.3,44.8
48.2,75.8,37.9
35.4,58.8,37.9
37.5,54.8,20.6
70,38.7,43.3
70,43.7,40
40,93.1,51.7
36.6,32.2,16.6
73.3,45.1,30
75.8,60,30
36.6,76.6,37.9
41.9,62,27.5
33.3,38.7,27.5
63.3,90,31.2
100,40,33.3
17.2,43.3,19.3
23.3,68.7,41.9
24.1,73.3,51.7
27.5,38.7,23.3
24.1,54.8,41.3
24.1,80,30
20.6,43.3,27.2
24.1,34.3,26.6
27.5,43.3,27.5
31,54.8,41.3
26.6,70,36.6
16.6,13.3,30
31,24.1,25.8
30,40,13.7
19.3,32.2,16.6
27.5,37.9,17.2
31,16.6,10
31,17.2,38.7
27.5,24.1,17.2
48.2,31,12.9
31,41.9,16.1
34.4,30,17.2
24.1,55.1,30
36.6,25.8,10
27.5,40,12.9
27.5,16.6,22.5
55.1,16.1,31
35.4,29,36.6
34.4,22.5,45.1
36.6,29,17.2
34.4,20,16.1
34.4,22.5,20
27.5,19.3,23.3
27.5,16.1,16.6
25.8,40,23.3
36.6,31,24.1
22.5,30,18.7
27.5,37.9,46.6
51.7,17.2,48.2
25.8,17.2,10
26.6,62,16.1
10,20,53.3
6.8,20,17.2
27.5,41.9,31
12.5,25.8,37.9
26.6,28.1,22.5
41.3,46.6,16.6
33.3,41.3,13.3
17.2,34.4,43.3
55.1,13.7,31
26.6,20.6,41.3
41.3,50,41.3
19.3,25.8,20
37.9,25,41.9
55.1,26.6,38.7
23.3,25.8,34.4
9.6,35.4,16.1
16.6,26.6,51.7
27.5,33.3,26.6
26.6,24.1,16.6
31,40,32.2
41.9,31,9.6
27.5,16.6,48.2
31,34.4,37.9
9.6,16.1,9.6
31,19.3,16.6
20,6.8,27.5
35.4,40,30
25,32.2,30
20,10,20
16.6,38.7,30
20.6,37.9,23.3
12.9,34.4,34.4
19.3,27.5,31
10,27.5,12.9
48.3,10,26.6
22.5,10.3,26.6
17.2,22.5,30
16.6,33.3,48.2
38.7,27.5,13.7
37.9,55.1,41.9
25.8,23.3,31
20,37.9,44.8
16.6,56.6,26.6
34.4,40,30
29,27.5,62
20,19.3,27.5
20.6,13.7,40
23.3,31,27.5
10,23.3,34.4
10.3,31,34.3
31,27.5,19.3
35.4,26.6,33.3
46.6,12.9,30
31,13.7,16.1
27.5,25.8,31
23.3,41.3,17.2
31,34.4,27.5
16.6,20,48.2
44.8,30,13.3
37.9,26.6,25.8
9.6,31,27.5
26.6,41.9,33.3
30,13.3,17.2
40,24.1,20
50,16.6,22.5
23.3,10.3,22.5
48.2,44.8,29
38.7,26.6,26.6
13.3,40,34.4
40,34.4,41.3
41.3,37.9,17.2
17.2,31,6.6
27.5,31,45.1
31.2,33.3,31
24.1,32.2,22.5
16.6,30,40
17.2,27.5,20.6
26.6,26.6,37.9
27.5,44.8,40
13.7,30,30
29,31,20
31,38.7,13.7
38.7,27.5,25.8
6.6,33.3,33.3
41.3,44.8,22.5
37.9,41.3,16.6
45.1,16.6,22.5
35.4,41.9,27.5
16.1,41.3,37.9
17.2,32.2,31
9.6,13.3,24.1
20,23.3,30
40,30,31
23.3,9.6,9.6
31,24.1,34.4
30,27.5,22.5
30,26.6,10.3
51.6,25.8,16.6
37.9,48.2,44.8
16.6,23.3,17.2
26.6,23.3,23.3
16.1,25.8,16.6
30,27.5,35.4
41.3,30,24.1
32.2,22.5,44.8
37.9,16.6,17.2
46.6,31,23.3
22.5,37.9,31
43.3,33.3,27.5
20.6,35.4,27.5
20.6,17.2,37.9
12.9,34.4,27.5
22.5,37.9,19.3
24.1,20,12.9
44.8,41.3,20.6
13.3,32.2,37.9
19.3,26.6,27.5
34.4,36.6,17.2
10,15.1,13.3
31,15.6,13.7
13.3,43.3,33.3
10.3,29,31
16.6,22.5,28.1
24.1,13.3,43.3
23.3,23.3,34.4
34.4,23.3,19.3
26.6,6.8,48.2
31,37.9,24.1
31,46.6,40
27.5,20.6,34.4
44.8,10,35.4
17.2,37.5,13.7
6.8,30,26.6
24.1,34.4,13.3
17.2,17.2,22.5
30,23.3,24.1
25.8,44.8,13.3
40,16.6,33.3
34.4,20,33.3
17.2,26.6,24.1
33.3,27.5,16.1
43.3,25.8,37.9
43.3,20,43.3
44.8,41.3,43.7
31,20.6,46.6
27.5,16.1,44.8
33.3,10.3,46.6
30,10.3,41.3
43.3,23.3,40
23.3,20.6,50
44.8,46.6,48.2
30,26.6,41.3
37.9,29,33.3
46.6,25.8,44.8
24.1,29,43.3
43.3,36.6,35.4
30,44.8,38.7
34.4,41.3,40
31,12.5,40
33.3,32.2,35.4
37.9,36.6,48.2
31,44.8,45.1
41.3,30,30
22.5,29,48.2
6.4,12.9,51.7
38.7,16.1,40
27.5,9.6,40
20,16.6,37.9
26.6,30,44.8
34.4,23.3,48.3
28.1,37.9,41.3
51.6,16.6,35.4
43.3,41.3,46.6
24.1,22.5,38.7
13.3,24.1,40
30,6.4,48.2
40,22.5,41.3
20.6,51.7,44.8
26.6,20.6,40
37.9,44.8,38.7
22.5,17.2,31
17.2,23.3,37.9
13.3,31,53.3
27.5,33.3,40
16.6,27.5,35.4
34.4,32.2,32.2
30,24.1,37.9
