trial1,trial2,trial3
127,120,120
106,120,120
119,109,113
120,113,120
113,113,113
120,113,117
116,123,127
120,130,116
113,117,110
116,131,117
112,117,113
113,109,117
131,109,113
117,123,120
113,113,113
110,113,127
109,113,117
110,106,120
120,123,106
120,120,120
120,103,120
110,113,120
116,110,113
110,106,120
123,113,109
112,133,113
110,127,113
120,116,116
113,110,117
122,120,123
113,110,109
116,124,113
110,113,117
116,113,113
120,109,113
131,116,110
126,113,106
117,117,112
113,113,116
109,113,113
109,106,109
116,110,113
120,120,113
113,123,110
129,113,117
113,120,123
123,110,110
106,116,123
110,120,134
124,113,126
110,106,109
113,117,120
113,110,110
133,116,117
106,130,117
119,117,110
113,113,112
137,127,131
106,109,117
130,116,110
110,120,117
106,110,133
106,110,110
110,106,124
183,124,120
186,134,120
189,113,113
176,116,126
170,103,106
176,117,124
176,106,106
183,124,120
158,127,106
186,120,110
163,106,113
193,113,170
161,176,163
180,179,183
173,174,180
93.5,176,186
96.7,179,193
73.3,166,170
96.6,180,193
96.5,182,180
82.7,179,174
103,193,186
77.4,160,168
83.8,193,182
80,173,175
89.6,186,116
83.3,196,103
106,155,96.6
93.3,90,89.6
93.3,96.8,103
96.7,66.6,93.3
116,100,77.4
90.3,89.6,90
90,83.3,80.6
90.3,76.6,90.3
106,113,96.6
81.2,83.3,93.3
93.1,90,86.2
86.6,83.3,106
93.3,86.2,113
83.3,103,68.7
90,83.3,82.7
83.8,103,80
80,75.8,96.6
83.3,80.6,110
86.6,90,82.7
93.3,82.7,75.8
96.6,80,77.4
106,82.7,90
86.6,73.3,90
86.2,100,80
79.3,74.1,72.4
93.1,80,76.6
106,68.9,93.3
60,87,77.4
79.3,86.6,103
70.9,90,87
73.3,96.7,81.2
86.2,60,90.6
81.2,77.4,106
90.3,76.6,90
106,79.3,90
110,103,58
106,109,73.3
103,83.8,87
93.1,82.7,93.3
86.6,73.3,90
113,96.6,90
89.6,83.3,90
103,90.3,86.2
100,79.3,103
87,78.1,86.2
93.5,96.7,68.9
93.3,83.8,93.1
79.3,100,110
84.3,79.3,109
86.6,96.5,96.6
79.3,80,87
83.3,96.6,110
83.3,113,83.8
106,106,106
86.6,80.6,74.1
86.2,75.8,93.5
100,87.5,110
79.3,96.6,93.5
63.3,93.3,96.6
96.7,89.6,103
79.3,80.6,86.6
90,73.3,76.6
77.4,83.3,96.6
100,72.4,80.6
106,66.6,83.8
76.6,96.5,103
106,65.6,90
100,80.6,73.3
76.6,66.6,100
76.6,73.3,83.3
68.7,113,86.2
86.2,110,60
127,80.6,103
72.4,86.6,110
86.6,90.6,93.3
100,100,75
86.2,100,93.3
80.6,82.7,83.3
80,110,60
100,96.6,74.1
76.6,96.5,110
96.6,81.2,89.6
100,76.6,75.8
90,96.5,86.2
100,86.6,86.2
90,70,86.2
93.3,80,82.7
90,96.7,100
103,93.1,82.7
106,79.3,90
76.6,110,89.6
106,96.5,96.6
100,110,75
93.3,79.3,100
70,87,76.6
83.3,75.8,82.7
77.4,76.6,106
110,66.6,103
80.6,70.9,96.6
70,96.7,62
86.6,83.3,100
123,103,73.3
70,86.2,93.3
103,76.6,93.1
58,77.4,112
116,82.7,73.3
100,124,106
124,82.7,93.3
77.4,106,93.3
86.2,80.6,96.6
93.3,103,80.6
110,86.6,76.6
79.3,103,82.7
96.6,75.8,103
83.3,103,83.3
76.6,90,76.6
100,100,93.1
100,100,63.3
116,100,103
86.6,100,77.4
96.5,70.9,83.8
82.7,93.1,83.3
82.7,96.5,106
100,90,100
80.6,124,86.6
103,89.6,86.6
96.6,100,125
73.3,75.8,96.5
76.6,96.6,93.3
90.3,73.3,69.6
96.6,82.7,58
93.1,79.3,93.3
65.5,80,96.6
62,76.6,96.5
103,79.3,76.6
96.7,90.3,78.1
80,74.1,86.6
113,70,76.6
110,100,89.6
86.2,100,100
86.6,82.7,76.6
87,90.3,66.6
76.6,83.3,89.6
80,82.7,86.6
93.3,66.6,103
90,89.6,72.4
80,89.6,60
100,96.6,79.3
89.6,82.7,78.1
76.6,82.7,83.3
106,83.8,82.7
