
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: headless_fb_honest
--------------------------------------------------------------------------------

Application output directory created at: output/headless_fb_honest
Output will be written to file: output/headless_fb_honest/headless_fb_honest.2020-08-13.050808.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb
\t Application local name: \t\t headless_fb_honest
\t Run time (milliseconds): \t\t\t 270000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=11ms (0ms mobile, 0ms wifi, 11ms not connected)

--------------------------------------------------------------------------------

App PID: 32765
Trial start time (ms): 1597309688851

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,48.3,1.9,113468064,73924536,39002856,35,124592,7819780,741660,4079496,1077952832,700,28,0,0,10,24,34799424,38849
2,2287,48.3,2.0,113468064,73924536,39002856,35,124592,7819780,762196,4103200,4211008,798,32,0,0,10,24,34799424,33618
3,4061,56.6,1.8,113468064,73924536,39002856,35,124592,7819780,750548,4091552,1077952832,901,32,0,0,10,24,34799424,36471
4,5881,16.1,1.9,113468064,73924536,39002856,35,124592,7819780,735536,4068388,1077952832,983,34,0,0,10,24,34799424,32426
5,7692,48.2,1.8,113468064,73924536,39002856,35,124592,7819780,744096,4076396,1077952832,1033,40,0,0,10,24,34799424,37604
6,9427,41.3,1.6,113468064,73924536,39002856,35,124592,7819780,756828,4089128,1077952832,1083,43,0,0,10,24,34799424,34144
7,11157,10.0,1.9,113468064,73924536,39002856,35,124592,7819780,726020,4067028,1077952832,1124,46,0,0,10,24,34799424,39320
8,12901,38.7,1.8,113468064,73953716,38973676,35,124592,7819780,779284,4081768,1077952832,1167,51,0,0,10,24,34799424,36793
9,14619,37.9,1.8,113468064,73953716,38973676,35,124592,7819780,789652,4100844,1077952832,1221,58,0,0,10,24,34799424,33907
10,16379,24.1,1.8,113468064,73953716,38973676,35,124592,7819780,775464,4080100,1077952832,1262,61,0,0,10,24,34799424,38510
11,18129,17.2,1.7,113468064,73953716,38973676,35,124592,7819780,786612,4097812,1077952832,1305,64,0,0,10,24,34799424,35618
12,19814,32.2,1.9,113468064,73953776,38973616,35,124592,7819780,774292,4076756,1077952832,1348,69,0,0,10,23,34799424,31941
13,21624,37.9,1.8,113468064,73953776,38973616,35,124592,7819780,786608,4091264,1077952832,1396,73,0,0,10,23,34799424,37124
14,23385,37.9,1.6,113468064,73953776,38973616,35,124592,7819780,797848,4108972,4211008,1446,77,0,0,10,23,34799424,34611
15,25184,23.3,1.9,113468064,73953776,38973616,35,124592,7819780,776636,4087760,1077952832,1490,81,0,0,10,23,34799424,39400
16,26954,16.6,1.7,113468064,73953776,38973616,35,124592,7819780,788952,4100084,1077952832,1526,86,0,0,10,23,34799424,36420
17,28718,20.0,1.6,113468064,73953776,38973616,35,124592,7819780,798908,4101884,1077952832,1566,91,0,0,10,23,34799424,33533
18,30346,51.7,1.8,113468064,73953776,38973616,35,124592,7819780,781364,4083788,1077952832,1612,95,0,0,10,23,34799424,38133
19,32080,29.0,1.7,113468064,73953776,38973616,35,124592,7819780,792532,4094956,1077952832,1660,99,0,0,10,23,34799424,35067
20,33844,51.7,1.9,113468064,73953776,38973616,35,124592,7819780,802732,4105156,1077952832,1701,104,0,0,10,23,34799424,32179
21,35562,13.7,1.8,113468064,73953776,38973616,35,124592,7819780,782488,4093620,1077952832,1741,108,0,0,10,23,34799424,38273
22,37281,20.6,1.7,113468064,73953776,38973616,35,124592,7819780,794468,4105600,1077952832,1788,111,0,0,10,23,34799424,35292
23,39000,37.9,1.9,113468064,73953776,38973616,35,124592,7819780,775656,4078080,1077952832,1822,118,0,0,10,23,34799424,39892
24,40746,23.3,1.8,113468064,73953732,38973660,35,124592,7819780,799164,4110900,1077952832,1866,121,0,0,10,23,34799424,37541
25,42550,10.0,1.6,113468064,73953732,38973660,35,124592,7819780,811164,4122900,1077952832,1908,123,0,0,10,23,34799424,34650
26,44287,20.6,1.9,113468064,73953732,38973660,35,124592,7819780,789704,4101440,1077952832,1953,130,0,0,10,23,34799424,39827
27,46028,30.0,1.7,113468064,73953732,38973660,35,124592,7819780,803184,4106792,1077952832,1999,133,0,0,10,23,34799424,36843
28,47856,23.3,1.6,113468064,73953732,38973660,35,124592,7819780,809444,4121184,1077952832,2050,136,0,0,10,23,34799424,34436
29,49605,37.9,1.9,113468064,73953732,38973660,35,124592,7819780,790152,4093620,1077952832,2089,139,0,0,10,23,34799424,39038
30,51323,33.3,1.7,113468064,73953732,38973660,35,124592,7819780,801536,4113304,1077952832,2135,144,0,0,10,23,34799424,36057
31,53076,30.0,2.0,113468064,73953732,38973660,35,124592,7819780,813292,4125060,1077952832,2182,149,0,0,10,23,34799424,33072
32,54858,40.0,1.8,113468064,73953720,38973672,35,124592,7819780,790188,4093260,1077952832,2229,151,0,0,10,23,34799424,38249
33,56557,20.0,1.7,113468064,73953704,38973688,35,124592,7819780,800268,4112548,1077952832,2273,152,0,0,10,23,34799424,35929
34,58282,37.9,2.0,113468064,73953704,38973688,35,124592,7819780,810580,4122876,1077952832,2317,157,0,0,10,23,34799424,33047
35,60000,26.6,1.8,113468064,73953704,38973688,35,124592,7819780,792108,4095696,1077952832,2355,158,0,0,10,23,34799424,37648
36,61771,44.8,1.6,113468064,73953704,38973688,35,124592,7819780,803428,4108808,1077952832,2408,161,0,0,10,23,34799424,34660
37,63532,37.9,1.9,113468064,73953704,38973688,35,124592,7819780,784676,4088264,1077952832,2451,163,0,0,10,23,34799424,39261
38,65226,24.1,1.7,113468064,73953704,38973688,35,124592,7819780,797756,4109388,1077952832,2495,166,0,0,10,23,34799424,35704
39,66970,50.0,2.0,113468064,73953704,38973688,35,124592,7819780,810296,4113888,1077952832,2540,170,0,0,10,23,34799424,32718
40,68733,17.2,1.8,113468064,73953692,38973700,35,124592,7819780,788952,4101252,1077952832,2583,172,0,0,10,23,34799424,37896
41,70513,31.0,1.6,113468064,73953692,38973700,35,124592,7819780,799972,4103572,1077952832,2623,179,0,0,10,23,34799424,34910
42,72252,51.7,1.9,113468064,73953680,38973712,35,124592,7819780,807876,4112052,1077952832,2669,183,0,0,10,23,34799424,32019
43,74031,30.0,1.8,113468064,73953680,38973712,35,124592,7819780,787168,4099500,1077952832,2719,185,0,0,10,23,34799424,37195
44,75766,6.8,1.6,113468064,73953680,38973712,35,124592,7819780,799392,4111724,1077952832,2760,188,0,0,10,23,34799424,34222
45,77492,13.3,1.9,113468064,73953680,38973712,35,124592,7819780,777732,4090064,1077952832,2804,193,0,0,10,23,34799424,32762
46,79312,32.2,1.8,113468064,73953680,38973712,35,124592,7819780,792904,4096528,1077952832,2865,196,0,0,10,23,34799424,36827
47,81019,33.3,1.6,113468064,73953680,38973712,35,124592,7819780,801180,4113512,1077952832,2933,201,0,0,10,23,34799424,34545
48,82794,46.6,1.9,113468064,73953688,38973704,35,124592,7819780,775916,4090324,4211008,3001,201,0,0,10,23,34799424,38527
49,84523,33.3,1.7,113468064,73953684,38973708,35,124592,7819780,770012,4094012,1077952832,3075,205,0,0,10,23,34799424,36176
50,86277,27.2,1.9,113468064,73953684,38973708,35,124592,7819780,762260,4086272,1077952832,3141,210,0,0,10,23,34799424,40272
51,88069,60.0,1.7,113468064,73953684,38973708,35,124592,7819780,778204,4094060,1077952832,3207,214,0,0,10,23,34799424,36295
52,89897,38.7,2.0,113468064,73953684,38973708,35,124592,7819780,761960,4078520,1077952832,3269,220,0,0,10,23,34799424,40316
53,91627,33.3,1.7,113468064,73953684,38973708,35,124592,7819780,819564,4134884,1077952832,3339,223,0,0,10,23,34799424,36233
54,93326,43.3,2.0,113468064,73953684,38973708,35,124592,7819780,803676,4126664,1077952832,3403,227,0,0,10,23,34799424,40344
55,95045,50.0,1.7,113468064,73953684,38973708,35,124592,7819780,819128,4136224,1077952832,3468,231,0,0,10,23,34799424,36191
56,96795,36.6,1.9,113468064,73953684,38973708,35,124592,7819780,802420,4117728,1077952832,3529,234,0,0,10,23,34799424,40348
57,98501,46.6,1.7,113468064,73953684,38973708,35,124592,7819780,818632,4133940,1077952832,3595,238,0,0,10,23,34799424,36227
58,100215,33.3,2.0,113468064,73953684,38973708,35,124592,7819780,802524,4117832,1077952832,3656,238,0,0,10,23,34799424,40321
59,101916,50.0,1.7,113468064,73953684,38973708,35,124592,7819780,819160,4135020,1077952832,3725,242,0,0,10,23,34799424,36195
60,103731,32.2,2.0,113468064,73953684,38973708,35,124592,7819780,800824,4116708,4211008,3793,243,0,0,10,23,34799424,40877
61,105515,27.5,1.7,113468064,73953684,38973708,35,124592,7819780,824836,4148940,1077952832,3867,245,0,0,10,23,34799424,36796
62,107291,46.6,2.0,113468064,73953684,38973708,35,124592,7819780,807376,4131480,1077952832,3935,250,0,0,10,23,34799424,32687
63,109034,43.3,1.7,113468064,73953684,38973708,35,124592,7819780,824108,4148212,1077952832,4007,252,0,0,10,23,34799424,36809
64,110855,44.8,1.9,113468064,73953684,38973708,35,124592,7819780,807212,4131320,1077952832,4082,254,0,0,10,23,34799424,32626
65,112642,44.8,1.7,113468064,73953716,38973676,35,124592,7819780,825088,4149172,1077952832,4152,254,0,0,10,23,34799424,36837
66,114388,41.3,2.0,113468064,73953716,38973676,35,124592,7819780,808160,4132244,1077952832,4222,255,0,0,10,23,34799424,40474
67,116157,40.0,1.7,113468064,73953716,38973676,35,124592,7819780,826184,4141560,1077952832,4298,257,0,0,10,23,34799424,36261
68,117881,43.3,1.9,113468064,73953716,38973676,35,124592,7819780,809344,4133428,1077952832,4366,262,0,0,10,23,34799424,32511
69,119683,40.0,1.7,113468064,73953716,38973676,35,124592,7819780,822636,4146720,1077952832,4430,265,0,0,10,23,34799424,36786
70,121376,30.3,1.9,113468064,73953716,38973676,35,124592,7819780,807632,4131720,1077952832,4504,267,0,0,10,23,34799424,32614
