
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: headless_fb-Barcode-Text-13pt5min
--------------------------------------------------------------------------------

Application output directory created at: output/headless_fb-Barcode-Text-13pt5min
Output will be written to file: output/headless_fb-Barcode-Text-13pt5min/headless_fb-Barcode-Text-13pt5min.2020-10-01.184842.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb
\t Application local name: \t\t headless_fb-Barcode-Text-13pt5min
\t Run time (milliseconds): \t\t\t 810000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=7ms (0ms mobile, 0ms wifi, 7ms not connected)

--------------------------------------------------------------------------------

App PID: 28342
Trial start time (ms): 1601592522457

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,79.3,1.5,113468064,67984876,44942516,40,2628,7819780,681864,3437384,1077952832,222,10,0,0,10,25,100782148,31920
2,1268,54.8,1.6,113468064,67984876,44942516,40,2628,7819780,675168,3430692,1077952832,270,11,0,0,10,25,100782148,33447
3,2097,36.6,1.7,113468064,67984880,44942512,40,2628,7819780,672924,3431616,1077952832,320,11,0,0,10,25,100782148,34455
4,2935,41.9,1.8,113468064,67984880,44942512,40,2628,7819780,667156,3425848,1077952832,372,13,0,0,10,21,100782148,36027
5,3745,61.2,1.8,113468064,67984880,44942512,40,2628,7819780,660440,3419132,1077952832,418,15,0,0,10,21,100782148,37552
6,4536,82.7,1.9,113468064,67984880,44942512,40,2628,7819780,657400,3416092,1077952832,457,17,0,0,10,21,100782148,39154
7,5252,37.5,2.0,113468064,67984880,44942512,40,2628,7819780,651480,3410172,1077952832,501,19,0,0,10,21,100782148,39929
8,6076,41.9,2.0,113468064,67984880,44942512,40,2628,7819780,645576,3404268,1077952832,552,20,0,0,10,21,100782148,41538
9,6817,79.3,2.1,113468064,67984880,44942512,40,2628,7819780,640744,3390184,1077952832,599,20,0,0,10,21,100782148,42916
10,7622,75.8,2.1,113468064,67984880,44942512,40,2628,7819780,636288,3394988,1077952832,641,20,0,0,10,21,100782148,44613
11,8446,58.8,2.2,113468064,67984880,44942512,40,2628,7819780,629608,3388308,1077952832,692,21,0,0,10,21,100782148,46034
12,9309,54.8,2.3,113468064,67984880,44942512,40,2628,7819780,623068,3381768,1077952832,736,22,0,0,10,21,100782148,47672
13,10065,38.7,2.4,113468064,67984880,44942512,40,2628,7819780,618200,3376900,1077952832,782,25,0,0,10,21,100782148,47870
14,10866,43.7,2.5,113468064,67984880,44942512,40,2628,7819780,610424,3369128,1077952832,834,25,0,0,10,21,100782148,49743
15,11593,93.1,2.5,113468064,67984880,44942512,40,2628,7819780,606016,3364720,1077952832,870,29,0,0,10,21,100782148,30373
16,12287,32.2,1.5,113468064,67984880,44942512,40,2628,7819780,683784,3442488,1077952832,915,29,0,0,10,21,100782148,31468
17,13083,45.1,1.6,113468064,67984880,44942512,40,2628,7819780,676672,3435376,1077952832,967,29,0,0,10,21,100782148,33071
18,13914,60.0,1.7,113468064,67984880,44942512,40,2628,7819780,670408,3429112,1077952832,1017,31,0,0,10,21,100782148,34380
19,14749,76.6,1.7,113468064,67984880,44942512,40,2628,7819780,666732,3416184,1077952832,1057,31,0,0,10,21,100782148,36141
20,15499,62.0,1.8,113468064,67984880,44942512,40,2628,7819780,661408,3420112,1077952832,1099,31,0,0,10,21,100782148,37587
21,16187,38.7,1.9,113468064,67984880,44942512,40,2628,7819780,656940,3415644,1077952832,1144,33,0,0,10,21,100782148,38323
22,16891,90.0,1.9,113468064,67984880,44942512,40,2628,7819780,686664,3436120,1077952832,1181,35,0,0,10,21,100782148,30981
23,17557,40.0,1.6,113468064,67984880,44942512,40,2628,7819780,681660,3440368,4211008,1225,35,0,0,10,21,100782148,33091
24,18324,43.3,1.6,113468064,67984880,44942512,40,2628,7819780,674964,3433672,1077952832,1276,36,0,0,10,21,100782148,33761
25,19076,68.7,1.7,113468064,67984880,44942512,40,2628,7819780,670836,3420292,1077952832,1320,38,0,0,10,21,100782148,35370
26,19833,73.3,1.8,113468064,67984880,44942512,40,2628,7819780,666028,3424736,1077952832,1353,39,0,0,10,21,100782148,36877
27,20536,38.7,1.8,113468064,67984880,44942512,40,2628,7819780,660464,3419172,1077952832,1404,39,0,0,10,21,100782148,37482
28,21322,54.8,1.5,113468064,67984880,44942512,40,2628,7819780,684420,3443128,1077952832,1458,40,0,0,10,21,100782148,31543
29,22047,80.0,1.6,113468064,67984880,44942512,40,2628,7819780,680852,3439560,1077952832,1495,40,0,0,10,21,100782148,33084
