
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: headless_fb_mal-Barcode-Text-13pt5min
--------------------------------------------------------------------------------

Application output directory created at: output/headless_fb_mal-Barcode-Text-13pt5min
Output will be written to file: output/headless_fb_mal-Barcode-Text-13pt5min/headless_fb_mal-Barcode-Text-13pt5min.2020-10-01.194530.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb_mal
\t Application local name: \t\t headless_fb_mal-Barcode-Text-13pt5min
\t Run time (milliseconds): \t\t\t 810000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb_mal
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=8ms (0ms mobile, 0ms wifi, 8ms not connected)

--------------------------------------------------------------------------------

App PID: 26698
Trial start time (ms): 1601595930274

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,120,1.9,113468064,67954796,44972596,40,2628,7819780,664996,3608368,1077952832,247,8,0,0,10,39,101122980,35162
2,1146,120,1.8,113468064,67954796,44972596,40,2628,7819780,679492,3622856,1077952832,334,11,0,0,10,39,101122980,38958
3,1883,113,2.0,113468064,67954796,44972596,40,2628,7819780,664408,3607780,1077952832,410,11,0,0,10,39,101122980,41539
4,2491,120,2.1,113468064,67954800,44972592,40,2628,7819780,651712,3595080,1077952832,482,13,0,0,10,39,101122980,44964
5,3135,113,2.3,113468064,67954800,44972592,40,2628,7819780,635744,3569860,1077952832,557,16,0,0,10,39,101122980,48186
6,3767,117,2.4,113468064,67954800,44972592,40,2628,7819780,621596,3564964,1077952832,638,17,0,0,10,35,101122980,51326
7,4518,127,2.6,113468064,67954800,44972592,40,2628,7819780,664556,3607924,1077952832,724,19,0,0,10,35,101122980,40225
8,5166,116,2.0,113468064,67954800,44972592,40,2628,7819780,651184,3585300,1077952832,798,22,0,0,10,35,101122980,43334
9,5828,110,2.2,113468064,67954800,44972592,40,2628,7819780,658160,3601528,1077952832,873,24,0,0,10,35,101122980,40294
10,6473,117,2.0,113468064,67954800,44972592,40,2628,7819780,640440,3574556,1077952832,951,24,0,0,10,35,101122980,43569
11,7111,113,2.2,113468064,67954800,44972592,40,2628,7819780,628952,3572320,1077952832,1022,25,0,0,10,35,101122980,41254
12,7735,117,2.1,113468064,67954800,44972592,40,2628,7819780,634248,3569000,1077952832,1090,25,0,0,10,35,101122980,45024
13,8270,113,2.3,113468064,67954800,44972592,40,2628,7819780,622976,3559428,1077952832,1151,25,0,0,10,35,101122980,48018
14,8807,120,2.4,113468064,67954800,44972592,40,2628,7819780,636716,3570832,1077952832,1223,29,0,0,10,35,101122980,44620
15,9452,113,2.2,113468064,67954800,44972592,40,2628,7819780,618180,3561548,1077952832,1298,29,0,0,10,35,101122980,47259
16,10097,127,2.5,113468064,67954800,44972592,40,2628,7819780,618044,3561412,1077952832,1375,32,0,0,10,35,101122980,46350
17,10788,117,2.4,113468064,67954800,44972592,40,2628,7819780,647180,3581932,1077952832,1449,35,0,0,10,35,101122980,50826
18,11417,120,2.6,113468064,67954800,44972592,40,2628,7819780,654476,3588592,1077952832,1525,36,0,0,10,35,101122980,50010
19,12091,106,2.6,113468064,67954800,44972592,40,2628,7819780,639260,3573376,1077952832,1601,37,0,0,10,35,101122980,52150
20,12797,120,2.7,113468064,67954800,44972592,40,2628,7819780,649180,3583296,1077952832,1692,40,0,0,10,35,101122980,50691
21,13564,120,2.6,113468064,67954800,44972592,40,2628,7819780,632844,3566960,1077952832,1778,43,0,0,10,35,101122980,54628
22,14332,120,2.8,113468064,67954800,44972592,40,2628,7819780,634020,3577396,1077952832,1853,45,0,0,10,35,101122980,52315
23,14957,113,2.7,113468064,67954800,44972592,40,2628,7819780,622708,3556832,1077952832,1927,45,0,0,10,35,101122980,55254
24,15586,120,2.8,113468064,67954800,44972592,40,2628,7819780,614740,3548864,1077952832,2004,47,0,0,10,35,101122980,53276
25,16252,109,2.7,113468064,67954800,44972592,40,2628,7819780,612232,3546356,1077952832,2089,48,0,0,10,35,101122980,56944
26,17010,113,2.9,113468064,67954800,44972592,40,2628,7819780,615580,3558956,1077952832,2157,51,0,0,10,35,101122980,54808
27,17592,113,2.8,113468064,67954800,44972592,40,2628,7819780,602248,3545624,1077952832,2226,52,0,0,10,35,101122980,58069
28,18256,116,2.9,113468064,67954800,44972592,40,2628,7819780,606544,3542988,1077952832,2309,55,0,0,10,35,101122980,57018
29,18981,117,2.9,113468064,67954800,44972592,40,2628,7819780,590408,3524532,1077952832,2381,55,0,0,10,35,101122980,59496
30,19610,123,3.1,113468064,67954800,44972592,40,2628,7819780,595964,3539340,1077952832,2463,61,0,0,10,35,101122980,58415
31,20335,109,3.0,113468064,67954800,44972592,40,2628,7819780,579820,3513944,4211008,2544,64,0,0,10,35,101122980,62081
32,21085,113,2.9,113468064,67954800,44972592,40,2628,7819780,581320,3524060,1077952832,2626,68,0,0,10,35,101122980,61120
33,21793,117,3.1,113468064,67954800,44972592,40,2628,7819780,567548,3501672,1077952832,2714,69,0,0,10,35,101122980,58259
34,22552,113,3.0,113468064,67954800,44972592,40,2628,7819780,570708,3514084,1077952832,2792,71,0,0,10,35,101122980,62248
35,23276,113,3.2,113468064,67954800,44972592,40,2628,7819780,553656,3497032,1077952832,2881,73,0,0,10,35,101122980,59836
36,24001,110,3.0,113468064,67954800,44972592,40,2628,7819780,561780,3505156,1077952832,2965,74,0,0,10,35,101122980,64027
37,24737,106,3.2,113468064,67954800,44972592,40,2628,7819780,565892,3509272,1077952832,3048,77,0,0,10,35,101122980,61690
38,25491,112,3.2,113468064,67954800,44972592,40,2628,7819780,548076,3491456,1077952832,3141,80,0,0,10,35,101122980,66733
39,26260,116,3.4,113468064,67954800,44972592,40,2628,7819780,553448,3496828,1077952832,3226,82,0,0,10,35,101122980,65205
40,27000,113,3.3,113468064,67954800,44972592,40,2628,7819780,534100,3468228,1077952832,3308,84,0,0,10,35,101122980,68492
41,27743,109,3.3,113468064,67954800,44972592,40,2628,7819780,530564,3473944,4211008,3395,86,0,0,10,35,101122980,69653
42,28500,113,3.6,113468064,67954800,44972592,40,2628,7819780,535080,3478460,1077952832,3483,87,0,0,10,34,101122980,69886
43,29237,113,3.7,113468064,67954832,44972560,40,2628,7819780,514892,3458272,1077952832,3569,88,0,0,10,34,101122980,75829
44,29977,110,3.9,113468064,67954832,44972560,40,2628,7819780,520044,3463392,1077952832,3650,91,0,0,10,34,101122980,73260
45,30718,117,3.8,113468064,67954832,44972560,40,2628,7819780,502340,3436436,1077952832,3733,92,0,0,10,34,101122980,78099
46,31444,123,4.0,113468064,67954832,44972560,40,2628,7819780,510276,3453624,1077952832,3823,97,0,0,10,34,101122980,76510
47,32183,110,3.9,113468064,67954832,44972560,40,2628,7819780,489188,3424052,1077952832,3899,100,0,0,10,34,101122980,79765
48,32885,123,4.1,113468064,67954832,44972560,40,2628,7819780,496580,3439928,1077952832,3992,101,0,0,10,34,101122980,77966
49,33659,134,4.0,113468064,67954832,44972560,40,2628,7819780,479456,3413552,1077952832,4068,105,0,0,10,34,101122980,82354
50,34360,126,4.2,113468064,67954832,44972560,40,2628,7819780,487628,3430976,1077952832,4158,106,0,0,10,34,101122980,79472
51,35055,109,4.1,113468064,67954832,44972560,40,2628,7819780,469944,3406376,1077952832,4223,109,0,0,10,34,101122980,83291
52,35677,120,4.2,113468064,67954832,44972560,40,2628,7819780,480220,3423568,1077952832,4302,111,0,0,10,34,101122980,81090
53,36324,110,4.1,113468064,67954832,44972560,40,2628,7819780,465640,3406668,1077952832,4377,114,0,0,10,34,101122980,83883
54,37054,117,4.3,113468064,67954832,44972560,40,2628,7819780,447692,3391040,1077952832,4463,117,0,0,10,34,101122980,82788
55,37773,117,4.2,113468064,67954832,44972560,40,2628,7819780,449860,3393208,4211008,4540,120,0,0,10,34,101122980,87422
56,38453,110,4.4,113468064,67954832,44972560,40,2628,7819780,459364,3402712,1077952832,4628,122,0,0,10,34,101122980,85611
57,39197,112,4.4,113468064,67954832,44972560,40,2628,7819780,438048,3381396,1077952832,4713,123,0,0,10,34,101122980,89078
58,39947,131,4.5,113468064,67954832,44972560,40,2628,7819780,441668,3385016,1077952832,4794,125,0,0,10,34,101122980,97028
59,40624,117,5.0,113468064,67954832,44972560,40,2628,7819780,429028,3372376,1077952832,4875,125,0,0,10,34,101122980,100651
60,41310,110,5.1,113468064,67954832,44972560,40,2628,7819780,438524,3381872,1077952832,4953,128,0,0,10,34,101122980,98314
61,42014,117,5.1,113468064,67954832,44972560,40,2628,7819780,418172,3361520,4211008,5037,130,0,0,10,34,101122980,102781
62,42748,133,5.2,113468064,67954832,44972560,40,2628,7819780,400836,3334932,1077952832,5132,133,0,0,10,34,101122980,99824
63,43500,110,5.1,113468064,67954832,44972560,40,2628,7819780,396340,3339688,1077952832,5212,136,0,0,10,34,101122980,103702
64,44251,124,5.3,113468064,67954832,44972560,40,2628,7819780,408696,3342792,1077952832,5301,139,0,0,10,34,101122980,101543
65,44973,120,5.2,113468064,67954832,44972560,40,2628,7819780,389168,3323264,1077952832,5384,140,0,0,10,34,101122980,105636
66,45671,120,5.4,113468064,67954832,44972560,40,2628,7819780,396160,3330256,1077952832,5454,141,0,0,10,34,101122980,103483
67,46293,113,5.3,113468064,67954832,44972560,40,2628,7819780,378524,3321872,1077952832,5530,143,0,0,10,34,101122980,106992
68,46978,126,5.4,113468064,67954832,44972560,40,2628,7819780,387496,3321592,1077952832,5619,146,0,0,10,34,101122980,105599
69,47739,106,5.4,113468064,67954832,44972560,40,2628,7819780,368768,3312116,1077952832,5709,146,0,0,10,34,101122980,110375
70,48501,124,5.6,113468064,67954832,44972560,40,2628,7819780,370996,3314344,4211008,5790,148,0,0,10,34,101122980,109511
71,49227,106,5.6,113468064,67954832,44972560,40,2628,7819780,357712,3291808,1077952832,5879,149,0,0,10,34,101122980,112772
72,49999,120,5.8,113468064,67954832,44972560,40,2628,7819780,359588,3302936,1077952832,5968,151,0,0,10,34,101122980,112295
73,50741,106,5.7,113468064,67954832,44972560,40,2628,7819780,342348,3285696,1077952832,6050,153,0,0,10,34,101122980,116201
74,51484,110,5.6,113468064,67954832,44972560,40,2628,7819780,347868,3283372,1077952832,6140,155,0,0,10,34,101122980,114122
75,52197,113,5.8,113468064,67954832,44972560,40,2628,7819780,332444,3275796,1077952832,6223,156,0,0,10,34,101122980,125502
76,52924,170,6.5,113468064,67954832,44972560,40,2628,7819780,324756,3263992,1077952832,6353,158,0,0,10,34,101122980,130492
77,53628,163,6.7,113468064,67954832,44972560,40,2628,7819780,309300,3252652,1077952832,6482,166,0,0,10,34,101122980,115447
78,54337,183,5.9,113468064,67954832,44972560,40,2628,7819780,377404,3311504,1077952832,6601,168,0,0,10,34,101122980,118684
79,55045,180,6.1,113468064,67954832,44972560,40,2628,7819780,359304,3293404,1077952832,6739,171,0,0,10,34,101122980,101666
80,55788,186,5.2,113468064,67954832,44972560,40,2628,7819780,407192,3350544,1077952832,6884,171,0,0,10,34,101122980,106025
81,56535,193,5.4,113468064,67954832,44972560,40,2628,7819780,390716,3324816,1077952832,7008,177,0,0,10,34,101122980,83636
82,57231,170,4.4,113468064,67954832,44972560,40,2628,7819780,466608,3400852,1077952832,7147,179,0,0,10,34,101122980,89567
83,57965,193,4.6,113468064,67954832,44972560,40,2628,7819780,534804,3468904,1077952832,7279,182,0,0,10,34,101122980,70499
84,58686,180,3.6,113468064,67954832,44972560,40,2628,7819780,513444,3456796,1077952832,7405,185,0,0,10,34,101122980,74628
85,59406,174,3.9,113468064,67954832,44972560,40,2628,7819780,570036,3513388,1077952832,7538,190,0,0,10,34,101122980,59488
86,60137,186,3.0,113468064,67954832,44972560,40,2628,7819780,554908,3489008,1077952832,7663,193,0,0,10,34,101122980,64070
87,60821,168,2.2,113468064,67954832,44972560,40,2628,7819780,620612,3555480,1077952832,7794,195,0,0,10,34,101122980,46622
