
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: headless_fb_honest
--------------------------------------------------------------------------------

Application output directory created at: output/headless_fb_honest
Output will be written to file: output/headless_fb_honest/headless_fb_honest.2020-08-13.050309.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb
\t Application local name: \t\t headless_fb_honest
\t Run time (milliseconds): \t\t\t 270000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=9ms (0ms mobile, 0ms wifi, 9ms not connected)

--------------------------------------------------------------------------------

App PID: 21347
Trial start time (ms): 1597309389113

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,43.3,1.8,113468064,74029076,38898316,35,27592,7819780,1191528,3861392,1077952832,1163,84,0,0,10,22,34767997,37327
2,2887,41.3,1.7,113468064,74029076,38898316,35,27592,7819780,1198064,3871096,1077952832,1214,86,0,0,10,22,34767997,35658
3,4564,27.5,1.6,113468064,74029108,38898284,35,27592,7819780,1203784,3886036,1077952832,1260,91,0,0,10,22,34767997,34116
4,6238,20.6,1.5,113468064,74029228,38898164,35,27592,7819780,1206616,3888876,1077952832,1306,98,0,0,10,21,34767997,33209
5,7987,44.8,1.8,113468064,74029228,38898164,35,27592,7819780,1215096,3888008,1077952832,1343,104,0,0,10,21,34767997,30898
6,9673,34.4,1.7,113468064,74029228,38898164,35,27592,7819780,1190620,3872784,1077952832,1391,107,0,0,10,21,34767997,37011
7,11322,30.0,1.6,113468064,74029228,38898164,35,27592,7819780,1199144,3881308,1077952832,1445,110,0,0,10,21,34767997,34706
8,13063,17.2,1.5,113468064,74029228,38898164,35,27592,7819780,1208232,3890404,1077952832,1498,112,0,0,10,21,34767997,32273
9,14796,27.5,1.8,113468064,74029228,38898164,35,27592,7819780,1214076,3896248,1077952832,1548,119,0,0,10,21,34767997,30732
10,16493,43.3,1.7,113468064,74029228,38898164,35,27592,7819780,1191828,3864732,1077952832,1594,125,0,0,10,21,34767997,36080
11,18196,41.3,1.6,113468064,74029228,38898164,35,27592,7819780,1201320,3883476,1077952832,1647,129,0,0,10,21,34767997,33774
12,19898,41.3,1.5,113468064,74029228,38898164,35,27592,7819780,1206492,3888648,1077952832,1698,135,0,0,10,21,34767997,32753
13,21661,48.2,1.8,113468064,74029228,38898164,35,27592,7819780,1212060,3885600,1077952832,1751,138,0,0,10,21,34767997,31191
14,23403,32.2,1.8,113468064,74029228,38898164,35,27592,7819780,1186532,3859436,1077952832,1806,139,0,0,10,21,34767997,38505
15,25148,43.3,1.7,113468064,74029228,38898164,35,27592,7819780,1196356,3869260,1077952832,1855,142,0,0,10,21,34767997,36204
16,26921,9.6,1.6,113468064,74029228,38898164,35,27592,7819780,1202596,3884752,1077952832,1895,147,0,0,10,21,34767997,34663
17,28695,58.6,1.9,113468064,74029228,38898164,35,27592,7819780,1211076,3883980,1077952832,1943,152,0,0,10,21,34767997,32360
18,30399,44.8,1.8,113468064,74029228,38898164,35,27592,7819780,1203940,3876872,1077952832,1990,155,0,0,10,21,34767997,38472
19,32186,43.3,1.7,113468064,74029228,38898164,35,27592,7819780,1212460,3885392,1077952832,2042,158,0,0,10,21,34767997,36169
20,33943,41.3,1.6,113468064,74029228,38898164,35,27592,7819780,1222008,3894924,1077952832,2093,163,0,0,10,21,34767997,33863
21,35655,55.1,1.9,113468064,74029228,38898164,35,27592,7819780,1231764,3904680,1077952832,2144,167,0,0,10,21,34767997,31433
22,37374,25.8,1.8,113468064,74029228,38898164,35,27592,7819780,1203140,3885308,1077952832,2187,171,0,0,10,21,34767997,38308
23,39078,22.5,1.7,113468064,74029228,38898164,35,27592,7819780,1210892,3893060,1077952832,2233,177,0,0,10,21,34767997,36775
24,40835,34.4,1.6,113468064,74029228,38898164,35,27592,7819780,1219800,3901968,1077952832,2280,184,0,0,10,21,34767997,34469
25,42584,41.3,1.9,113468064,74029228,38898164,35,27592,7819780,1227820,3903072,1077952832,2326,188,0,0,10,21,34767997,32165
26,44346,38.7,1.8,113468064,74029228,38898164,35,27592,7819780,1227416,3900316,1077952832,2362,191,0,0,10,21,34767997,32024
27,46068,17.2,1.8,113468064,74029228,38898164,35,27592,7819780,1199860,3882012,1077952832,2404,194,0,0,10,21,34767997,31124
28,47807,13.7,1.7,113468064,74029228,38898164,35,27592,7819780,1205980,3888132,1077952832,2451,198,0,0,10,21,34767997,37238
29,49538,13.7,1.7,113468064,74029228,38898164,35,27592,7819780,1209876,3892028,1077952832,2489,202,0,0,10,21,34767997,36339
30,51231,13.3,1.6,113468064,74029228,38898164,35,27592,7819780,1212288,3894440,1077952832,2521,208,0,0,10,21,34767997,35430
31,52962,24.1,1.6,113468064,74029228,38898164,35,27592,7819780,1215312,3897464,1077952832,2561,215,0,0,10,21,34767997,34530
32,54694,23.3,1.5,113468064,74029228,38898164,35,27592,7819780,1221272,3903424,1077952832,2613,222,0,0,10,21,34767997,32853
33,56461,33.3,1.8,113468064,74029228,38898164,35,27592,7819780,1227108,3909260,4211008,2664,229,0,0,10,21,34767997,31316
34,58198,33.3,1.8,113468064,74029228,38898164,35,27592,7819780,1205640,3887792,1077952832,2727,233,0,0,10,21,34767997,38019
35,59980,36.6,1.7,113468064,74029228,38898164,35,27592,7819780,1213424,3895576,1077952832,2795,240,0,0,10,21,34767997,35754
36,61762,36.3,1.5,113468064,74029228,38898164,35,27592,7819780,1222180,3904332,1077952832,2868,243,0,0,10,21,34767997,33411
37,63559,32.2,1.8,113468064,74029228,38898164,35,27592,7819780,1204336,3886488,1077952832,2935,246,0,0,10,21,34767997,38041
38,65351,37.9,1.7,113468064,74029228,38898164,35,27592,7819780,1214036,3896188,1077952832,2998,252,0,0,10,21,34767997,35730
39,67098,31.2,1.5,113468064,74029228,38898164,35,27592,7819780,1221896,3904048,1077952832,3068,254,0,0,10,21,34767997,33444
40,68879,36.6,1.8,113468064,74029228,38898164,35,27592,7819780,1200472,3882624,1077952832,3136,257,0,0,10,21,34767997,30941
41,70658,36.6,1.7,113468064,74029228,38898164,35,27592,7819780,1210060,3892212,1077952832,3198,262,0,0,10,21,34767997,36544
42,72448,30.0,1.6,113468064,74029228,38898164,35,27592,7819780,1218240,3900400,1077952832,3268,267,0,0,10,21,34767997,34226
43,74225,37.9,1.9,113468064,74029228,38898164,35,27592,7819780,1228020,3910180,1077952832,3335,270,0,0,10,21,34767997,31879
44,75998,35.4,1.7,113468064,74029228,38898164,35,27592,7819780,1206340,3888500,1077952832,3396,273,0,0,10,21,34767997,37305
45,77764,41.3,1.6,113468064,74029228,38898164,35,27592,7819780,1215528,3897688,1077952832,3466,276,0,0,10,21,34767997,34980
46,79481,50.0,1.9,113468064,74029228,38898164,35,27592,7819780,1225404,3907564,1077952832,3531,278,0,0,10,21,34767997,32710
47,81218,51.7,1.8,113468064,74028500,38898892,35,27592,7819780,1091708,3847096,1077952832,3598,281,0,0,10,21,34767997,38072
48,82784,51.7,1.8,113468064,74028760,38898632,35,27592,7819780,978572,3810440,1077952832,3685,285,0,0,10,21,34767997,38054
49,84363,62.0,1.7,113468064,74028696,38898696,35,27592,7819780,629612,3623052,1077952832,3767,286,0,0,10,21,34767997,35736
50,85989,40.0,1.6,113468064,74028596,38898796,35,27592,7819780,515948,3598368,1077952832,3855,287,0,0,10,21,34767997,35037
51,87598,55.1,1.5,113468064,74028144,38899248,35,27592,7819780,455568,3567068,1077952832,3942,288,0,0,10,21,34767997,33512
52,89220,65.5,1.9,113468064,74027972,38899420,35,27592,7819780,380872,3545076,1077952832,4021,291,0,0,10,21,34767997,31194
53,90853,56.6,1.7,113468064,74027964,38899428,35,27592,7819780,343624,3536036,1077952832,4093,291,0,0,10,21,34767997,37280
54,92437,48.2,1.6,113468064,74028436,38898956,35,27592,7819780,164816,3367740,1077952832,4168,294,0,0,10,21,34767997,34985
55,94059,44.8,1.9,113468064,74022208,38905184,35,27592,7819780,481456,3564460,1077952832,4244,297,0,0,10,21,34767997,32510
56,95689,36.6,1.8,113468064,74023972,38903420,35,27592,7819780,485584,3560156,1077952832,4316,304,0,0,10,21,34767997,37942
57,97362,50.0,1.7,113468064,74026852,38900540,35,27592,7819780,511296,3592408,1077952832,4392,310,0,0,10,21,34767997,35566
58,99124,55.1,2.0,113468064,74028424,38898968,35,27592,7819780,524384,3604028,1077952832,4460,314,0,0,10,21,34767997,32509
59,100815,40.0,1.8,113468064,74028420,38898972,35,27592,7819780,503240,3583244,1077952832,4533,314,0,0,10,21,34767997,37862
60,102570,48.2,1.7,113468064,74028364,38899028,35,27592,7819780,512884,3597028,1077952832,4608,316,0,0,10,21,34767997,35584
61,104295,28.1,1.6,113468064,74028364,38899028,35,27592,7819780,520228,3604380,1077952832,4668,322,0,0,10,21,34767997,33529
62,106078,34.4,1.8,113468064,74028352,38899040,35,27592,7819780,528232,3612616,1077952832,4739,323,0,0,10,21,34767997,39019
63,107882,36.6,1.7,113468064,74028352,38899040,35,27592,7819780,540868,3625252,1077952832,4807,328,0,0,10,21,34767997,35580
64,109706,46.6,1.9,113468064,74028352,38899040,35,27592,7819780,553600,3637992,4211008,4873,332,0,0,10,21,34767997,32663
65,111488,41.3,1.8,113468064,74028352,38899040,35,27592,7819780,530980,3615372,1077952832,4934,334,0,0,10,21,34767997,37957
66,113248,33.3,1.6,113468064,74050144,38877248,35,27592,7819780,723192,3793352,1077952832,5002,337,0,0,10,21,34767997,34920
67,114997,29.4,1.9,113468064,74050176,38877216,35,27592,7819780,701332,3771460,1077952832,5069,341,0,0,10,21,34767997,31895
68,116845,30.0,1.7,113468064,74050180,38877212,35,27592,7819780,713436,3783568,1077952832,5137,342,0,0,10,21,34767997,37183
69,118719,33.3,1.6,113468064,74050180,38877212,35,27592,7819780,725572,3786452,1077952832,5190,346,0,0,10,21,34767997,34124
70,120392,43.3,1.9,113468064,74050180,38877212,35,27592,7819780,703880,3764760,1077952832,5240,355,0,0,10,21,34767997,30745
71,122056,40.0,1.7,113468064,74050696,38876696,35,27592,7819780,717928,3778300,1077952832,5287,358,0,0,10,21,34767997,36305
72,123794,31.0,1.6,113468064,74050696,38876696,35,27592,7819780,729604,3789976,1077952832,5339,361,0,0,10,21,34767997,33289
73,125519,30.0,1.8,113468064,74050696,38876696,35,27592,7819780,706132,3775756,1077952832,5393,363,0,0,10,21,34767997,38179
74,127218,37.9,1.7,113468064,74050696,38876696,35,27592,7819780,717400,3777772,1077952832,5437,366,0,0,10,21,34767997,36318
75,128897,23.3,1.6,113468064,74050696,38876696,35,27592,7819780,726756,3796384,1077952832,5481,372,0,0,10,21,34767997,33306
76,130624,37.9,1.9,113468064,74050696,38876696,35,27592,7819780,704792,3765168,1077952832,5534,378,0,0,10,21,34767997,30781
