Timestamp,PID,User,%CPU,%MEM,MemTotal,MemFree,PID,Flags,Utime,Stime,Cutime,Cstime,Priority,NumThreads,StartTime,RSS
2020-08-13 06:54:00.931,[1m15185,u0_a422,48.0,1.6,7819780,105744,15185,1077952832,118,10,1,0,20,32,35435539,31918
2020-08-13 06:54:01.722,15185,u0_a422,0.0,1.6,7819780,103272,15185,1077952832,121,11,2,1,20,33,35435539,31969
2020-08-13 06:54:02.811,15185,u0_a422,0.0,1.6,7819780,100200,15185,1077952832,138,13,8,4,20,33,35435539,31515
2020-08-13 06:54:03.742,15185,u0_a422,88.0,1.6,7819780,81408,15185,1077952832,164,18,10,5,10,46,35435539,34986
2020-08-13 06:54:04.746,[1m15185,u0_a422,244,2.3,7819780,117840,15185,4211008,342,25,11,6,10,47,35435539,40405
2020-08-13 06:54:05.748,15185,u0_a422,224,1.9,7819780,115032,15185,4211008,560,41,13,7,10,43,35435539,39363
2020-08-13 06:54:06.802,[1m15185,u0_a422,216,1.7,7819780,120944,15185,1077952832,774,52,16,11,10,43,35435539,35963
2020-08-13 06:54:07.773,15185,u0_a422,232,1.5,7819780,114620,15185,1077952832,975,76,21,12,10,43,35435539,34676
2020-08-13 06:54:08.784,15185,u0_a422,160,1.5,7819780,122900,15185,1077952832,1140,87,26,14,10,43,35435539,31025
2020-08-13 06:54:09.772,[1m15185,u0_a422,212,1.6,7819780,121420,15185,4211008,1304,91,28,19,10,43,35435539,32291
2020-08-13 06:54:10.778,15185,u0_a422,157,1.5,7819780,118728,15185,1077952832,1462,101,31,21,10,42,35435539,31627
2020-08-13 06:54:11.807,[1m15185,u0_a422,148,1.6,7819780,122368,15185,1077952832,1601,111,36,22,10,42,35435539,30681
2020-08-13 06:54:12.788,15185,u0_a422,152,1.9,7819780,122984,15185,1077952832,1742,117,41,24,10,42,35435539,37415
2020-08-13 06:54:13.744,15185,u0_a422,152,1.8,7819780,119332,15185,1077952832,1882,126,46,24,10,42,35435539,34336
2020-08-13 06:54:14.782,15185,u0_a422,144,1.8,7819780,122728,15185,4211008,2025,133,49,27,10,42,35435539,34721
2020-08-13 06:54:15.763,[1m15185,u0_a422,168,1.7,7819780,118104,15185,1077952832,2172,142,53,29,10,42,35435539,34060
2020-08-13 06:54:16.776,15185,u0_a422,152,1.5,7819780,119960,15185,1077952832,2320,149,57,31,10,42,35435539,32525
2020-08-13 06:54:17.789,15185,u0_a422,146,1.6,7819780,117432,15185,1077952832,2467,157,60,35,10,42,35435539,31350
2020-08-13 06:54:18.792,15185,u0_a422,140,1.4,7819780,114140,15185,1077952832,2606,161,63,38,10,42,35435539,29632
2020-08-13 06:54:19.785,15185,u0_a422,160,1.5,7819780,139568,15185,1077952832,2750,166,69,39,10,42,35435539,33346
2020-08-13 06:54:20.829,15185,u0_a422,144,1.5,7819780,145904,15185,1077952832,2895,173,73,42,10,42,35435539,31385
