
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: headless_fb_malicious
--------------------------------------------------------------------------------

Application output directory created at: output/headless_fb_malicious
Output will be written to file: output/headless_fb_malicious/headless_fb_malicious.2020-08-13.051725.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb_mal
\t Application local name: \t\t headless_fb_malicious
\t Run time (milliseconds): \t\t\t 270000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb_mal
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=9ms (0ms mobile, 0ms wifi, 9ms not connected)

--------------------------------------------------------------------------------

App PID: 20999
Trial start time (ms): 1597310245027

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,175,2.6,113468064,73951052,38976340,35,97024,7819780,524724,3964064,1077952832,2065,61,0,0,10,35,34854867,54138
2,2163,144,2.7,113468064,73951052,38976340,35,97024,7819780,509320,3960536,1077952832,2312,67,0,0,10,35,34854867,51068
3,3789,148,2.9,113468064,73951052,38976340,35,97024,7819780,523160,3965668,1077952832,2560,72,0,0,10,35,34854867,55471
4,5426,132,2.8,113468064,73951052,38976340,35,97024,7819780,494852,3933724,1077952832,2815,77,0,0,10,35,34854867,58962
5,7139,156,2.9,113468064,73951052,38976340,35,97024,7819780,492704,3934744,1077952832,3063,82,0,0,10,35,34854867,57219
6,8844,151,3.1,113468064,73951052,38976340,35,97024,7819780,478760,3920800,1077952832,3311,87,0,0,10,35,34854867,58891
7,10479,148,3.0,113468064,73951052,38976340,35,97024,7819780,471524,3922272,1077952832,3562,96,0,0,10,35,34854867,67593
8,12227,148,3.4,113468064,73951052,38976340,35,97024,7819780,449672,3891728,1077952832,3814,102,0,0,10,35,34854867,63684
9,13971,148,3.4,113468064,73951052,38976340,35,97024,7819780,447724,3898472,1077952832,4071,106,0,0,10,35,34854867,69806
10,15628,166,3.5,113468064,73951052,38976340,35,97024,7819780,431920,3882668,1077952832,4324,112,0,0,10,35,34854867,72558
11,17354,143,3.4,113468064,73951052,38976340,35,97024,7819780,423216,3865256,1077952832,4581,118,0,0,10,35,34854867,73113
12,19115,151,4.2,113468064,73951084,38976308,35,97024,7819780,404244,3846252,1077952832,4833,122,0,0,10,34,34854867,85504
