
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: headless_fb_malicious
--------------------------------------------------------------------------------

Application output directory created at: output/headless_fb_malicious
Output will be written to file: output/headless_fb_malicious/headless_fb_malicious.2020-08-13.052448.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb_mal
\t Application local name: \t\t headless_fb_malicious
\t Run time (milliseconds): \t\t\t 270000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb_mal
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=12ms (0ms mobile, 0ms wifi, 12ms not connected)

--------------------------------------------------------------------------------

App PID: 15571
Trial start time (ms): 1597310688741

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,120,2.0,113468064,73948896,38978496,35,99084,7819780,654728,4107232,1077952832,439,11,0,0,10,39,34900129,43938
2,2165,116,2.5,113468064,73948896,38978496,35,99084,7819780,612512,4077436,1077952832,633,18,0,0,10,35,34900129,52577
3,3885,116,2.2,113468064,73948892,38978500,35,99084,7819780,627884,4083580,1077952832,836,26,0,0,10,35,34900129,40909
4,5607,124,2.3,113468064,73948892,38978500,35,99084,7819780,633612,4098564,1077952832,1028,32,0,0,10,35,34900129,44510
5,7321,110,2.3,113468064,73948892,38978500,35,99084,7819780,611088,4066788,1077952832,1219,36,0,0,10,35,34900129,50721
6,8909,131,2.7,113468064,73948892,38978500,35,99084,7819780,604164,4059864,1077952832,1406,44,0,0,10,35,34900129,51640
7,10564,113,2.5,113468064,73948892,38978500,35,99084,7819780,588744,4053696,1077952832,1600,48,0,0,10,35,34900129,54192
8,12255,120,2.8,113468064,73948892,38978500,35,99084,7819780,569292,4034168,1077952832,1804,55,0,0,10,35,34900129,59221
9,13977,110,3.0,113468064,73948892,38978500,35,99084,7819780,540188,3995888,1077952832,2000,61,0,0,10,35,34900129,56930
10,15704,137,3.2,113468064,73948892,38978500,35,99084,7819780,549796,4005496,1077952832,2223,66,0,0,10,35,34900129,61632
11,17408,177,2.7,113468064,73948892,38978500,35,99084,7819780,558568,4023528,1077952832,2530,78,0,0,10,35,34900129,37382
12,19143,193,1.2,113468064,73948892,38978500,35,99084,7819780,663828,4127540,1077952832,2824,90,0,0,10,35,34900129,29649
13,20822,80.0,1.5,113468064,73948892,38978500,35,99084,7819780,671636,4126096,1077952832,2962,101,0,0,10,35,34900129,34215
14,22585,83.3,1.6,113468064,73948892,38978500,35,99084,7819780,694348,4158060,1077952832,3113,113,0,0,10,35,34900129,28176
15,24358,80.0,1.3,113468064,73948892,38978500,35,99084,7819780,682580,4146292,1077952832,3269,124,0,0,10,35,34900129,27943
16,26092,89.6,1.3,113468064,73948892,38978500,35,99084,7819780,674692,4129152,1077952832,3406,135,0,0,10,35,34900129,31915
17,27826,79.3,1.9,113468064,73948924,38978468,35,99084,7819780,667724,4131404,1077952832,3548,149,0,0,10,34,34900129,32710
18,29579,83.3,1.6,113468064,73948924,38978468,35,99084,7819780,680404,4134832,1077952832,3683,159,0,0,10,34,34900129,36924
19,31312,70.9,1.8,113468064,73948924,38978468,35,99084,7819780,675132,4138812,1077952832,3853,164,0,0,10,34,34900129,38737
20,33019,86.2,1.8,113468064,73948924,38978468,35,99084,7819780,665496,4119928,1077952832,3989,177,0,0,10,34,34900129,40535
21,34752,106,2.0,113468064,73948924,38978468,35,99084,7819780,687848,4151532,4211008,4150,187,0,0,10,34,34900129,35398
22,36499,66.6,1.7,113468064,73948924,38978468,35,99084,7819780,678740,4133172,1077952832,4303,193,0,0,10,34,34900129,38298
23,38224,86.6,1.8,113468064,73948924,38978468,35,99084,7819780,669676,4124108,1077952832,4455,202,0,0,10,34,34900129,40552
24,39921,90.3,1.9,113468064,73948924,38978468,35,99084,7819780,662088,4125772,1077952832,4613,213,0,0,10,34,34900129,30946
25,41662,100,2.0,113468064,73948924,38978468,35,99084,7819780,682600,4137032,1077952832,4764,224,0,0,10,34,34900129,36900
26,43367,113,1.7,113468064,73948924,38978468,35,99084,7819780,675020,4138704,1077952832,4920,233,0,0,10,34,34900129,38616
27,45088,103,1.9,113468064,73948924,38978468,35,99084,7819780,662744,4126428,1077952832,5079,240,0,0,10,34,34900129,30412
28,46844,100,2.0,113468064,73948924,38978468,35,99084,7819780,692592,4156276,1077952832,5232,247,0,0,10,34,34900129,35445
29,48574,86.6,2.1,113468064,73948924,38978468,35,99084,7819780,687536,4146716,1077952832,5370,264,0,0,10,34,34900129,37017
30,50300,73.3,1.7,113468064,73948924,38978468,35,99084,7819780,675540,4138976,1077952832,5520,272,0,0,10,34,34900129,39084
31,52059,72.4,1.9,113468064,73948924,38978468,35,99084,7819780,671916,4126348,1077952832,5657,280,0,0,10,34,34900129,40742
32,53816,83.8,1.9,113468064,73948924,38978468,35,99084,7819780,664020,4118452,1077952832,5806,291,0,0,10,34,34900129,31189
33,55616,110,2.0,113468064,73948924,38978468,35,99084,7819780,684984,4148668,4211008,5961,300,0,0,10,34,34900129,36197
34,57359,79.3,1.7,113468064,73948924,38978468,35,99084,7819780,682360,4146044,1077952832,6115,305,0,0,10,34,34900129,36701
35,59122,124,1.8,113468064,73948924,38978468,35,99084,7819780,673836,4137520,1077952832,6272,315,0,0,10,34,34900129,39205
36,60883,83.3,1.9,113468064,73948924,38978468,35,99084,7819780,671092,4134776,1077952832,6424,325,0,0,10,34,34900129,40538
37,62649,93.5,2.0,113468064,73948924,38978468,35,99084,7819780,697068,4160752,1077952832,6575,336,0,0,10,34,34900129,31907
38,64382,106,2.1,113468064,73948924,38978468,35,99084,7819780,684336,4138772,1077952832,6728,346,0,0,10,34,34900129,37019
39,66099,93.1,1.8,113468064,73948924,38978468,35,99084,7819780,674812,4138500,1077952832,6882,355,0,0,10,34,34900129,38957
40,67801,90.0,1.9,113468064,73948924,38978468,35,99084,7819780,669256,4129784,1077952832,7015,366,0,0,10,34,34900129,40282
41,69519,113,2.0,113468064,73948924,38978468,35,99084,7819780,687020,4150712,1077952832,7169,373,0,0,10,34,34900129,35371
42,71235,103,1.5,113468064,73948924,38978468,35,99084,7819780,674656,4138348,1077952832,7339,385,0,0,10,34,34900129,38155
43,73007,100,1.8,113468064,73948924,38978468,35,99084,7819780,668648,4132340,4211008,7493,392,0,0,10,34,34900129,39381
44,74760,103,1.9,113468064,73948924,38978468,35,99084,7819780,689616,4153308,1077952832,7650,405,0,0,10,34,34900129,32741
45,76498,96.5,1.5,113468064,73948924,38978468,35,99084,7819780,676888,4140580,4211008,7799,414,0,0,10,34,34900129,35380
46,78241,103,1.6,113468064,73948924,38978468,35,99084,7819780,669416,4126192,1077952832,7960,426,0,0,10,34,34900129,36899
47,79963,186,1.8,113468064,73948924,38978468,35,99084,7819780,683356,4137796,1077952832,8191,437,0,0,10,34,34900129,32276
48,81677,189,1.4,113468064,73948924,38978468,35,99084,7819780,673068,4136760,1077952832,8480,440,0,0,10,34,34900129,32728
49,83416,146,1.6,113468064,73948924,38978468,35,99084,7819780,655072,4118764,1077952832,8767,447,0,0,10,34,34900129,34370
50,85158,158,1.5,113468064,73948924,38978468,35,99084,7819780,678584,4134428,1077952832,9064,454,0,0,10,34,34900129,27463
51,86907,160,1.1,113468064,73948924,38978468,35,99084,7819780,670728,4126572,1077952832,9349,464,0,0,10,34,34900129,25659
52,88634,172,1.1,113468064,73948920,38978472,35,99084,7819780,667480,4131176,1077952832,9632,468,0,0,10,34,34900129,25231
53,90345,146,1.2,113468064,73948920,38978472,35,99084,7819780,685876,4140320,1077952832,9905,476,0,0,10,34,34900129,21563
54,92063,166,1.1,113468064,73948920,38978472,35,99084,7819780,671756,4126200,1077952832,10198,478,0,0,10,34,34900129,21564
55,93803,189,1.1,113468064,73948920,38978472,35,99084,7819780,668704,4123148,1077952832,10481,484,0,0,10,34,34900129,21566
56,95505,183,1.1,113468064,73948920,38978472,35,99084,7819780,657168,4111612,1077952832,10764,496,0,0,10,34,34900129,21568
57,97239,172,1.1,113468064,73948920,38978472,35,99084,7819780,678648,4142344,1077952832,11044,503,0,0,10,34,34900129,21569
58,98957,137,1.1,113468064,73948920,38978472,35,99084,7819780,667984,4123068,1077952832,11330,512,0,0,10,34,34900129,21571
59,100700,162,1.1,113468064,73948920,38978472,35,99084,7819780,655388,4109836,1077952832,11609,517,0,0,10,34,34900129,21571
60,102404,173,1.1,113468064,73948920,38978472,35,99084,7819780,676756,4140456,1077952832,11891,525,0,0,10,34,34900129,21573
61,104137,189,1.1,113468064,73948920,38978472,35,99084,7819780,668452,4122900,4211008,12171,536,0,0,10,34,34900129,21589
62,105815,173,1.1,113468064,73948920,38978472,35,99084,7819780,663364,4127064,1077952832,12483,541,0,0,10,34,34900129,21589
63,107485,173,1.9,113468064,73948920,38978472,35,99084,7819780,646248,4109552,1077952832,12781,547,0,0,10,34,34900129,36943
64,109197,203,2.1,113468064,73948920,38978472,35,99084,7819780,664896,4128200,1077952832,13090,557,0,0,10,34,34900129,41441
