
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: headless_fb-Barcode-Text-13pt5min
--------------------------------------------------------------------------------

Application output directory created at: output/headless_fb-Barcode-Text-13pt5min
Output will be written to file: output/headless_fb-Barcode-Text-13pt5min/headless_fb-Barcode-Text-13pt5min.2020-10-01.190344.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb
\t Application local name: \t\t headless_fb-Barcode-Text-13pt5min
\t Run time (milliseconds): \t\t\t 810000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=13ms (0ms mobile, 0ms wifi, 13ms not connected)

--------------------------------------------------------------------------------

App PID: 2731
Trial start time (ms): 1601593424235

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,27.5,1.7,113468064,67984712,44942680,40,2628,7819780,504668,3291060,1077952832,3341,196,0,0,10,22,100864054,36373
2,1295,41.3,1.8,113468064,67984712,44942680,40,2628,7819780,528388,3314780,1077952832,3361,200,0,0,10,22,100864054,30241
3,2049,29.0,1.5,113468064,67984712,44942680,40,2628,7819780,517124,3303520,1077952832,3382,203,0,0,10,22,100864054,33318
4,2790,16.6,1.7,113468064,67984712,44942680,40,2628,7819780,504256,3293828,1077952832,3395,206,0,0,10,22,100864054,36375
5,3568,48.2,1.8,113468064,67984712,44942680,40,2628,7819780,528260,3308580,1077952832,3413,210,0,0,10,22,100864054,30984
6,4330,R,17.2,113468064,67984712,44942680,40,2628,7819780,513956,3303524,1077952832,3426,211,0,0,10,22,100864054,34040
7,5094,13.7,1.7,113468064,67984712,44942680,40,2628,7819780,501484,3291052,1077952832,3436,215,0,0,10,22,100864054,37097
8,5825,16.6,1.7,113468064,67984712,44942680,40,2628,7819780,522000,3311568,1077952832,3456,218,0,0,10,22,100864054,31608
9,6630,44.8,1.6,113468064,67984640,44942752,40,2628,7819780,511696,3292012,4211008,3473,221,0,0,10,22,100864054,34662
10,7414,37.9,1.7,113468064,67984696,44942696,40,2628,7819780,513580,3293948,4211008,3494,224,0,0,10,22,100864054,30066
11,8143,37.9,1.5,113468064,67984696,44942696,40,2628,7819780,531016,3311388,1077952832,3516,224,0,0,10,22,100864054,32358
12,8904,20.6,1.6,113468064,67984696,44942696,40,2628,7819780,518452,3308076,1077952832,3534,225,0,0,10,22,100864054,35415
13,9679,43.3,1.8,113468064,67984696,44942696,40,2628,7819780,537180,3317552,1077952832,3553,228,0,0,10,22,100864054,30696
14,10328,40.0,1.6,113468064,67984696,44942696,40,2628,7819780,527932,3317524,1077952832,3573,229,0,0,10,22,100864054,32987
