
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: headless_fb_mal-Barcode-Text-13pt5min
--------------------------------------------------------------------------------

Application output directory created at: output/headless_fb_mal-Barcode-Text-13pt5min
Output will be written to file: output/headless_fb_mal-Barcode-Text-13pt5min/headless_fb_mal-Barcode-Text-13pt5min.2020-10-01.191800.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb_mal
\t Application local name: \t\t headless_fb_mal-Barcode-Text-13pt5min
\t Run time (milliseconds): \t\t\t 810000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb_mal
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=9ms (0ms mobile, 0ms wifi, 9ms not connected)

--------------------------------------------------------------------------------

App PID: 11236
Trial start time (ms): 1601594280373

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,127,2.3,113468064,67953412,44973980,40,2628,7819780,541648,3487924,1077952832,1064,36,0,0,10,35,100957311,48149
2,1213,106,2.4,113468064,67953412,44973980,40,2628,7819780,526020,3465388,1077952832,1149,39,0,0,10,35,100957311,52348
3,1975,119,2.4,113468064,67953412,44973980,40,2628,7819780,526968,3473256,1077952832,1238,43,0,0,10,35,100957311,50387
4,2742,120,2.6,113468064,67953412,44973980,40,2628,7819780,535116,3484580,1077952832,1317,45,0,0,10,35,100957311,49264
5,3353,113,2.5,113468064,67953412,44973980,40,2628,7819780,520248,3460468,1077952832,1383,47,0,0,10,35,100957311,51272
6,3968,120,2.6,113468064,67953412,44973980,40,2628,7819780,522684,3472156,1077952832,1457,50,0,0,10,35,100957311,49765
7,4606,116,2.6,113468064,67953412,44973980,40,2628,7819780,510192,3459664,1077952832,1536,51,0,0,10,35,100957311,53689
8,5299,120,2.7,113468064,67953412,44973980,40,2628,7819780,513052,3462524,1077952832,1622,54,0,0,10,35,100957311,51243
9,6016,113,2.6,113468064,67953412,44973980,40,2628,7819780,499260,3448732,1077952832,1701,57,0,0,10,35,100957311,49707
10,6724,116,2.6,113468064,67953412,44973980,40,2628,7819780,498960,3448432,1077952832,1786,59,0,0,10,35,100957311,54275
11,7488,112,2.8,113468064,67953412,44973980,40,2628,7819780,479772,3419992,1077952832,1877,60,0,0,10,35,100957311,52808
12,8244,113,2.7,113468064,67953412,44973980,40,2628,7819780,481984,3431468,1077952832,1965,60,0,0,10,35,100957311,56956
13,8985,131,2.9,113468064,67953412,44973980,40,2628,7819780,487644,3434772,1077952832,2055,60,0,0,10,35,100957311,55408
14,9724,117,2.8,113468064,67953412,44973980,40,2628,7819780,472508,3421988,1077952832,2135,62,0,0,10,35,100957311,58331
15,10448,113,3.0,113468064,67953412,44973980,40,2628,7819780,475700,3425184,1077952832,2221,65,0,0,10,35,100957311,57289
16,11194,110,2.9,113468064,67953412,44973980,40,2628,7819780,457852,3398096,1077952832,2298,67,0,0,10,35,100957311,60139
17,11900,109,2.8,113468064,67953412,44973980,40,2628,7819780,460920,3401160,1077952832,2386,70,0,0,10,35,100957311,59676
18,12635,110,3.1,113468064,67953412,44973980,40,2628,7819780,443608,3393100,1077952832,2470,73,0,0,10,35,100957311,68766
19,13399,120,3.2,113468064,67953452,44973940,40,2628,7819780,477264,3417488,1077952832,2550,74,0,0,10,35,100957311,70901
20,14081,120,3.6,113468064,67953452,44973940,40,2628,7819780,449068,3389948,1077952832,2636,75,0,0,10,35,100957311,69273
21,14764,120,3.5,113468064,67953484,44973908,40,2628,7819780,476000,3416212,1077952832,2714,76,0,0,10,35,100957311,73733
22,15460,110,3.8,113468064,67953484,44973908,40,2628,7819780,463340,3403552,1077952832,2796,80,0,0,10,35,100957311,71230
23,16174,116,3.9,113468064,67953484,44973908,40,2628,7819780,464728,3404940,4211008,2874,80,0,0,10,35,100957311,81686
24,16834,110,4.2,113468064,67953484,44973908,40,2628,7819780,452332,3392544,1077952832,2953,84,0,0,10,35,100957311,78383
25,17521,123,4.0,113468064,67953484,44973908,40,2628,7819780,456824,3397036,1077952832,3038,85,0,0,10,35,100957311,83072
26,18257,112,4.2,113468064,67953484,44973908,40,2628,7819780,437340,3386804,1077952832,3119,88,0,0,10,35,100957311,79932
27,18957,110,4.1,113468064,67953484,44973908,40,2628,7819780,445552,3395016,1077952832,3194,90,0,0,10,35,100957311,84665
28,19626,120,4.3,113468064,67953484,44973908,40,2628,7819780,428536,3369512,1077952832,3280,91,0,0,10,35,100957311,81357
29,20368,113,4.2,113468064,67953484,44973908,40,2628,7819780,434720,3374928,1077952832,3364,91,0,0,10,35,100957311,85304
30,21104,122,4.4,113468064,67953484,44973908,40,2628,7819780,417772,3357980,1077952832,3461,91,0,0,10,35,100957311,83074
31,21879,113,4.3,113468064,67953484,44973908,40,2628,7819780,423812,3373272,4211008,3546,92,0,0,10,34,100957311,88175
32,22632,116,4.5,113468064,67953484,44973908,40,2628,7819780,430664,3370872,1077952832,3634,96,0,0,10,34,100957311,85915
33,23386,110,4.4,113468064,67953484,44973908,40,2628,7819780,411324,3353868,1077952832,3723,98,0,0,10,34,100957311,89766
34,24169,116,4.6,113468064,67953484,44973908,40,2628,7819780,413128,3354740,1077952832,3814,100,0,0,10,34,100957311,88588
35,24928,120,4.5,113468064,67953484,44973908,40,2628,7819780,396664,3346124,1077952832,3895,102,0,0,10,34,100957311,91932
36,25648,131,4.7,113468064,67953484,44973908,40,2628,7819780,401676,3346584,1077952832,3981,104,0,0,10,34,100957311,89894
37,26372,126,4.6,113468064,67953484,44973908,40,2628,7819780,384132,3333592,1077952832,4071,105,0,0,10,34,100957311,94535
38,27139,117,4.5,113468064,67953484,44973908,40,2628,7819780,387032,3336492,1077952832,4155,109,0,0,10,34,100957311,92011
39,27866,113,4.7,113468064,67953484,44973908,40,2628,7819780,374056,3323516,1077952832,4245,109,0,0,10,34,100957311,90771
40,28625,109,4.7,113468064,67953484,44973908,40,2628,7819780,375052,3324512,1077952832,4334,110,0,0,10,34,100957311,94964
41,29378,109,4.9,113468064,67953484,44973908,40,2628,7819780,358388,3298596,1077952832,4418,114,0,0,10,34,100957311,92860
42,30131,116,4.8,113468064,67953484,44973908,40,2628,7819780,361960,3311420,1077952832,4509,114,0,0,10,34,100957311,97346
43,30916,120,5.0,113468064,67953764,44973628,40,2628,7819780,366916,3316096,1077952832,4600,114,0,0,10,34,100957311,95230
44,31679,113,4.9,113468064,67953764,44973628,40,2628,7819780,348148,3297328,1077952832,4685,116,0,0,10,34,100957311,99267
45,32426,129,5.1,113468064,67953764,44973628,40,2628,7819780,350600,3290528,1077952832,4777,117,0,0,10,34,100957311,98463
46,33186,113,5.0,113468064,67953764,44973628,40,2628,7819780,334540,3283720,4211008,4856,119,0,0,10,34,100957311,101812
47,33931,123,5.2,113468064,67953764,44973628,40,2628,7819780,340220,3280148,1077952832,4945,120,0,0,10,34,100957311,100013
48,34660,106,5.1,113468064,67953764,44973628,40,2628,7819780,325272,3274452,1077952832,5029,123,0,0,10,34,100957311,99868
49,35397,110,5.0,113468064,67953764,44973628,40,2628,7819780,324592,3273772,1077952832,5108,125,0,0,10,34,100957311,102331
50,36131,124,5.2,113468064,67953764,44973628,40,2628,7819780,310496,3250424,1077952832,5196,126,0,0,10,34,100957311,99853
51,36873,110,5.2,113468064,67953764,44973628,40,2628,7819780,310000,3259180,1077952832,5281,127,0,0,10,34,100957311,103790
52,37618,113,5.3,113468064,67953764,44973628,40,2628,7819780,293828,3243008,1077952832,5368,127,0,0,10,34,100957311,108140
53,38342,113,5.5,113468064,67953764,44973628,40,2628,7819780,301048,3241612,1077952832,5452,128,0,0,10,34,100957311,111123
54,39071,133,5.7,113468064,67953764,44973628,40,2628,7819780,284884,3224812,1077952832,5541,130,0,0,10,34,100957311,108689
55,39821,106,5.6,113468064,67953764,44973628,40,2628,7819780,289432,3238612,1077952832,5626,131,0,0,10,34,100957311,113559
56,40598,119,5.8,113468064,67953764,44973628,40,2628,7819780,293476,3242652,1077952832,5715,134,0,0,10,34,100957311,111373
57,41352,113,5.7,113468064,67953764,44973628,40,2628,7819780,277236,3226412,1077952832,5800,136,0,0,10,34,100957311,115146
58,42099,137,5.9,113468064,67953764,44973628,40,2628,7819780,280168,3220092,1077952832,5889,139,0,0,10,34,100957311,113800
59,42829,106,5.8,113468064,67953764,44973628,40,2628,7819780,262420,3210972,1077952832,5972,140,0,0,10,34,100957311,116742
60,43575,130,6.0,113468064,67953732,44973660,40,2628,7819780,306928,3246260,4211008,6057,143,0,0,10,34,100957311,123942
61,44300,110,6.3,113468064,67953708,44973684,40,2628,7819780,288828,3228180,1077952832,6142,144,0,0,10,34,100957311,134822
62,45039,106,6.6,113468064,67953772,44973620,40,2628,7819780,320568,3269120,4211008,6228,147,0,0,10,34,100957311,133372
63,45785,106,6.8,113468064,67954580,44972812,40,2628,7819780,304772,3248956,1077952832,6315,149,0,0,10,34,100957311,131010
