
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: headless_fb_honest
--------------------------------------------------------------------------------

Application output directory created at: output/headless_fb_honest
Output will be written to file: output/headless_fb_honest/headless_fb_honest.2020-07-30.150853.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb
\t Application local name: \t\t headless_fb_honest
\t Run time (milliseconds): \t\t\t 270000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=18ms (0ms mobile, 0ms wifi, 18ms not connected)

--------------------------------------------------------------------------------

App PID: 11790
Trial start time (ms): 1596136133496

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,110,1.1,113468064,36647284,76280108,68,3160,7819780,2311040,4488720,1077952832,1675,45,0,0,10,31,276051234,22983
2,2207,110,2.0,113468064,36647284,76280108,68,3160,7819780,2307752,4488576,1077952832,1849,49,0,0,10,31,276051234,36643
3,3952,109,1.8,113468064,36647284,76280108,68,3160,7819780,2306472,4487392,1077952832,2034,55,0,0,10,31,276051234,35283
4,5770,103,1.8,113468064,36647284,76280108,68,3160,7819780,2304396,4485328,1077952832,2215,59,0,0,10,31,276051234,32811
5,7489,113,1.6,113468064,36647284,76280108,68,3160,7819780,2305184,4486188,1077952832,2381,64,0,0,10,31,276051234,30706
6,9156,106,1.5,113468064,36647272,76280120,68,3160,7819780,2304844,4485976,1077952832,2561,66,0,0,10,31,276051234,27833
7,10892,110,1.4,113468064,36647248,76280144,68,3160,7819780,2304192,4485324,1077952832,2735,71,0,0,10,31,276051234,25729
8,12589,116,1.3,113468064,36647248,76280144,68,3160,7819780,2305504,4478488,1077952832,2915,75,0,0,10,31,276051234,23624
9,14338,110,1.2,113468064,36647248,76280144,68,3160,7819780,2306500,4478428,1077952832,3085,78,0,0,10,30,276051234,23081
10,15980,100,1.1,113468064,36647248,76280144,68,3160,7819780,2306656,4487876,1077952832,3264,84,0,0,10,30,276051234,23081
11,17802,106,1.1,113468064,36647924,76279468,68,3160,7819780,2307636,4478884,1077952832,3447,85,0,0,10,30,276051234,23085
12,19583,106,1.1,113468064,36647928,76279464,68,3160,7819780,2304676,4485280,1077952832,3632,89,0,0,10,30,276051234,23086
13,21386,110,1.1,113468064,36647928,76279464,68,3160,7819780,2304944,4485536,1077952832,3814,94,0,0,10,30,276051234,23108
14,23159,113,1.1,113468064,36647928,76279464,68,3160,7819780,2302308,4482900,1077952832,3995,101,0,0,10,30,276051234,23108
15,24963,100,1.1,113468064,36647928,76279464,68,3160,7819780,2303252,4483856,1077952832,4181,103,0,0,10,30,276051234,23108
16,26794,100,1.1,113468064,36647976,76279416,68,3160,7819780,2296936,4477516,4211008,4367,104,0,0,10,30,276051234,23110
17,28565,100,1.1,113468064,36647976,76279416,68,3160,7819780,2296896,4477476,1077952832,4550,106,0,0,10,30,276051234,23112
18,30370,100,1.1,113468064,36647976,76279416,68,3160,7819780,2296156,4476720,1077952832,4733,109,0,0,10,30,276051234,23112
19,32169,96.7,1.1,113468064,36647976,76279416,68,3160,7819780,2295644,4467608,1077952832,4921,112,0,0,10,30,276051234,23114
20,33981,100,1.1,113468064,36647976,76279416,68,3160,7819780,2295452,4466784,1077952832,5098,116,0,0,10,30,276051234,23114
21,35684,100,1.1,113468064,36647976,76279416,68,3160,7819780,2296040,4476624,1077952832,5275,118,0,0,10,30,276051234,23114
22,37467,100,1.1,113468064,36647976,76279416,68,3160,7819780,2294804,4466140,1077952832,5458,121,0,0,10,30,276051234,23114
23,39238,100,1.1,113468064,36647976,76279416,68,3160,7819780,2311408,4492476,1077952832,5645,123,0,0,10,30,276051234,23114
24,41073,100,1.1,113468064,36648440,76278952,68,3160,7819780,2311308,4492168,1077952832,5830,125,0,0,10,30,276051234,23115
25,42871,103,1.1,113468064,36648440,76278952,68,3160,7819780,2310984,4491840,1077952832,6008,129,0,0,10,30,276051234,23115
26,44629,103,1.1,113468064,36648440,76278952,68,3160,7819780,2310140,4490760,1077952832,6191,135,0,0,10,30,276051234,23117
27,46397,96.7,1.1,113468064,36648440,76278952,68,3160,7819780,2314468,4485980,1077952832,6373,138,0,0,10,30,276051234,23117
28,48186,100,1.9,113468064,36648440,76278952,68,3160,7819780,2312692,4491900,1077952832,6551,142,0,0,10,30,276051234,35915
29,49905,100,1.9,113468064,36648440,76278952,68,3160,7819780,2313480,4485004,1077952832,6730,143,0,0,10,30,276051234,35386
30,51685,96.7,1.8,113468064,36648440,76278952,68,3160,7819780,2315948,4496732,1077952832,6918,148,0,0,10,30,276051234,33277
31,53475,90.6,1.6,113468064,36648440,76278952,68,3160,7819780,2315572,4496416,1077952832,7110,148,0,0,10,30,276051234,31939
32,55312,106,1.5,113468064,36648440,76278952,68,3160,7819780,2315680,4496508,1077952832,7289,150,0,0,10,30,276051234,29823
33,57075,96.7,1.5,113468064,36648440,76278952,68,3160,7819780,2326236,4507064,1077952832,7473,155,0,0,10,30,276051234,27713
34,58888,103,1.4,113468064,36648440,76278952,68,3160,7819780,2329960,4509084,1077952832,7655,158,0,0,10,30,276051234,25605
35,60691,100,1.9,113468064,36648440,76278952,68,3160,7819780,2327336,4508304,1077952832,7846,163,0,0,10,30,276051234,36850
36,62553,103,1.8,113468064,36648440,76278952,68,3160,7819780,2326888,4507856,1077952832,8029,166,0,0,10,30,276051234,34357
37,64355,93.9,1.7,113468064,36648440,76278952,68,3160,7819780,2324200,4495916,1077952832,8217,169,0,0,10,30,276051234,32250
38,66166,103,1.4,113468064,36648440,76278952,68,3160,7819780,2322444,4503516,1077952832,8396,173,0,0,10,30,276051234,30904
39,67926,100,1.3,113468064,36648440,76278952,68,3160,7819780,2321936,4503004,1077952832,8581,173,0,0,10,30,276051234,28798
40,69725,106,1.2,113468064,36648440,76278952,68,3160,7819780,2320380,4501444,1077952832,8758,179,0,0,10,30,276051234,26690
41,71479,96.6,1.1,113468064,36648440,76278952,68,3160,7819780,2321724,4502788,1077952832,8941,181,0,0,10,30,276051234,23450
42,73256,96.7,1.1,113468064,36648440,76278952,68,3160,7819780,2321788,4502852,1077952832,9124,187,0,0,10,30,276051234,23137
43,75040,103,1.1,113468064,36648440,76278952,68,3160,7819780,2321260,4502324,1077952832,9303,189,0,0,10,30,276051234,23137
44,76788,100,1.1,113468064,36648440,76278952,68,3160,7819780,2320732,4492560,1077952832,9486,194,0,0,10,30,276051234,23137
45,78569,100,1.1,113468064,36648440,76278952,68,3160,7819780,2319648,4491476,1077952832,9661,202,0,0,10,30,276051234,23137
46,80371,106,1.1,113468064,36648440,76278952,68,3160,7819780,2328576,4510212,1077952832,9843,206,0,0,10,30,276051234,23137
47,82162,103,1.1,113468064,36648440,76278952,68,3160,7819780,2336036,4518128,1077952832,10024,211,0,0,10,30,276051234,23137
48,83939,103,1.1,113468064,36648440,76278952,68,3160,7819780,2343660,4525296,1077952832,10204,214,0,0,10,30,276051234,23137
49,85667,100,1.1,113468064,36648440,76278952,68,3160,7819780,2342880,4524516,1077952832,10378,218,0,0,10,30,276051234,23137
50,87430,96.7,1.1,113468064,36648440,76278952,68,3160,7819780,2344736,4526376,1077952832,10559,223,0,0,10,30,276051234,23137
51,89234,103,1.1,113468064,36648440,76278952,68,3160,7819780,2342400,4514788,1077952832,10741,227,0,0,10,30,276051234,23137
