
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: headless_fb_malicious
--------------------------------------------------------------------------------

Application output directory created at: output/headless_fb_malicious
Output will be written to file: output/headless_fb_malicious/headless_fb_malicious.2020-07-30.150228.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb_mal
\t Application local name: \t\t headless_fb_malicious
\t Run time (milliseconds): \t\t\t 270000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb_mal
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=19ms (0ms mobile, 0ms wifi, 19ms not connected)

--------------------------------------------------------------------------------

App PID: 22760
Trial start time (ms): 1596135748672

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,130,9.4,113468064,36179176,76748216,68,3160,7819780,93348,1219412,1077952832,5739,236,0,0,10,45,276009795,187448
2,2918,155,9.8,113468064,36179176,76748216,68,3160,7819780,97096,1191728,1077952832,5950,244,0,0,10,45,276009795,191002
3,4638,123,9.6,113468064,36179176,76748216,68,3160,7819780,91696,1174444,1077952832,6152,260,0,0,10,45,276009795,193202
4,6341,136,9.8,113468064,36179176,76748216,68,3160,7819780,79232,1143996,1077952832,6360,268,0,0,10,45,276009795,196959
5,8079,130,10.0,113468064,36179176,76748216,68,3160,7819780,82160,1104464,1077952832,6567,272,0,0,10,45,276009795,195944
6,9787,131,10.2,113468064,36179176,76748216,68,3160,7819780,95304,1092192,1077952832,6774,281,0,0,10,45,276009795,200185
7,11499,131,10.4,113468064,36179164,76748228,68,3160,7819780,84880,1059716,1077952832,6978,285,0,0,10,45,276009795,203371
8,13197,103,10.4,113468064,36179164,76748228,68,3160,7819780,84292,1037828,4211008,7194,290,0,0,10,45,276009795,209788
9,14979,123,13.7,113468064,36179164,76748228,68,3160,7819780,103276,1033480,1077952832,7401,298,0,0,10,45,276009795,266958
10,16715,131,14.1,113468064,36179164,76748228,68,3160,7819780,96744,992288,1077952832,7606,309,0,0,10,45,276009795,276159
11,18439,130,14.3,113468064,36179164,76748228,68,3160,7819780,88820,956688,1077952832,7814,318,0,0,10,45,276009795,280948
12,20161,123,14.6,113468064,36179164,76748228,68,3160,7819780,83668,933516,1077952832,8019,327,0,0,10,45,276009795,292009
13,21919,113,14.8,113468064,36179164,76748228,68,3160,7819780,80012,899204,1077952832,8232,337,0,0,10,45,276009795,289787
14,23655,132,15.0,113468064,36179164,76748228,68,3160,7819780,95248,881056,1077952832,8439,344,0,0,10,45,276009795,295358
15,25388,110,15.1,113468064,36179164,76748228,68,3160,7819780,82388,857520,1077952832,8647,350,0,0,10,45,276009795,299306
16,27096,126,15.3,113468064,36179196,76748196,68,3160,7819780,82968,826120,1077952832,8853,358,0,0,10,45,276009795,297535
17,28795,130,15.4,113468064,36179196,76748196,68,3160,7819780,85736,824032,1077952832,9058,361,0,0,10,45,276009795,301610
18,30462,120,15.6,113468064,36179196,76748196,68,3160,7819780,99120,847924,1077952832,9257,368,0,0,10,45,276009795,304370
19,32185,141,15.9,113468064,36179196,76748196,68,3160,7819780,99868,845872,1077952832,9468,373,0,0,10,45,276009795,311711
20,33906,116,15.8,113468064,36179196,76748196,68,3160,7819780,81072,821272,1077952832,9682,380,0,0,10,45,276009795,314959
21,35659,127,16.0,113468064,36179192,76748200,68,3160,7819780,76352,781972,1077952832,9890,388,0,0,10,45,276009795,314400
22,37380,137,16.3,113468064,36179192,76748200,68,3160,7819780,88820,767108,1077952832,10097,395,0,0,10,45,276009795,318978
23,39092,106,16.2,113468064,36179192,76748200,68,3160,7819780,85252,737792,1077952832,10294,407,0,0,10,45,276009795,322585
24,40828,134,16.4,113468064,36179192,76748200,68,3160,7819780,79108,706356,1077952832,10498,415,0,0,10,45,276009795,326295
25,42476,136,16.6,113468064,36179192,76748200,68,3160,7819780,74352,665936,1077952832,10698,424,0,0,10,45,276009795,326075
26,44189,113,16.8,113468064,36179192,76748200,68,3160,7819780,94932,649076,1077952832,10902,435,0,0,10,45,276009795,329677
27,45944,134,17.0,113468064,36179200,76748192,68,3160,7819780,125676,665476,1077952832,11107,441,0,0,10,45,276009795,332045
28,47663,123,17.1,113468064,36179200,76748192,68,3160,7819780,96500,628988,1077952832,11317,446,0,0,10,45,276009795,336461
