trial1,trial2,trial3
73.3,37.9,26.6
45.1,31,38.7
37.9,34.4,45.1
26.6,56.6,60
40,40,26.6
33.3,41.9,23.3
26.6,54.8,32.2
58.6,31,40
29,62,36.6
53.3,43.3,30
51.7,43.3,55.1
35.4,20,50
60,80,27.5
36.6,34.4,26.6
45.1,45.1,63.3
63.3,33.3,40
66.6,51.7,43.3
50,51.7,55.1
56.6,30,45.1
34.4,40,48.3
62,41.9,53.3
48.2,41.3,48.3
30,58,41.9
37.9,56.2,48.3
32.2,62,45.4
56.6,37.5,50
65.5,34.4,23.3
75.8,54.8,12.9
43.3,38.7,55.1
27.5,35.4,24.1
46.6,58.6,31
40,48.3,66.6
51.7,76.6,50
30,33.3,70
68.9,36.6,58.6
46.6,62,20
56.2,30,50
43.3,40,56.6
30,60.6,55.1
41.3,50,51.6
33.3,41.3,48.3
67.7,48.3,37.5
56.6,48.2,33.3
55.1,40,45.1
45.4,33.3,48.3
36.6,50,67.7
43.7,60,34.4
43.3,25.8,33.3
76.6,51.6,53.3
66.6,66.6,48.2
38.7,23.3,26.6
51.7,62.5,40
41.9,36.6,56.6
33.3,40,38.7
46.6,40,30
41.9,56.6,40.6
48.3,30,50
55.1,43.3,61.2
53.3,68.9,53.3
51.6,25.8,63.3
64.5,33.3,30
73.3,53.3,34.3
58,41.9,50
53.1,62,72.4
51.7,63.3,53.3
46.6,58.6,31
41.9,40,23.3
58.6,56.6,33.3
56.6,31,31
46.6,35.4,25.8
40,38.7,41.9
40,56.6,29
63.3,54.8,45.1
70,40,51.7
48.2,31,23.3
60,66.6,38.7
40,46.6,43.3
36.6,41.3,43.3
35.4,40.6,36.6
45.1,37.5,29
54.8,60,43.3
53.3,46.6,64.5
36.6,58.6,50
23.3,66.6,41.9
53.3,62,38.7
41.9,40,41.9
46.6,63.3,40.6
58.6,43.3,51.6
58.6,38.7,46.6
58,56.6,50
40.6,66.6,65.5
34.4,46.6,62
33.3,33.3,37.9
51.6,38.7,56.2
55.1,46.6,58
31,38.7,27.5
25.8,31,45.1
46.8,54.8,50
46.8,29,45.1
37.5,51.7,41.3
41.3,29,50
45.1,58,40
32.2,48.2,41.9
50,34.4,46.6
75.8,33.3,32.2
53.3,50,26.6
34.4,54.8,46.8
41.3,50,72.4
45.1,53.3,25.8
55.1,27.5,25.8
41.9,29,60
50,23.3,40
75.8,51.6,33.3
38.7,43.3,53.3
24.1,44.8,51.7
22.5,46.6,35.4
50,45.1,27.5
58.6,48.3,50
43.3,45.1,61.2
63.3,41.3,36.6
56.6,51.7,30
41.3,51.7,37.9
53.3,58.6,20.6
45.1,51.7,30
51.6,41.3,66.6
44.8,30,40
55.1,31,48.3
51.7,60,33.3
33.3,41.3,44.8
33.3,33.3,53.3
34.4,60,36.6
46.6,54.8,48.2
53.3,60,46.6
41.3,44.8,48.2
58,33.3,48.2
41.9,34.4,41.9
51.7,48.3,48.3
50,36.6,67.7
46.6,51.6,46.6
45.1,53.3,65.6
60,63.3,44.8
53.3,20.6,29
58.6,39.3,45.1
41.9,70.9,22.5
43.3,55.1,25.8
31.2,46.6,43.3
44.8,36.6,31.2
65.5,41.3,41.9
46.6,48.2,36.6
46.6,41.3,48.2
43.3,33.3,70.9
46.6,41.9,54.8
54.8,53.3,46.6
65.5,51.7,41.9
54.8,70,58
36.6,30,19.3
41.9,33.3,33.3
62,43.3,46.6
40,36.6,61.2
48.2,37.9,54.8
35.4,45.1,28.1
34.4,62,25.8
60,35.4,25
53.3,43.3,55.1
48.3,80,53.3
66.6,35.4,53.3
32.2,30,26.6
35.4,36.6,23.3
58.6,40,56.2
43.3,55.1,56.6
36.6,34.4,66.6
43.3,41.9,37.5
63.3,43.7,37.9
62,58.6,30
50,38.7,36.6
65.5,24.1,30
48.2,60,40
51.6,45.1,37.5
55.1,40,53.3
25,63.3,41.9
34.4,46.6,56.6
31.2,43.3,54.8
20.6,48.3,60
33.3,66.6,53.3
46.8,58.6,58
44.8,46.6,72.4
58.6,35.4,33.3
73.3,54.8,24.1
38.7,56.6,35.4
50,30,23.3
60,40,24.1
29,32.2,58.6
46.6,44.8,53.3
56.6,32.2,29
51.7,29,22.5
58.6,58.6,48.3
53.3,63.3,46.6
43.3,41.9,25.8
44.8,50,56.6
44.8,53.3,51.6
41.3,40,30.3
32.2,36.6,50
56.6,46.6,63.3
38.7,65.5,33.3
40,23.3,20
37.9,36.6,50
51.7,56.6,26.6
51.6,46.6,36.6
60,62,63.3
56.6,43.3,25
30,37.9,43.3
41.3,36.6,54.8
31.2,22.5,51.7
51.7,45.1,20
62,58.6,27.5
41.3,50,75.8
50,36.6,48.3
53.3,23.3,22.5
70,43.3,33.3
83.8,40.6,34.4
23.3,50,43.3
32.2,30,53.3
48.2,40,50
48.3,41.9,66.6
53.3,24.1,50
27.5,54.8,33.3
51.6,60,41.3
48.2,46.6,24.1
56.6,29,34.4
60,46.6,48.2
63.3,66.6,20
51.7,34.3,50
65.5,55.1,48.2
30,26.6,53.3
48.3,60,43.3
55.1,53.3,41.9
51.7,51.7,44.8
34.4,37.9,43.3
43.3,43.3,45.1
75.8,50,63.3
68.9,43.3,45.1
41.3,43.3,50
56.6,27.5,53.3
51.6,58,26.6
38.7,51.6,33.3
66.6,37.9,41.9
31,48.3,53.1
65.5,51.6,53.3
58.6,53.3,60
36.6,58.6,20
53.3,36.6,20
58.6,60,24.1
66.6,20,31.2
43.3,36.6,70
41.9,56.6,36.6
56.6,58.6,45.1
31.2,44.8,70
41.9,68.9,32.2
27.5,36.6,35.4
20,43.3,55.1
36.3,38.7,64.5
45.1,38.7,48.3
43.3,55.1,58
58.6,54.8,53.3
63.3,65.5,37.9
48.3,58.6,36.6
30,28.1,43.7
54.8,43.3,53.3
50,50,58.6
41.9,51.7,48.2
45.1,41.3,70
56.6,27.5,50
58,43.7,40
33.3,46.6,53.3
26.6,50,43.3
45.1,36.6,20
41.3,45.1,65.5
58.6,41.9,44.8
66.6,65.6,29
41.9,41.3,41.9
50,60,65.5
32.2,53.3,56.6
38.7,53.3,46.6
63.3,41.3,79.3
58.6,40,51.7
29,63.3,25.8
26.6,51.6,29
41.9,41.3,32.2
50,56.6,34.4
50,61.2,53.3
31.2,36.6,53.3
65.5,44.8,44.8
38.7,33.3,68.7
46.6,40,38.7
46.6,53.3,51.7
51.6,50,29
76.6,48.3,24.1
46.6,70.9,33.3
36.6,46.6,40.6
46.6,58,51.7
41.3,65.5,55.1
66.6,45.1,45.1
44.8,36.6,62
23.3,50,50
70.9,23.3,50
40,34.4,76.6
53.3,46.6,41.3
60,43.3,17.2
66.6,35.4,32.2
40.6,40,58
48.3,40,40
61.2,22.5,33.3
70,33.3,50
48.2,41.9,33.3
34.4,44.8,43.3
36.6,23.3,51.6
26.6,25.8,53.3
35.4,44.8,58.6
26.6,31,48.2
53.3,33.3,27.5
33.3,36.6,44.8
43.3,53.3,45.1
24.1,48.2,33.3
31.2,33.3,37.9
66.6,18.7,36.6
53.3,43.3,46.8
40,56.6,40
34.4,65.5,32.2
34.3,25.8,41.3
56.6,55.1,30
50,51.7,53.3
46.6,58,48.3
62.5,41.3,41.3
56.6,22.5,46.6
53.3,31,53.3
33.3,38.7,73.3
51.7,56.6,32.2
51.7,62,26.6
45.1,58.6,26.6
55.1,30,23.3
25.8,33.3,54.8
58,45.1,20.6
64.5,43.3,27.5
43.3,50,25.8
37.9,51.7,48.3
41.3,65.5,56.6
64.5,46.6,48.2
38.7,48.2,53.3
41.9,22.5,43.3
77.4,21.8,40.6
33.3,68.9,56.6
41.3,44.8,64.5
56.6,40,29
46.6,64.5,46.6
73.3,56.6,31
46.6,44.8,34.4
66.6,41.9,36.6
68.9,56.6,41.9
63.3,25.8,60
43.3,30,32.2
46.6,36.6,34.4
60,56.6,36.6
58.6,55.1,48.3
40,24.1,63.6
40,25.8,58
62,25.8,62
65.5,48.2,51.7
45.1,35.4,48.2
25,51.6,56.6
79.3,60,29
46.6,29,27.5
45.1,68.9,24.1
51.6,66.6,25.8
31.2,44.8,55.1
60,89.6,68.9
27.5,44.8,37.5
41.9,20,25.8
45.1,41.3,43.3
48.3,37.9,43.3
66.6,58.6,41.3
40,54.8,43.3
37.9,56.6,50
56.6,53.3,45.1
50,68.9,55.1
62,58.6,58
25,53.3,55.1
60,27.5,33.3
46.6,44.8,36.6
34.4,55.1,36.6
33.3,30,53.3
48.2,45.1,45.1
35.4,43.3,54.8
46.6,62,79.3
50,50,46.6
66.6,32.2,54.8
41.9,58.6,51.7
48.3,48.3,35.4
45.1,51.7,50
48.2,63.3,43.7
31,62,40
41.3,55.1,35.4
29,89.6,60
32.2,34.4,70
43.3,32.2,51.6
38.7,29,31.2
54.8,32.2,56.6
75.8,68.9,56.6
62,37.5,36.6
68.9,38.7,43.3
53.3,63.3,40
55.1,62,54.8
35.4,61.2,55.1
62.5,70,75.8
37.5,32.2,56.6
46.6,62,64.5
43.3,44.8,53.3
35.4,45.1,40
41.9,40,36.6
93.5,40,27.5
61.2,60,44.8
64.5,55.1,50
33.3,33.3,45.1
26.6,30,50
48.2,27.5,37.9
29,34.4,51.7
56.6,51.7,40
51.7,33.3,33.3
51.6,53.3,70
48.3,40,58.6
65.5,62,75.8
62,35.4,28.1
50,24.1,16.1
35.4,43.3,30
34.4,19.3,35.4
36.6,23.3,37.5
37.9,24.1,40
43.7,40,45.1
43.3,60,54.8
43.3,37.9,44.8
38.7,26.6,32.2
37.9,43.3,32.2
54.8,53.3,41.3
48.2,54.8,25.8
46.6,30,34.4
41.9,21.8,46.8
63.3,45.1,31.2
40,51.6,36.6
33.3,40,44.8
26.6,55.1,40
45.1,36.6,43.3
44.8,48.3,44.8
60,37.9,50
72.4,41.3,40
62,28.1,65.5
35.4,46.6,41.3
44.8,37.9,56.6
37.5,46.6,44.8
61.2,51.6,38.7
36.6,34.3,50
30,41.3,30
35.4,41.9,32.2
44.8,27.5,31
46.6,70,51.7
50,45.1,28.1
36.6,50,23.3
51.6,70,55.1
55.1,53.3,45.1
44.8,70,65.5
37.9,28.1,44.8
67.7,36.6,38.7
41.3,56.6,41.9
32.2,50,41.9
25.8,51.7,55.1
36.6,56.6,43.3
60,55.1,36.6
51.7,73.3,44.8
40,53.3,43.3
43.3,66.6,40.6
45.1,53.3,46.6
56.6,50,48.2
34.3,50,23.3
56.6,56.6,48.2
50,48.3,48.2
60,26.6,53.3
58.6,37.9,45.1
72.4,27.5,41.9
36.6,44.8,45.1
62,31.2,40
35.4,25.8,43.3
30,40,56.6
51.6,65.5,34.4
46.6,45.1,29
73.3,51.7,41.3
65.5,75.8,48.2
66.6,53.3,51.7
37.9,63.3,36.6
48.2,43.3,45.1
41.3,44.8,46.6
29,48.3,68.9
36.6,19.3,51.6
41.9,45.1,55.1
30,51.6,75.8
35.4,46.6,48.2
51.6,41.9,79.3
51.7,51.7,70
45.1,68.7,56.6
48.3,46.6,65.5
62,48.2,38.7
60,26.6,40
30,37.9,31
51.7,44.8,32.2
37.9,32.2,45.1
33.3,34.4,53.3
25.8,36.6,73.3
40.6,34.4,29
41.9,56.6,41.9
63.3,36.6,43.3
51.7,43.3,56.6
72.4,48.2,51.7
53.3,38.7,37.9
25,48.2,29
38.7,34.4,38.7
56.6,16.6,43.7
60,35.4,36.6
41.9,34.4,53.1
37.9,53.3,70
36.6,48.2,51.6
48.3,35.4,55.1
33.3,40,36.6
41.3,54.8,33.3
25.8,45.1,29
65.5,46.6,48.2
40,48.2,23.3
30,53.3,33.3
63.3,38.7,23.3
53.3,41.9,30
31,37.9,34.3
30,46.6,43.7
37.9,63.3,46.6
38.7,56.6,43.7
60,43.3,43.3
66.6,45.1,53.1
70,37.9,63.3
51.7,44.8,73.3
37.9,67.7,55.1
30,40,30
60,48.3,50
27.5,41.3,28.1
41.3,32.2,56.2
46.6,54.8,41.9
62,44.8,41.3
53.3,51.6,41.9
20,51.6,51.7
56.6,58.6,56.6
37.9,65.5,58.6
33.3,62,54.8
65.5,60,53.3
63.3,51.6,29
48.2,63.3,30
38.7,56.6,48.2
31,41.9,41.9
46.6,31,45.1
73.3,38.7,63.3
32.2,41.3,51.6
64.5,60,51.7
37.9,41.3,41.9
48.2,36.6,44.8
46.6,46.6,34.4
63.3,36.6,77.4
48.3,60,41.3
48.2,40,53.3
48.3,55.1,38.7
48.3,53.3,35.4
76.6,56.6,55.1
29,65.5,41.9
29,38.7,66.6
34.4,41.3,51.6
25,31,46.6
46.6,40,73.3
60,37.9,50
64.5,60,75.8
55.1,26.6,41.9
41.9,32.2,55.1
34.4,36.6,35.4
26.6,41.9,67.7
30,65.5,56.6
36.6,45.1,30
17.2,82.7,46.6
32.2,40,36.6
40,51.6,51.7
35.4,61.2,51.7
36.6,31.2,31
