trial1,trial2,trial3,trial4,trial5
62,58.6,51.7,44.8,34.4
58,51.7,51.7,33.3,23.3
46.8,44.8,73.3,50,34.4
35.4,82.7,70,29,40
48.3,64.5,48.3,60,45.1
50,48.2,39.3,32.2,43.3
29,40,55.1,70,40
63.3,40.6,40.6,55.1,36.6
44.8,80,70,51.7,33.3
35.4,46.8,41.3,50,27.5
43.3,46.6,53.3,72.4,56.6
55.1,51.7,61.2,54.8,53.3
33.3,82.7,51.7,48.3,40
46.6,68.9,36.6,66.6,48.2
55.1,79.3,41.9,36.6,43.3
26.6,70.9,37.5,60,43.3
38.7,65.5,56.6,56.6,54.8
50,63.3,62,63.3,31
56.6,53.3,50,36.6,53.3
46.6,63.3,34.4,50,53.3
43.3,56.6,58,48.2,61.2
62,48.3,63.6,51.6,65.5
73.3,56.6,50,65.5,31.2
34.4,33.3,30,34.4,54.8
55.1,50,55.1,55.1,50
55.1,66.6,56.2,55.1,53.3
30,38.7,58.6,48.3,55.1
65.5,61.2,40,21.8,60.6
46.6,34.4,29,50,34.4
70,43.7,53.3,53.3,53.3
56.6,41.9,46.6,45.1,76.6
43.3,55.1,51.6,43.3,51.6
37.9,51.6,40,58.6,33.3
50,46.6,56.6,60,41.9
70,37.9,51.7,65.5,41.3
51.7,61.2,61.2,58.6,48.3
37.9,48.2,53.3,40,33.3
41.3,51.7,43.3,65.5,66.6
41.3,50,54.8,43.7,45.1
43.3,43.3,43.3,25.8,43.3
48.2,50,36.6,40.6,60
36.6,51.6,63.3,65.5,28.1
40,44.8,37.9,50,50
60,56.6,60,62,55.1
56.6,58.6,38.7,68.9,55.1
50,48.2,73.3,70.9,33.3
37.9,51.6,53.3,58,58.6
48.2,45.1,60,58.6,53.3
56.6,70,48.3,53.3,75.8
41.3,58,56.6,41.9,45.1
46.6,26.6,46.6,48.3,46.6
65.5,50,46.6,53.3,38.7
56.6,53.3,46.6,35.4,43.3
46.6,54.8,54.8,35.4,51.7
38.7,48.3,46.6,41.9,46.6
54.8,46.6,48.3,55.1,41.3
61.2,58,41.9,59.3,46.6
56.6,73.3,45.1,48.2,43.3
40,51.7,33.3,58.6,31
45.1,50,44.8,50,43.3
53.3,66.6,68.9,40,38.7
61.2,41.3,46.6,50,40
