trial1,trial2,trial3
35.4,51.7,33.3
30,62,55.1
58,36.6,48.2
34.4,61.2,27.5
53.3,62,55.1
55.1,46.6,44.8
41.3,51.7,31
28.1,56.6,36.6
53.1,40,40
55.1,50,33.3
32.2,30,44.8
53.3,40,41.3
62,56.6,30
40,36.6,25.8
33.3,35.4,46.6
30,51.6,40
62,50,65.5
37.9,51.7,51.6
45.1,56.6,46.6
63.3,51.6,36.6
64.5,29,58
35.4,70,51.6
41.3,60,54.8
34.4,48.2,48.2
35.4,41.3,61.2
33.3,25,50
53.3,43.3,44.8
45.1,41.3,36.6
41.9,40,48.3
60,50,50
45.4,66.6,50
36.6,55.1,50
30,45.1,60
56.6,46.6,70
54.8,43.3,30
53.3,43.3,34.3
75.8,68.9,76.6
53.3,46.6,33.3
30,43.3,63.3
45.1,54.5,55.1
23.3,40,40
29,44.8,63.3
56.6,63.3,61.2
53.3,50,68.9
50,41.3,63.3
36.6,51.7,58.6
51.7,30,46.6
37.9,30,53.3
48.2,58.6,67.7
44.8,41.9,62
43.3,35.4,70
56.6,64.5,51.7
24.1,37.9,41.9
31,54.8,54.8
23.3,62,33.3
70,46.6,33.3
50,61.2,40
50,56.6,43.3
61.2,30,56.6
58,23.3,46.6
63.3,56.6,28.1
63.3,28.1,55.1
36.6,33.3,65.5
46.6,79.3,44.8
55.1,61.2,33.3
33.3,51.6,70
33.3,68.9,37.5
54.8,70,45.1
40,63.3,60
60,72.4,55.1
61.2,48.3,58
40,35.4,45.1
56.6,32.2,53.3
54.8,46.6,63.3
43.3,56.6,58.6
50,43.3,41.9
53.3,50,46.6
44.8,30,55.1
36.6,44.8,51.7
62,72.4,58
41.9,53.3,33.3
51.6,56.6,40
50,35.4,68.9
31.2,30,56.6
60,34.3,43.3
30,54.8,29
53.3,65.5,37.9
55.1,46.6,37.9
53.3,50,46.6
50,43.3,29
30,38.7,74.1
32.2,60,55.1
32.2,67.7,41.3
33.3,55.1,38.7
31,48.2,58.6
60,66.6,61.2
40,62,56.6
43.3,60,45.1
41.9,70,45.1
40,51.7,58.6
41.3,48.3,72.4
48.3,61.2,35.4
56.6,36.6,60
63.3,35.4,63.3
51.7,50,70
56.6,26.6,31
62,53.3,27.5
67.7,63.3,63.3
37.9,44.8,51.6
60,68.9,45.1
63.3,50,22.5
36.6,43.3,60
45.1,41.9,45.1
46.6,41.3,44.8
70.9,40,51.7
43.3,51.6,61.2
46.6,50,28.1
60,46.6,51.7
43.3,55.1,40.6
45.4,43.3,79.3
41.9,38.7,26.6
46.6,45.1,48.2
53.3,50,56.2
58.6,29,60
79.3,43.3,44.8
62,32.2,63.3
43.3,55.1,60
41.3,50,66.6
23.3,50,54.8
33.3,43.3,40
48.2,41.3,54.8
46.6,36.6,48.2
41.9,43.3,23.3
45.1,56.6,34.4
38.7,62,43.3
38.7,54.8,46.6
40,44.8,72.4
31,55.1,30
41.9,37.9,48.3
61.2,51.6,40.6
43.3,63.3,64.5
45.1,48.2,37.9
75.8,58.6,60
36.6,34.4,56.6
29,26.6,66.6
50,41.9,33.3
30,74.1,37.9
44.8,55.1,51.6
51.6,40,51.7
35.4,36.6,31
41.3,53.3,27.5
46.6,40,41.3
38.7,41.9,56.6
53.3,51.7,61.2
60,31,23.3
53.3,58.6,23.3
48.2,40,66.6
70,53.3,46.6
58.6,26.6,50
37.9,55.1,63.3
46.6,29,58
45.1,65.5,54.8
56.6,48.2,40
62,40,48.3
58.6,46.6,38.7
60,44.8,45.1
62.5,44.8,54.8
43.3,36.6,45.1
26.6,53.3,41.9
62,35.4,23.3
50,55.1,40
38.7,50,36.6
27.5,48.3,53.3
62.5,51.7,66.6
33.3,36.6,50
43.3,55.1,23.3
56.6,35.4,30
37.9,26.6,33.3
60,60,29
60,35.4,41.9
31,45.1,58
30,48.2,25
50,68.9,40
67.7,33.3,38.7
51.7,26.6,45.1
44.8,55.1,55.1
