trial1,trial2,trial3
113,72.4,66.6
76.6,110,46.8
87,51.7,100
93.5,42.4,60
116,134,77.4
46.6,65.5,78.1
100,50,96.7
116,96.6,83.3
86.6,93.3,86.2
89.6,58.6,106
60,106,62
110,123,65.5
93.5,72.4,124
100,56.2,77.4
112,119,46.6
66.6,103,60
51.7,106,46.6
103,62,46.8
55.1,93.1,103
79.3,116,93.5
100,103,116
62,56.6,110
76.6,83.3,93.5
70,70.9,116
90.3,62,64.5
116,51.7,70
62,65.5,93.1
96.5,93.1,63.3
90.3,83.3,62
58.6,103,110
66.6,62,113
90.3,54.8,62
130,65.5,56.6
110,68.9,113
86.6,106,53.3
75.8,74.1,53.3
82.7,80,100
53.3,83.8,93.3
55.1,87,80
87,103,115
87,100,75
82.7,103,86.2
48.3,50,93.3
64.5,54.8,86.6
53.3,80,86.6
109,83.3,76.6
77.4,73.3,86.2
54.8,70.9,61.2
106,66.6,41.3
89.6,87,90
76.6,100,84.3
86.6,62.5,74.1
96.5,80,75.8
96.5,83.8,43.3
106,83.3,65.6
38.7,41.9,103
46.6,58.6,93.5
100,60,83.3
103,46.6,65.6
73.3,40,46.6
89.6,76.6,43.3
56.6,76.6,45.4
75,90.3,34.3
80.6,70.9,63.3
93.5,96.5,83.8
46.6,90,100
53.3,90,64.5
48.2,83.3,50
80,100,83.8
80.6,60,93.5
53.3,90,46.8
100,100,53.3
72.4,46.6,50
46.6,45.1,43.3
80,60,58
103,41.3,110
75.8,96.5,93.1
82.7,90,106
56.2,51.7,70
77.4,55.1,93.3
106,65.6,43.7
56.6,90,53.3
83.3,90.3,76.6
79.3,100,83.3
80,93.1,65.5
80.6,83.3,70
64.7,38.7,106
53.3,86.2,100
93.5,65.6,93.3
90,80.6,51.6
123,60,55.1
82.7,62,50
106,83.8,44.8
43.7,71.8,70
89.6,70.9,54.8
106,51.7,50
61.2,83.3,80
56.6,67.7,87
103,70,90
93.5,50,50
93.1,103,77.4
41.9,75,86.2
82.7,96.7,86.6
