trial1,trial2,trial3,trial4,trial5
127,151,127,141,106
96.7,83.8,134,100,117
119,70,103,73.3,93.1
62.5,62,65.5,73.3,79.3
109,103,90,73.3,90
113,110,58,66.6,80
110,53.3,120,68.9,113
90,86.6,82.7,67.7,89.6
103,90.6,83.8,120,84.3
78.1,106,53.3,68.9,80.6
74.1,86.2,87,76.6,113
86.2,76.6,93.5,68.9,76.6
78.1,100,90.3,113,83.3
117,79.3,63.3,93.1,70
80,103,83.3,96.5,93.5
113,100,103,86.6,76.6
80.6,80.6,106,76.6,109
87.5,83.3,93.1,80,80.6
87,100,83.3,54.8,58
103,90,106,103,93.9
70,103,103,93.5,93.5
89.6,113,116,82.7,90
100,106,93.3,80.6,100
106,86.2,103,76.6,90
93.3,131,100,83.3,90.3
103,80,70.9,77.4,106
86.6,103,83.3,80.6,96.7
100,83.3,80.6,96.6,106
76.6,86.2,96.5,100,96.7
67.7,103,83.3,96.5,96.6
90,100,89.6,93.1,103
96.5,68.7,126,110,93.1
103,100,110,110,73.3
83.3,113,116,116,93.3
106,103,80.6,103,100
113,117,96.5,90.3,90.3
93.5,86.6,96.6,93.5,110
100,96.6,83.8,79.3,103
113,77.4,113,93.3,103
96.7,83.3,64.5,100,96.6
120,100,113,77.4,110
116,70,83.3,86.6,96.7
83.8,96.5,70.9,93.5,90
83.3,124,77.4,90,74.1
112,86.6,72.4,90.3,100
93.1,93.3,87,80.6,110
93.3,93.1,90,100,100
78.1,76.6,77.4,93.3,103
96.8,100,86.6,90,100
100,89.6,100,106,90.3
66.6,106,103,103,109
113,93.3,93.3,89.6,106
120,112,86.6,82.7,110
79.3,116,90.3,106,83.8
96.5,96.6,83.8,82.7,119
100,103,106,70,96.7
76.6,86.2,113,80.6,80
75.8,106,86.2,96.7,106
106,100,76.6,93.1,74.1
60,90.3,106,110,130
100,89.6,96.6,93.5,86.2
75.8,82.7,110,37.5,74.1
120,86.6,103,83.3,58.6
100,83.3,100,77.4,90
103,96.5,79.3,90,83.3
96.5,93.7,86.2,93.3,90
103,90.3,83.8,106,90
103,137,96.5,87,76.6
86.6,93.1,80,90.3,93.5
90,67.7,100,110,90.3
124,100,106,106,116
113,109,81.8,83.3,83.8
81.2,100,83.3,106,90
93.3,103,93.5,93.5,80
89.6,106,103,96.6,82.7
106,93.3,96.6,103,83.8
100,96.6,86.2,96.5,106
96.5,100,77.4,103,80
90.3,100,96.7,81.2,89.6
96.8,77.4,113,93.7,80
79.3,90,100,96.6,106
93.1,96.6,110,86.6,93.5
93.7,103,77.4,100,100
96.6,96.6,106,96.6,80.6
119,100,61.2,90,86.6
103,80.6,110,93.1,90.3
103,83.3,100,90.3,93.3
113,83.3,96.6,90,83.8
90,83.3,96.6,100,80
82.7,89.6,86.2,100,93.5
93.5,90,93.3,90,96.5
110,100,83.3,126,96.6
76.6,106,83.8,76.6,90.3
90,93.1,93.5,103,86.6
96.6,93.5,103,96.6,71.8
100,110,120,86.2,135
83.3,90,144,86.6,83.3
100,90,87,103,72.4
80,77.4,103,80.6,80
90,79.3,83.8,96.6,74.1
86.6,76.6,124,89.6,103
96.8,80.6,93.3,83.8,90
112,96.6,90.3,80.6,76.6
93.3,93.5,103,87.8,80.6
113,70.9,96.6,83.3,90.3
103,86.6,89.6,110,96.7
90.3,93.1,113,89.6,90.3
127,93.3,131,100,82.7
110,137,100,109,106
115,110,127,100,106
96.7,77.4,81.8,80,120
109,73.3,112,96.9,113
109,136,123,103,137
120,140,141,100,131
116,120,103,116,100
120,131,89.6,120,106
89.6,116,137,120,113
126,106,110,103,71.8
132,117,106,78.1,93.3
112,123,119,109,124
120,103,103,113,64.5
131,96.5,110,110,90
137,90.3,131,119,100
124,109,93.5,128,103
120,148,132,100,117
103,78.1,113,103,65.6
100,126,106,100,77.4
123,136,109,130,100
80,116,103,100,110
110,112,103,110,112
106,103,113,106,116
109,117,126,117,123
106,113,103,123,100
117,106,93.5,120,83.8
131,126,93.3,103,86.2
120,141,109,96.8,96.7
103,110,106,103,62.5
123,122,84.3,113,100
117,106,93.3,96.9,96.8
106,96.7,116,117,96.8
122,100,93.1,117,96.6
119,96.5,90,103,100
89.6,110,133,103,83.3
90,112,124,93.5,165
126,112,100,137,100
129,90.3,112,106,83.3
90.3,106,112,110,93.5
129,112,113,103,100
158,113,63.3,106,117
110,129,130,128,127
106,80,87.5,120,158
106,113,103,106,117
103,119,112,103,119
100,120,83.3,123,93.5
130,123,109,93.7,106
151,136,127,103,116
132,116,120,119,122
131,103,76.6,122,126
118,116,115,96.6,96.7
116,126,131,113,96.5
137,100,140,140,75
70.9,96.8,122,126,131
137,96.9,122,141,117
124,137,158,128,134
106,106,109,120,117
96.7,131,96.6,93.3,133
81.2,93.3,109,124,90.3
