trial1,trial2,trial3
60,151,86.2
50,89.6,96.6
90,113,62
72.4,93.1,80.6
64.5,96.5,100
117,90.3,93.3
63.3,113,103
63.3,103,73.3
116,48.2,93.3
50,58,48.2
113,58.6,93.1
79.3,83.3,87
67.7,103,86.2
55.1,90,106
103,117,51.7
61.2,86.6,80
100,82.7,56.6
83.3,103,63.6
100,60,80.6
63.3,106,48.3
100,62.5,82.7
113,86.2,86.6
66.6,120,62
96.7,53.3,89.6
110,103,76.6
83.3,120,93.5
90.3,84.3,86.6
100,110,80
83.8,80,83.3
43.7,83.3,96.7
56.6,106,89.6
51.6,103,86.6
90,86.6,106
100,80,93.1
46.6,48.3,80
66.6,51.7,70
58,51.6,80.6
103,56.6,70.9
76.6,53.3,46.6
62.5,43.3,50
75.8,46.8,65.5
53.3,89.6,53.3
70.9,83.3,61.2
40,126,93.3
100,67.7,86.6
35.4,87.5,113
54.8,90.6,86.6
53.3,83.8,100
75.8,62,75.7
58.6,46.6,110
50,51.7,53.3
90,110,100
38.7,93.5,81.2
33.3,82.7,103
41.9,120,46.6
82.7,103,40
120,54.8,103
90.3,87,35.4
68.9,100,90
96.6,75.8,93.5
56.6,75.8,83.8
72.4,86.6,80.6
80.6,103,70
43.3,74.1,59.3
53.3,80.6,73.3
110,83.3,66.6
70,53.3,96.6
68.9,51.6,96.6
113,65.5,93.1
77.4,60,87
65.6,58,80
50,83.8,81.2
93.5,106,86.2
80,96.7,51.7
62,56.6,61.2
90,86.2,65.6
96.5,48.3,96.5
86.2,96.5,117
87,56.6,78.1
80,103,86.6
86.6,90,67.7
93.3,78.1,63.3
77.4,50,93.3
100,76.6,93.1
93.1,90,76.6
53.3,70,90.3
89.6,60,100
68.9,93.1,96.7
80,53.1,96.6
70,82.7,103
103,78.1,96.6
64.5,53.3,93.3
93.3,46.6,120
116,93.1,90
90.6,67.7,43.7
80,89.6,96.5
106,93.5,77.4
79.3,83.8,77.4
40,96.5,103
43.3,93.1,87
70,54.8,82.7
86.2,60,103
83.3,75.8,96.5
96.5,96.6,96.7
86.2,110,82.7
96.7,87,50
62.5,100,56.2
60,65.5,82.7
40.6,120,53.1
93.5,106,62
74.1,82.7,65.5
103,83.3,56.6
103,56.6,60
96.6,96.6,70.9
58.6,83.8,32.2
80.6,110,66.6
48.3,80,83.8
56.6,86.6,79.3
68.9,100,83.3
66.6,80.6,74.1
93.5,76.6,83.8
96.7,34.3,93.3
73.3,56.2,58.6
70,75.8,58
103,103,120
45.1,96.7,80.6
61.2,93.1,71.8
100,110,103
100,87,51.6
109,86.2,90
86.6,86.2,90
100,103,75.8
87,51.6,87
89.6,53.3,90
100,46.6,90
58.6,70.9,50
36.6,46.8,38.7
123,53.1,37.5
65.5,103,90.3
103,68.9,87
66.6,54.8,73.3
120,79.3,56.6
93.3,44.8,86.6
90,67.7,93.1
93.5,75.8,82.7
116,106,90.3
93.7,90,64.5
