Honest-Object-Text-Headless-CPU,Honest-Object-Text-Headless-MEM,Honest-Object-Text-Handheld-Headless-CPU,Honest-Object-Text-Handheld-Headless-MEM,Mal-Object-Text-Headless-CPU,Mal-Object-Text-Headless-MEM,Mal-Object-Text-Handheld-Headless-CPU,Mal-Object-Text-Handheld-Headless-MEM
63.3,2,53.3,2.3,93.7,2,231,2.3
53.3,2,68.9,2,119,2.7,216,3.1
72.4,2.2,66.6,2.3,87,2.2,217,1.9
74.1,2.2,36.6,2.1,72.4,1.9,223,2
66.6,2.2,51.7,2.3,106,2.1,213,1.7
48.2,2.1,43.3,2,76.6,1.9,203,1.8
48.3,2,55.1,2.2,87,2.2,219,2.2
45.1,2.3,51.7,2.4,106,2.1,196,1.9
58.6,2.2,60,2.2,103,2.3,200,2
53.3,2.2,66.6,2.3,87,2.3,180,2.2
55.1,2,58,2.1,106,2.2,223,1.9
46.6,2,56.6,2.2,109,2.1,182,2.2
50,2.3,43.3,2,110,2.2,174,1.9
62,2.2,58.6,2.1,96.6,2.2,145,1.5
58.6,2.1,56.6,2.3,100,2.2,150,1.8
41.9,2.1,36.6,2,110,2.1,179,1.5
44.8,2.1,62,2.2,110,2.2,158,2.2
82.7,2.3,46.8,2,83.3,2.1,165,2
60.6,2.2,51.6,2.2,113,2.3,186,2.2
56.6,2.2,51.6,2,110,2.4,206,2
68.9,2.2,58.6,2.1,80,2,164,2.2
65.5,2.1,46.6,2.3,133,2,132,2.1
58.6,2.2,56.6,2,125,1.8,174,2.3
60,2,58.6,2.3,106,2,165,2
60,2,45.1,2.1,89.6,1.8,160,2.1
56.6,2.3,64.5,2.3,103,1.8,210,1.9
77.4,2.2,60,2.1,82.7,1.8,196,1.9
56.6,2.2,38.7,2.3,90.3,1.9,162,2
36.6,2.2,55.1,2.1,83.8,2,179,2.2
45.1,2,35.4,2.3,83.3,2,158,2
79.3,2.3,62,2,80.6,2.2,146,2.1
51.6,2.2,58.6,2.2,87.5,2,156,1.9
55.1,2,45.1,2,86.2,2,164,2.1
54.8,2.3,51.7,2.1,89.6,2,213,1.8
38.7,2.1,50,1.9,110,2,161,2
72.4,2.4,58.6,2.1,100,2.2,129,1.7
46.6,2.3,72.7,2.3,106,2.7,196,1.8
50,2.1,62,2.1,130,2.3,155,1.9
56.6,2,70,2.2,89.6,2.5,200,2
76.6,2.3,53.3,2,106,2.3,187,1.9
58.6,2.3,53.3,2.3,131,2.3,196,2.2
43.3,2.1,43.3,2,96.7,1.8,189,1.9
58.6,2,34.4,2.2,103,2,170,2.1
60,2.2,48.2,2,93.1,1.9,174,1.8
66.6,2.1,51.7,2.2,72.4,1.8,148,1.7
66.6,2.4,53.3,2,106,2.2,166,2
50,2.2,65.6,2.1,144,2.2,170,2.1
45.1,2,58.6,2.2,144,2.2,200,2.1
53.3,2.2,43.3,2,113,2.2,193,2.1
58.6,2,58,2.1,130,2,209,2
60,2.2,58.6,2.3,136,2,193,2.4
44.8,2.1,53.3,2,145,1.9,200,2.1
62,2.3,60,2.2,120,1.7,206,2.4
41.3,2,44.8,2,133,1.6,237,2.1
62,2.3,82.7,2.2,123,1.6,234,2.3
51.6,2.1,75.8,2.3,116,1.6,226,2
65.5,2,53.3,2.1,133,1.3,210,2.2
75.8,2.3,65.5,2.2,124,1.3,203,2
50,2.2,72.4,2.4,103,1.5,231,2.4
68.9,2.4,53.3,2.1,112,1.9,183,2
58.6,2.2,60,2.2,96.6,1.8,193,2.1
58.6,2,33.3,2,90.3,1.6,183,1.6
51.5,2.2,50,2.1,146,1.6,170,2.3
33.3,2.1,46.6,2.2,112,1.5,144,1.9
66.6,2.3,61.2,2,106,1.5,180,2.1
35.4,2.2,43.3,2.1,141,1.6,200,1.7
72.4,2.4,72.4,2.3,113,2.2,153,1.7
43.7,2.2,53.3,2.1,137,2,231,2
43.3,2,64.5,2.3,151,2,190,1.7
66.6,2.3,55.1,2,151,2.3,227,2.1
38.7,2.1,43.3,2.2,120,2.2,224,2.2
61.2,2.3,51.7,2.3,143,2,234,2.3
32.2,2,45.1,2.1,127,2,222,2.2
58.6,2.3,43.7,2.2,163,1.7,190,2.4
66.6,2,72.4,2.3,196,2,183,2.1
56.2,2.3,58.6,2,175,2.1,241,2.3
44.8,2,63.3,2.2,155,2,272,2.4
48.2,2.1,50,2.4,213,2.3,209,2.3
83.3,2.4,53.3,2.1,183,2.2,200,2.4
60,2.2,68.9,2.3,203,2.1,190,2
48.3,2.1,35.4,2,180,1.9,212,2.4
55.1,2.2,33.3,2.1,174,1.8,234,2
43.3,2.1,70,2.3,168,2.1,203,2.2
33.3,2.2,41.3,2,160,2.1,231,2.1
51.7,2,70,2.1,162,1.7,196,2.1
63.3,2.3,62,2.3,125,1.7,310,1.9
56.6,2.2,50,2.1,155,1.7,193,2.2
37.9,2.4,68.9,2.2,155,1.1,232,2.4
38.7,2.2,50,2.4,132,1.9,251,2.2
46.6,2.4,48.2,2.1,136,2,235,2.2
48.2,2.2,48.2,2.2,168,2,237,2.1
60,2,50,2,100,1.7,193,2.1
41.3,2.2,33.3,2.2,136,1.8,236,2
43.3,2,63.3,2.3,90.3,1.6,196,2.3
41.3,2.3,41.3,2.4,103,1.9,161,2.4
48.2,2.1,26.6,2.1,100,1.8,151,2
65.5,2.4,51.6,2.3,86.6,1.4,206,2.2
51.7,2.2,44.8,2,80,1.5,182,2.2
58.6,2,56.6,2.1,127,1.9,138,2.4
76.6,2.3,48.3,2.2,416,1.8,182,2.5
60,2,58,2.3,290,1.5,174,2.3
43.3,2.3,53.3,2.1,293,1.1,186,2.4
65.5,2,55.1,2.2,248,1.1,206,2.1
58.6,2.3,60,2.3,245,1.1,181,2.3
32.2,2.2,60,2,248,3.3,206,2.5
65.5,2.2,50,2.2,258,2.6,203,2.2
36.6,2.1,55.1,2.3,250,3.5,212,2.5
58.6,2.4,50,2,242,3.3,240,2.1
79.3,2.1,51.6,2.2,252,3.3,233,2.1
58.6,2,79.3,2.3,308,4.2,222,1.8
55.1,2.2,29,2.1,233,4.3,164,2.3
73.3,2.4,48.2,2.2,250,4.5,196,2.4
48.2,2.2,72.4,2.3,255,5.5,193,2.3
63.3,2,54.8,2.1,262,4.4,243,2.3
62,2.3,53.3,2.3,250,5.1,203,2.2
40,2.1,83.3,2.4,434,6,213,2.3
50,2,58.6,2.1,320,6.8,213,2.4
73.3,2.2,30,2.2,324,6.5,160,2.3
51.7,2.2,41.9,2,264,6.5,193,2.3
50,2.4,72.4,2.1,266,6.9,235,1.9
51.6,2.2,86.2,2.3,363,5.9,223,2.1
44.8,2.1,37.9,2,293,7.9,182,2.4
58,2.3,63.3,2.1,330,8.1,178,2.2
73.3,2.2,60,2.3,350,8,216,2.4
48.2,2,53.3,2.1,336,8.2,206,2.3
36.6,2.3,62,2.2,355,9.3,167,2.5
29,2,66.6,2.4,346,9.2,230,2.1
55.1,2.2,58,2.1,368,10.2,250,2.2
26.6,2.1,58,2.2,368,10.1,210,2
58.6,2.3,73.3,2.4,362,10.1,244,2.4
40,2,66.6,2,355,10.8,250,2.6
53.3,2.2,67.7,2.2,373,11.9,283,2.1
34.4,1.9,73.3,2.3,341,11.7,190,2.1
53.3,2,53.3,2.1,348,11.2,212,2.2
67.7,2.3,48.3,2.3,367,11.8,225,2.1
41.3,2.2,56.6,2,302,12.6,212,2.2
67.7,2.1,50,2.2,341,13.5,233,2.3
70,2.4,44.8,2,300,13.4,263,2.6
60,2.2,46.6,2.2,338,14.5,240,2.2
64.5,2.4,40,2.3,341,15.1,270,2.5
58.6,2.1,63.3,2,363,15.2,229,2.3
40,2.1,43.3,2.2,363,15.5,226,2.4
70,2.3,93.1,2.3,324,15.3,280,2.3
43.3,2.2,55.1,2.1,293,16.2,225,1.9
62,1.9,50,2.3,313,16.7,190,2.3
56.6,2.3,46.6,2,380,16.7,210,2
55.1,2.2,68.9,2.1,365,17.3,158,2.2
48.2,2,43.3,2.3,356,17.9,216,2.3
50,2.2,41.3,2,350,18.1,196,2.5
53.3,2.4,51.6,2.1,357,17.7,220,2.5
40.6,2.2,65.5,2.3,385,18.7,244,2.2
89.6,2.3,51.7,2.1,348,19.3,209,2.2
60,2.2,68.9,2.3,254,19.7,196,2.5
72.4,2,50,2,256,19.1,229,2.2
66.6,2.3,58.6,2.2,332,20.1,241,2.4
,,,,286,21,,
