
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: headless_fb_malicious-Object-Text
--------------------------------------------------------------------------------

Application output directory created at: output/headless_fb_malicious-Object-Text
Output will be written to file: output/headless_fb_malicious-Object-Text/headless_fb_malicious-Object-Text.2020-08-19.145540.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb
\t Application local name: \t\t headless_fb_malicious-Object-Text
\t Run time (milliseconds): \t\t\t 270000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=11ms (0ms mobile, 0ms wifi, 11ms not connected)

--------------------------------------------------------------------------------

App PID: 13940
Trial start time (ms): 1597863340736

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,62.0,2.2,113468064,73406120,39521272,35,2520,7819780,1106536,3493516,1077952832,16978,2173,0,0,10,37,90132576,40962
2,1258,58.0,2.2,113468064,73406120,39521272,35,2520,7819780,1112364,3490308,1077952832,17017,2175,0,0,10,37,90132576,40600
3,2052,46.8,2.1,113468064,73406120,39521272,35,2520,7819780,1083216,3461160,1077952832,17054,2180,0,0,10,37,90132576,38655
4,2886,35.4,2.0,113468064,73406120,39521272,35,2520,7819780,1089468,3467412,1077952832,17075,2186,0,0,10,37,90132576,44797
5,3653,48.3,2.3,113468064,73406120,39521272,35,2520,7819780,1100792,3481904,1077952832,17108,2192,0,0,10,37,90132576,41803
6,4415,50.0,2.2,113468064,73406120,39521272,35,2520,7819780,1107228,3488348,4211008,17134,2195,0,0,10,37,90132576,41250
7,5152,29.0,2.1,113468064,73406120,39521272,35,2520,7819780,1111540,3492660,1077952832,17163,2201,0,0,10,37,90132576,40524
8,5902,63.3,2.1,113468064,73406120,39521272,35,2520,7819780,1082556,3463676,1077952832,17202,2207,0,0,10,37,90132576,39253
9,6684,44.8,2.0,113468064,73406120,39521272,35,2520,7819780,1086024,3467912,1077952832,17232,2210,0,0,10,37,90132576,36927
10,7444,35.4,1.9,113468064,73406120,39521272,35,2520,7819780,1095668,3476788,1077952832,17261,2214,0,0,10,37,90132576,43720
11,8209,43.3,1.9,113468064,73406120,39521272,35,2520,7819780,1098196,3479316,1077952832,17294,2217,0,0,10,37,90132576,43612
12,8966,55.1,2.2,113468064,73406120,39521272,35,2520,7819780,1105700,3486820,1077952832,17321,2223,0,0,10,37,90132576,41552
13,9711,33.3,2.1,113468064,73406120,39521272,35,2520,7819780,1110224,3491348,1077952832,17352,2228,0,0,10,37,90132576,40601
14,10481,46.6,2.1,113468064,73406120,39521272,35,2520,7819780,1076804,3467180,1077952832,17387,2234,0,0,10,37,90132576,38541
15,11255,55.1,2.0,113468064,73406120,39521272,35,2520,7819780,1097804,3478928,1077952832,17417,2237,0,0,10,37,90132576,45283
16,12038,26.6,1.9,113468064,73406120,39521272,35,2520,7819780,1106048,3487172,1077952832,17445,2243,0,0,10,37,90132576,43677
17,12801,38.7,2.3,113468064,73406120,39521272,35,2520,7819780,1109724,3490848,1077952832,17477,2247,0,0,10,37,90132576,40811
18,13573,50.0,2.2,113468064,73406120,39521272,35,2520,7819780,1115836,3498492,1077952832,17506,2248,0,0,10,37,90132576,38305
19,14337,56.6,2.1,113468064,73406120,39521272,35,2520,7819780,1088416,3469540,1077952832,17542,2253,0,0,10,37,90132576,39691
20,15108,46.6,2.1,113468064,73406120,39521272,35,2520,7819780,1092080,3481820,1077952832,17574,2262,0,0,10,37,90132576,36453
21,15890,43.3,1.9,113468064,73406120,39521272,35,2520,7819780,1103084,3491632,1077952832,17603,2266,0,0,10,37,90132576,44097
22,16682,62.0,2.3,113468064,73406120,39521272,35,2520,7819780,1114448,3495572,4211008,17632,2271,0,0,10,37,90132576,41564
23,17450,73.3,2.1,113468064,73406120,39521272,35,2520,7819780,1121904,3512280,1077952832,17673,2276,0,0,10,37,90132576,38591
24,18238,34.4,2.0,113468064,73406120,39521272,35,2520,7819780,1094828,3485212,1077952832,17705,2278,0,0,10,37,90132576,45031
25,18988,55.1,1.8,113468064,73406152,39521240,35,2520,7819780,1104788,3495140,1077952832,17747,2284,0,0,10,37,90132576,42796
26,19738,55.1,2.2,113468064,73406152,39521240,35,2520,7819780,1114352,3495452,1077952832,17779,2290,0,0,10,37,90132576,42030
27,20496,30.0,2.2,113468064,73406152,39521240,35,2520,7819780,1121084,3502184,1077952832,17802,2296,0,0,10,37,90132576,38435
28,21256,65.5,2.0,113468064,73406152,39521240,35,2520,7819780,1097612,3487964,1077952832,17839,2299,0,0,10,37,90132576,45716
29,22021,46.6,1.9,113468064,73406152,39521240,35,2520,7819780,1106132,3487232,1077952832,17866,2305,0,0,10,37,90132576,42525
30,22774,70.0,2.2,113468064,73406152,39521240,35,2520,7819780,1114812,3495912,1077952832,17900,2310,0,0,10,37,90132576,40330
31,23539,56.6,2.1,113468064,73406152,39521240,35,2520,7819780,1120152,3501252,1077952832,17930,2315,0,0,10,37,90132576,40013
32,24281,43.3,2.1,113468064,73406152,39521240,35,2520,7819780,1090392,3471724,1077952832,17961,2321,0,0,10,37,90132576,38896
33,25057,37.9,2.0,113468064,73406152,39521240,35,2520,7819780,1098204,3479308,1077952832,17987,2324,0,0,10,37,90132576,44821
34,25800,50.0,1.8,113468064,73406152,39521240,35,2520,7819780,1105804,3493824,1077952832,18021,2329,0,0,10,37,90132576,42772
35,26574,70.0,2.2,113468064,73406152,39521240,35,2520,7819780,1111152,3501508,1077952832,18056,2334,0,0,10,37,90132576,40907
36,27322,51.7,2.1,113468064,73406152,39521240,35,2520,7819780,1089260,3470364,1077952832,18087,2342,0,0,10,37,90132576,38690
37,28102,37.9,2.0,113468064,73406152,39521240,35,2520,7819780,1099320,3480424,1077952832,18119,2344,0,0,10,37,90132576,45101
38,28863,41.3,1.8,113468064,73406152,39521240,35,2520,7819780,1109536,3490640,1077952832,18146,2348,0,0,10,37,90132576,42104
39,29637,41.3,2.2,113468064,73406152,39521240,35,2520,7819780,1120396,3501500,1077952832,18173,2356,0,0,10,37,90132576,39733
40,30409,43.3,2.1,113468064,73406152,39521240,35,2520,7819780,1084632,3474988,1077952832,18201,2359,0,0,10,37,90132576,38725
41,31116,48.2,2.0,113468064,73406152,39521240,35,2520,7819780,1096276,3477380,1077952832,18227,2363,0,0,10,37,90132576,45128
