
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: headless_fb_malicious-Object-Text
--------------------------------------------------------------------------------

Application output directory created at: output/headless_fb_malicious-Object-Text
Output will be written to file: output/headless_fb_malicious-Object-Text/headless_fb_malicious-Object-Text.2020-08-19.163119.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb_mal
\t Application local name: \t\t headless_fb_malicious-Object-Text
\t Run time (milliseconds): \t\t\t 270000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb_mal
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=25ms (0ms mobile, 0ms wifi, 25ms not connected)

--------------------------------------------------------------------------------

App PID: 25857
Trial start time (ms): 1597869079806

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,141,2.6,113468064,73408504,39518888,35,2520,7819780,1323304,3882464,1077952832,198,21,0,0,10,53,90739333,59495
2,1085,100,3.0,113468064,73408504,39518888,35,2520,7819780,1386160,3944432,1077952832,262,24,0,0,10,53,90739333,43710
3,1815,73.3,2.3,113468064,73408504,39518888,35,2520,7819780,1361572,3929096,1077952832,322,30,0,0,10,53,90739333,49376
4,2546,73.3,2.6,113468064,73408504,39518888,35,2520,7819780,1336004,3894276,1077952832,380,33,0,0,10,53,90739333,56067
5,3323,73.3,2.9,113468064,73408508,39518884,35,2520,7819780,1311752,3870020,1077952832,446,38,0,0,10,53,90739333,40228
6,4110,66.6,2.1,113468064,73408508,39518884,35,2520,7819780,1369512,3927780,1077952832,508,44,0,0,10,49,90739333,46200
7,4891,68.9,1.9,113468064,73408508,39518884,35,2520,7819780,1374340,3932608,1077952832,574,52,0,0,10,49,90739333,42369
8,5703,67.7,1.7,113468064,73408508,39518884,35,2520,7819780,1381764,3940032,1077952832,636,58,0,0,10,49,90739333,39596
9,6506,120,2.0,113468064,73408508,39518884,35,2520,7819780,1382956,3941224,1077952832,703,65,0,0,10,49,90739333,39224
10,7315,68.9,2.0,113468064,73408508,39518884,35,2520,7819780,1357940,3925460,1077952832,759,68,0,0,10,49,90739333,33881
11,8075,76.6,1.8,113468064,73408508,39518884,35,2520,7819780,1372336,3939856,1077952832,818,72,0,0,10,49,90739333,40134
12,8819,68.9,1.6,113468064,73408508,39518884,35,2520,7819780,1381232,3939312,1077952832,874,77,0,0,10,49,90739333,36642
13,9531,113,1.9,113468064,73408508,39518884,35,2520,7819780,1380812,3949188,1077952832,949,83,0,0,10,49,90739333,36331
14,10292,93.1,1.9,113468064,73408508,39518884,35,2520,7819780,1388120,3964420,1077952832,1007,89,0,0,10,49,90739333,37552
15,11047,96.5,2.0,113468064,73408508,39518884,35,2520,7819780,1357260,3934888,4211008,1069,95,0,0,10,49,90739333,38879
16,11784,86.6,2.0,113468064,73408508,39518884,35,2520,7819780,1365828,3934204,1077952832,1142,98,0,0,10,49,90739333,35543
17,12546,76.6,1.9,113468064,73408508,39518884,35,2520,7819780,1375556,3940764,1077952832,1202,103,0,0,10,49,90739333,41189
18,13344,80.0,1.9,113468064,73408508,39518884,35,2520,7819780,1379392,3944600,1077952832,1265,111,0,0,10,49,90739333,40962
19,14122,54.8,1.8,113468064,73408508,39518884,35,2520,7819780,1379748,3944956,1077952832,1324,114,0,0,10,49,90739333,39873
20,14886,103,2.1,113468064,73408508,39518884,35,2520,7819780,1385456,3950672,1077952832,1400,119,0,0,10,49,90739333,38315
21,15641,93.5,2.0,113468064,73408508,39518884,35,2520,7819780,1388004,3962472,1077952832,1464,124,0,0,10,49,90739333,39077
22,16389,82.7,2.0,113468064,73408508,39518884,35,2520,7819780,1391292,3965760,1077952832,1521,131,0,0,10,49,90739333,37674
23,17119,80.6,2.0,113468064,73408508,39518884,35,2520,7819780,1363360,3928576,1077952832,1579,138,0,0,10,49,90739333,36362
24,17880,76.6,1.8,113468064,73408508,39518884,35,2520,7819780,1367724,3932940,1077952832,1651,141,0,0,10,49,90739333,35042
25,18645,83.3,1.8,113468064,73408508,39518884,35,2520,7819780,1373192,3947660,1077952832,1703,151,0,0,10,49,90739333,40727
26,19386,77.4,1.6,113468064,73408508,39518884,35,2520,7819780,1375336,3949804,1077952832,1765,156,0,0,10,49,90739333,45338
27,20123,80.6,2.3,113468064,73408508,39518884,35,2520,7819780,1379500,3953968,1077952832,1824,161,0,0,10,49,90739333,43435
28,20875,96.6,2.2,113468064,73408508,39518884,35,2520,7819780,1393736,3969260,1077952832,1887,165,0,0,10,49,90739333,39588
29,21637,100,2.1,113468064,73408508,39518884,35,2520,7819780,1386276,3961800,1077952832,1951,171,0,0,10,49,90739333,41223
30,22378,96.5,2.2,113468064,73408508,39518884,35,2520,7819780,1360784,3936308,1077952832,2018,176,0,0,10,49,90739333,39026
31,23105,93.1,2.1,113468064,73408508,39518884,35,2520,7819780,1365776,3941300,1077952832,2077,181,0,0,10,49,90739333,45893
32,23864,110,1.9,113468064,73408508,39518884,35,2520,7819780,1375344,3941616,1077952832,2139,187,0,0,10,49,90739333,44438
33,24611,110,2.3,113468064,73408508,39518884,35,2520,7819780,1378112,3944384,1077952832,2200,192,0,0,10,49,90739333,43100
34,25376,116,1.8,113468064,73408508,39518884,35,2520,7819780,1379116,3945388,1077952832,2271,196,0,0,10,49,90739333,41833
35,26134,103,2.1,113468064,73408508,39518884,35,2520,7819780,1394388,3969912,1077952832,2350,198,0,0,10,49,90739333,38308
36,26885,90.3,2.0,113468064,73408508,39518884,35,2520,7819780,1388272,3963796,1077952832,2413,200,0,0,10,49,90739333,39472
37,27641,93.5,2.0,113468064,73408508,39518884,35,2520,7819780,1358068,3933592,1077952832,2480,206,0,0,10,49,90739333,36252
38,28398,79.3,1.9,113468064,73408508,39518884,35,2520,7819780,1364860,3940384,1077952832,2546,211,0,0,10,49,90739333,43215
39,29144,93.3,1.8,113468064,73408508,39518884,35,2520,7819780,1370772,3946296,1077952832,2611,216,0,0,10,48,90739333,40275
40,29893,100,2.1,113468064,73408540,39518852,35,2520,7819780,1383884,3959376,1077952832,2670,222,0,0,10,48,90739333,37874
41,30650,77.4,1.9,113468064,73408540,39518852,35,2520,7819780,1358520,3934012,1077952832,2726,229,0,0,10,48,90739333,31899
42,31409,86.6,1.7,113468064,73408540,39518852,35,2520,7819780,1367696,3943188,1077952832,2789,232,0,0,10,48,90739333,33339
43,32167,93.5,1.8,113468064,73408540,39518852,35,2520,7819780,1363464,3929704,1077952832,2855,239,0,0,10,48,90739333,32490
44,32948,90.0,1.7,113468064,73408540,39518852,35,2520,7819780,1369512,3935752,1077952832,2925,240,0,0,10,48,90739333,43561
45,33696,90.3,1.7,113468064,73408540,39518852,35,2520,7819780,1376112,3943756,1077952832,2991,248,0,0,10,48,90739333,40894
46,34479,80.6,1.8,113468064,73408540,39518852,35,2520,7819780,1376520,3945172,1077952832,3054,254,0,0,10,48,90739333,41364
47,35244,100,2.2,113468064,73408540,39518852,35,2520,7819780,1382872,3958372,1077952832,3113,259,0,0,10,48,90739333,40675
48,36003,93.3,2.1,113468064,73408540,39518852,35,2520,7819780,1384848,3960348,1077952832,3176,265,0,0,10,48,90739333,37910
49,36763,90.0,2.0,113468064,73408540,39518852,35,2520,7819780,1382708,3949592,4211008,3237,270,0,0,10,48,90739333,38491
50,37502,106,2.0,113468064,73408540,39518852,35,2520,7819780,1388124,3954372,1077952832,3323,275,0,0,10,48,90739333,36278
51,38259,103,1.9,113468064,73408540,39518852,35,2520,7819780,1359296,3934796,1077952832,3394,281,0,0,10,48,90739333,40527
52,39005,89.6,2.1,113468064,73408540,39518852,35,2520,7819780,1359740,3935240,1077952832,3452,286,0,0,10,48,90739333,46890
53,39746,82.7,1.9,113468064,73408540,39518852,35,2520,7819780,1370380,3945880,1077952832,3515,293,0,0,10,48,90739333,44721
54,40485,106,2.4,113468064,73408540,39518852,35,2520,7819780,1377396,3952900,1077952832,3577,301,0,0,10,48,90739333,42845
55,41242,82.7,2.2,113468064,73408540,39518852,35,2520,7819780,1382320,3957824,1077952832,3632,305,0,0,10,48,90739333,41570
