
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: headless_fb_honest
--------------------------------------------------------------------------------

Application output directory created at: output/headless_fb_honest
Output will be written to file: output/headless_fb_honest/headless_fb_honest.2020-08-13.053651.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb
\t Application local name: \t\t headless_fb_honest
\t Run time (milliseconds): \t\t\t 270000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=12ms (0ms mobile, 0ms wifi, 12ms not connected)

--------------------------------------------------------------------------------

App PID: 15101
Trial start time (ms): 1597311411777

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,53.3,2.3,113468064,73927588,38999804,35,99384,7819780,939656,4238700,1077952832,745,76,0,0,10,37,34971559,41535
2,2252,68.9,2.0,113468064,73927588,38999804,35,99384,7819780,925644,4227528,4211008,826,85,0,0,10,37,34971559,45373
3,3985,66.6,2.3,113468064,73927588,38999804,35,99384,7819780,938484,4248444,1077952832,926,93,0,0,10,37,34971559,41582
4,5703,36.6,2.1,113468064,73927588,38999804,35,99384,7819780,923012,4224264,1077952832,1002,103,0,0,10,37,34971559,46208
5,7442,51.7,2.3,113468064,73927588,38999804,35,99384,7819780,941048,4251012,1077952832,1080,115,0,0,10,37,34971559,40670
6,9148,43.3,2.0,113468064,73927588,38999804,35,99384,7819780,929008,4230264,1077952832,1156,125,0,0,10,37,34971559,45024
7,10929,55.1,2.2,113468064,73927588,38999804,35,99384,7819780,915404,4218452,1077952832,1239,131,0,0,10,37,34971559,39390
8,12666,51.7,2.4,113468064,73927588,38999804,35,99384,7819780,933196,4241368,1077952832,1321,139,0,0,10,37,34971559,43514
9,14364,60.0,2.2,113468064,73927488,38999904,35,99384,7819780,917664,4219448,1077952832,1394,146,0,0,10,37,34971559,46400
10,16085,66.6,2.3,113468064,73927488,38999904,35,99384,7819780,938100,4239884,1077952832,1468,159,0,0,10,37,34971559,42343
11,17827,58.0,2.1,113468064,73927488,38999904,35,99384,7819780,924252,4226036,1077952832,1557,167,0,0,10,37,34971559,45265
12,19605,56.6,2.2,113468064,73927552,38999840,35,99384,7819780,941992,4252420,1077952832,1636,176,0,0,10,36,34971559,40287
13,21318,43.3,2.0,113468064,73927552,38999840,35,99384,7819780,929040,4239468,1077952832,1707,182,0,0,10,36,34971559,42947
14,23002,58.6,2.1,113468064,73927552,38999840,35,99384,7819780,918532,4228960,1077952832,1792,193,0,0,10,36,34971559,44935
15,24769,56.6,2.3,113468064,73927624,38999768,35,99384,7819780,937780,4240056,1077952832,1877,200,0,0,10,36,34971559,40466
16,26474,36.6,2.0,113468064,73927624,38999768,35,99384,7819780,922480,4224756,1077952832,1958,208,0,0,10,36,34971559,44664
17,28205,62.0,2.2,113468064,73927624,38999768,35,99384,7819780,938796,4241072,4211008,2044,216,0,0,10,36,34971559,40229
18,29939,46.8,2.0,113468064,73927624,38999768,35,99384,7819780,922464,4225296,4211008,2134,223,0,0,10,36,34971559,44149
19,31748,51.6,2.2,113468064,73927624,38999768,35,99384,7819780,907916,4218104,1077952832,2219,234,0,0,10,36,34971559,39727
20,33528,51.6,2.0,113468064,73927624,38999768,35,99384,7819780,923264,4226112,4211008,2294,239,0,0,10,36,34971559,43939
