
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: headless_fb_honest
--------------------------------------------------------------------------------

Application output directory created at: output/headless_fb_honest
Output will be written to file: output/headless_fb_honest/headless_fb_honest.2020-08-13.053153.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb
\t Application local name: \t\t headless_fb_honest
\t Run time (milliseconds): \t\t\t 270000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=9ms (0ms mobile, 0ms wifi, 9ms not connected)

--------------------------------------------------------------------------------

App PID: 31685
Trial start time (ms): 1597311113216

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,63.3,2.0,113468064,74046248,38881144,35,2520,7819780,1040116,4179080,1077952832,1921,246,0,0,10,36,34939461,46492
2,2275,53.3,2.0,113468064,74046248,38881144,35,2520,7819780,1042332,4175212,1077952832,2003,262,0,0,10,36,34939461,45595
3,3997,72.4,2.2,113468064,74046248,38881144,35,2520,7819780,1052016,4194148,1077952832,2091,271,0,0,10,36,34939461,42229
4,5748,74.1,2.2,113468064,74046248,38881144,35,2520,7819780,1055568,4197704,1077952832,2179,285,0,0,10,36,34939461,40559
5,7528,66.6,2.2,113468064,74046248,38881144,35,2520,7819780,1059724,4192608,1077952832,2263,300,0,0,10,36,34939461,41680
6,9282,48.2,2.1,113468064,74046248,38881144,35,2520,7819780,1035688,4168572,1077952832,2344,305,0,0,10,36,34939461,47978
7,11010,48.3,2.0,113468064,74046248,38881144,35,2520,7819780,1045980,4179632,1077952832,2428,316,0,0,10,36,34939461,44899
8,12715,45.1,2.3,113468064,74046248,38881144,35,2520,7819780,1053012,4185896,1077952832,2512,325,0,0,10,36,34939461,41431
9,14437,58.6,2.2,113468064,74046248,38881144,35,2520,7819780,1060460,4202596,1077952832,2601,339,0,0,10,36,34939461,41340
10,16147,53.3,2.2,113468064,74046248,38881144,35,2520,7819780,1037224,4170108,1077952832,2683,352,0,0,10,36,34939461,39451
11,17912,55.1,2.0,113468064,74046248,38881144,35,2520,7819780,1042036,4174920,1077952832,2766,366,0,0,10,36,34939461,44678
12,19610,46.6,2.0,113468064,74046248,38881144,35,2520,7819780,1045360,4178244,4211008,2854,379,0,0,10,36,34939461,44052
13,21328,50.0,2.3,113468064,74046248,38881144,35,2520,7819780,1053740,4186624,1077952832,2951,386,0,0,10,36,34939461,42289
14,23045,62.0,2.2,113468064,74046248,38881144,35,2520,7819780,1058168,4200304,1077952832,3039,401,0,0,10,36,34939461,41256
15,24782,58.6,2.1,113468064,74046248,38881144,35,2520,7819780,1065176,4207312,1077952832,3135,410,0,0,10,36,34939461,39485
16,26565,41.9,2.1,113468064,74046248,38881144,35,2520,7819780,1043140,4176024,4211008,3217,422,0,0,10,36,34939461,38923
17,28330,44.8,2.1,113468064,74046280,38881112,35,2520,7819780,1047752,4180604,1077952832,3291,434,0,0,10,36,34939461,45175
18,30051,82.7,2.3,113468064,74046280,38881112,35,2520,7819780,1056088,4198192,1077952832,3374,448,0,0,10,36,34939461,41926
19,31742,60.6,2.2,113468064,74046280,38881112,35,2520,7819780,1057048,4189900,1077952832,3464,457,0,0,10,36,34939461,43155
20,33534,56.6,2.2,113468064,74046280,38881112,35,2520,7819780,1060376,4193228,1077952832,3550,469,0,0,10,36,34939461,41206
21,35305,68.9,2.2,113468064,74046280,38881112,35,2520,7819780,1062068,4194920,1077952832,3633,483,0,0,10,36,34939461,42263
22,37075,65.5,2.1,113468064,74046280,38881112,35,2520,7819780,1061868,4203976,1077952832,3727,495,0,0,10,36,34939461,40879
23,38847,58.6,2.2,113468064,74046280,38881112,35,2520,7819780,1009304,4152144,1077952832,3814,509,0,0,10,36,34939461,39585
24,40601,60.0,2.0,113468064,74046840,38880552,35,2520,7819780,1065664,4208528,1077952832,3891,518,0,0,10,36,34939461,45910
25,42392,60.0,2.0,113468064,74046840,38880552,35,2520,7819780,1069856,4203468,1077952832,3984,524,0,0,10,36,34939461,45113
26,44112,56.6,2.3,113468064,74046840,38880552,35,2520,7819780,1083996,4226860,1077952832,4068,535,0,0,10,36,34939461,41546
27,45865,77.4,2.2,113468064,74046840,38880552,35,2520,7819780,1085928,4228760,1077952832,4172,544,0,0,10,36,34939461,41270
28,47668,56.6,2.2,113468064,74046840,38880552,35,2520,7819780,1090452,4224036,1077952832,4257,557,0,0,10,36,34939461,41107
