
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: headless_fb_malicious
--------------------------------------------------------------------------------

Application output directory created at: output/headless_fb_malicious
Output will be written to file: output/headless_fb_malicious/headless_fb_malicious.2020-08-13.054222.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb_mal
\t Application local name: \t\t headless_fb_malicious
\t Run time (milliseconds): \t\t\t 270000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb_mal
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=22ms (0ms mobile, 0ms wifi, 22ms not connected)

--------------------------------------------------------------------------------

App PID: 32448
Trial start time (ms): 1597311742063

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,231,2.3,113468064,73956976,38970416,35,96888,7819780,532716,4012292,1077952832,812,38,0,0,10,54,35005500,49746
2,2252,216,3.1,113468064,73956972,38970420,35,96888,7819780,480976,3970032,1077952832,1178,55,0,0,10,50,35005500,39727
3,3944,217,1.9,113468064,73956972,38970420,35,96888,7819780,554756,4035632,1077952832,1518,62,0,0,10,50,35005500,41742
4,5628,223,2.0,113468064,73957004,38970388,35,96888,7819780,544520,4033552,1077952832,1887,79,0,0,10,50,35005500,34573
5,7337,213,1.7,113468064,73957172,38970220,35,96888,7819780,557864,4038024,4211008,2235,93,0,0,10,50,35005500,39627
6,9016,203,1.8,113468064,73957172,38970220,35,96888,7819780,554020,4042888,1077952832,2581,107,0,0,10,50,35005500,38494
7,10739,219,2.2,113468064,73957168,38970224,35,96888,7819780,566384,4050368,1077952832,2922,127,0,0,10,50,35005500,40879
8,12462,196,1.9,113468064,73959524,38967868,35,96888,7819780,550680,4030848,1077952832,3263,138,0,0,10,50,35005500,42766
9,14212,200,2.0,113468064,73959516,38967876,35,96888,7819780,506972,3987456,1077952832,3619,149,0,0,10,50,35005500,41893
10,15936,180,2.2,113468064,73959516,38967876,35,96888,7819780,531440,4020636,1077952832,3922,165,0,0,10,50,35005500,40111
11,17700,223,1.9,113468064,73959516,38967876,35,96888,7819780,509928,3999124,1077952832,4248,179,0,0,10,50,35005500,44285
12,19455,182,2.2,113468064,73959516,38967876,35,96888,7819780,521272,4001760,1077952832,4576,191,0,0,10,50,35005500,39979
13,21159,174,1.9,113468064,73959516,38967876,35,96888,7819780,507088,3990744,1077952832,4880,201,0,0,10,50,35005500,30810
14,22916,145,1.5,113468064,73959516,38967876,35,96888,7819780,521644,4014008,1077952832,5206,207,0,0,10,50,35005500,37922
15,24697,150,1.8,113468064,73959516,38967876,35,96888,7819780,530128,4018060,1077952832,5519,213,0,0,10,50,35005500,31977
16,26435,179,1.5,113468064,73959504,38967888,35,96888,7819780,513328,3996984,1077952832,5826,225,0,0,10,50,35005500,35472
17,28152,158,2.2,113468064,73959492,38967900,35,96888,7819780,506036,3998408,1077952832,6114,236,0,0,10,49,35005500,39522
18,29892,165,2.0,113468064,73959488,38967904,35,96888,7819780,522888,4006564,1077952832,6414,244,0,0,10,49,35005500,43812
19,31655,186,2.2,113468064,73959488,38967904,35,96888,7819780,535348,4027732,1077952832,6717,256,0,0,10,49,35005500,37119
20,33398,206,2.0,113468064,73959488,38967904,35,96888,7819780,513244,4005632,4211008,7033,266,0,0,10,49,35005500,44863
21,35168,164,2.2,113468064,73959488,38967904,35,96888,7819780,530148,4022536,1077952832,7353,275,0,0,10,49,35005500,38145
22,36924,132,2.1,113468064,73959488,38967904,35,96888,7819780,516004,3999684,4211008,7647,288,0,0,10,49,35005500,46529
23,38672,174,2.3,113468064,73959488,38967904,35,96888,7819780,535608,4019288,1077952832,7956,306,0,0,10,49,35005500,39183
24,40420,165,2.0,113468064,73959488,38967904,35,96888,7819780,517260,4001492,1077952832,8266,315,0,0,10,49,35005500,44003
25,42208,160,2.1,113468064,73959488,38967904,35,96888,7819780,539572,4023252,1077952832,8571,328,0,0,10,49,35005500,38315
26,43944,210,1.9,113468064,73959488,38967904,35,96888,7819780,514996,4007388,4211008,8882,343,0,0,10,49,35005500,39959
27,45667,196,1.9,113468064,73959488,38967904,35,96888,7819780,525756,4018148,1077952832,9190,357,0,0,10,49,35005500,42162
28,47340,162,2.0,113468064,73959488,38967904,35,96888,7819780,512684,3996368,1077952832,9484,362,0,0,10,49,35005500,44997
29,49035,179,2.2,113468064,73959488,38967904,35,96888,7819780,534368,4026760,1077952832,9780,375,0,0,10,49,35005500,39335
30,50768,158,2.0,113468064,73959488,38967904,35,96888,7819780,516440,4000124,1077952832,10094,384,0,0,10,49,35005500,43880
31,52546,146,2.1,113468064,73959488,38967904,35,96888,7819780,538468,4030700,1077952832,10383,394,0,0,10,49,35005500,34921
32,54284,156,1.9,113468064,73959488,38967904,35,96888,7819780,518208,4010600,1077952832,10672,406,0,0,10,49,35005500,43640
33,56037,164,2.1,113468064,73959488,38967904,35,96888,7819780,532760,4016444,1077952832,10996,417,0,0,10,49,35005500,38258
34,57790,213,1.8,113468064,73959488,38967904,35,96888,7819780,513076,4005468,1077952832,11284,429,0,0,10,48,35005500,39879
35,59544,161,2.0,113468064,73959676,38967716,35,96888,7819780,536056,4019552,1077952832,11569,444,0,0,10,49,35005500,35535
36,61291,129,1.7,113468064,73959676,38967716,35,96888,7819780,518260,4001756,1077952832,11860,454,0,0,10,49,35005500,38326
37,63050,196,1.8,113468064,73959676,38967716,35,96888,7819780,533100,4016596,1077952832,12179,471,0,0,10,49,35005500,38949
38,64818,155,1.9,113468064,73959676,38967716,35,96888,7819780,515808,3999308,1077952832,12463,479,0,0,10,49,35005500,41547
39,66512,200,2.0,113468064,73959676,38967716,35,96888,7819780,532480,4015980,1077952832,12774,490,0,0,10,49,35005500,37229
40,68210,187,1.9,113468064,73959676,38967716,35,96888,7819780,520088,4012296,1077952832,13071,502,0,0,10,49,35005500,43718
41,69964,196,2.2,113468064,73959676,38967716,35,96888,7819780,537108,4029320,4211008,13385,513,0,0,10,49,35005500,40489
42,71735,189,1.9,113468064,73959676,38967716,35,96888,7819780,522036,4005540,1077952832,13691,523,0,0,10,49,35005500,42793
43,73448,170,2.1,113468064,73959676,38967716,35,96888,7819780,533072,4016576,1077952832,13989,541,0,0,10,49,35005500,37650
44,75198,174,1.8,113468064,73959676,38967716,35,96888,7819780,515948,4008160,1077952832,14300,550,0,0,10,49,35005500,34442
45,76955,148,1.7,113468064,73959676,38967716,35,96888,7819780,520388,4004452,1077952832,14602,562,0,0,10,49,35005500,37738
46,78709,166,2.0,113468064,73959676,38967716,35,96888,7819780,505056,3988568,1077952832,14920,573,0,0,10,49,35005500,34800
47,80484,170,2.1,113468064,73959676,38967716,35,96888,7819780,529548,4021768,1077952832,15208,588,0,0,10,49,35005500,37348
48,82245,200,2.1,113468064,73959676,38967716,35,96888,7819780,508236,4000456,1077952832,15494,603,0,0,10,49,35005500,45382
49,83922,193,2.1,113468064,73959676,38967716,35,96888,7819780,525856,4018076,1077952832,15776,614,0,0,10,49,35005500,40958
50,85650,209,2.0,113468064,73959676,38967716,35,96888,7819780,509504,4001724,1077952832,16096,625,0,0,10,49,35005500,45258
51,87414,193,2.4,113468064,73959676,38967716,35,96888,7819780,528688,4020908,4211008,16482,639,0,0,10,49,35005500,43374
52,89193,200,2.1,113468064,73959676,38967716,35,96888,7819780,514452,4006656,1077952832,16882,649,0,0,10,49,35005500,46000
53,90982,206,2.4,113468064,73959676,38967716,35,96888,7819780,529252,4021472,4211008,17265,658,0,0,10,49,35005500,44056
54,92723,237,2.1,113468064,73959676,38967716,35,96888,7819780,516500,4000564,1077952832,17647,674,0,0,10,49,35005500,45757
55,94441,234,2.3,113468064,73959676,38967716,35,96888,7819780,498184,3990408,1077952832,17996,688,0,0,10,49,35005500,39746
56,96122,226,2.0,113468064,73959676,38967716,35,96888,7819780,534356,4017872,1077952832,18366,699,0,0,10,49,35005500,45818
57,97884,210,2.2,113468064,73959676,38967716,35,96888,7819780,516396,4000464,1077952832,18744,710,0,0,10,49,35005500,42405
58,99617,203,2.0,113468064,73959676,38967716,35,96888,7819780,532176,4017484,1077952832,19116,721,0,0,10,49,35005500,45178
59,101359,231,2.4,113468064,73959676,38967716,35,96888,7819780,547000,4039224,1077952832,19481,735,0,0,10,49,35005500,41705
60,103110,183,2.0,113468064,73959676,38967716,35,96888,7819780,531032,4023256,1077952832,19802,744,0,0,10,49,35005500,43418
61,104817,193,2.1,113468064,73959676,38967716,35,96888,7819780,546672,4038896,1077952832,20119,753,0,0,10,49,35005500,37347
62,106573,183,1.6,113468064,73959676,38967716,35,96888,7819780,531536,4023368,1077952832,20428,765,0,0,10,49,35005500,39443
63,108319,170,2.3,113468064,73959676,38967716,35,96888,7819780,514056,3997180,1077952832,20753,784,0,0,10,49,35005500,40366
64,110067,144,1.9,113468064,73959676,38967716,35,96888,7819780,533592,4016716,1077952832,21050,795,0,0,10,49,35005500,43041
65,111812,180,2.1,113468064,73959676,38967716,35,96888,7819780,512424,4004256,1077952832,21371,807,0,0,10,49,35005500,36283
66,113572,200,1.7,113468064,73959676,38967716,35,96888,7819780,533856,4025680,1077952832,21680,817,0,0,10,49,35005500,37215
67,115311,153,1.7,113468064,73959676,38967716,35,96888,7819780,516880,3996840,1077952832,21981,836,0,0,10,49,35005500,32201
68,117090,231,2.0,113468064,73959676,38967716,35,96888,7819780,533548,4015300,1077952832,22374,842,0,0,10,49,35005500,35718
69,118814,190,1.7,113468064,73959676,38967716,35,96888,7819780,517816,4006484,1077952832,22763,856,0,0,10,49,35005500,37583
70,120578,227,2.1,113468064,73959676,38967716,35,96888,7819780,534080,4014044,1077952832,23160,874,0,0,10,49,35005500,41021
71,122300,224,2.2,113468064,73959676,38967716,35,96888,7819780,520804,4002560,1077952832,23573,888,0,0,10,49,35005500,48447
72,124022,234,2.3,113468064,73959676,38967716,35,96888,7819780,540460,4020424,1077952832,23982,907,0,0,10,49,35005500,44310
73,125704,222,2.2,113468064,73959676,38967716,35,96888,7819780,521272,4001236,1077952832,24386,920,0,0,10,49,35005500,47307
74,127415,190,2.4,113468064,73959676,38967716,35,96888,7819780,540608,4029284,1077952832,24761,935,0,0,10,49,35005500,43733
75,129161,183,2.1,113468064,73959676,38967716,35,96888,7819780,524516,4013192,4211008,25148,944,0,0,10,49,35005500,48706
76,130944,241,2.3,113468064,73959676,38967716,35,96888,7819780,515496,3995464,1077952832,25570,956,0,0,10,49,35005500,38840
77,132691,272,2.4,113468064,73959676,38967716,35,96888,7819780,535936,4024612,1077952832,25991,965,0,0,10,49,35005500,46516
78,134449,209,2.3,113468064,73959676,38967716,35,96888,7819780,517904,3997872,1077952832,26410,973,0,0,10,49,35005500,48877
79,136236,200,2.4,113468064,73959676,38967716,35,96888,7819780,533948,4022624,1077952832,26827,981,0,0,10,49,35005500,43940
80,137987,190,2.0,113468064,73959676,38967716,35,96888,7819780,515864,3997624,1077952832,27230,998,0,0,10,49,35005500,44587
81,139736,212,2.4,113468064,73959676,38967716,35,96888,7819780,535344,4015312,1077952832,27645,1007,0,0,10,49,35005500,42794
82,141471,234,2.0,113468064,73959676,38967716,35,96888,7819780,523820,4004340,1077952832,28019,1011,0,0,10,49,35005500,46998
83,143220,203,2.2,113468064,73959676,38967716,35,96888,7819780,538392,4018360,1077952832,28448,1023,0,0,10,49,35005500,37704
84,144982,231,2.1,113468064,73959676,38967716,35,96888,7819780,524584,4006664,1077952832,28852,1035,0,0,10,49,35005500,43205
85,146711,196,2.1,113468064,73959676,38967716,35,96888,7819780,514008,4004796,1077952832,29255,1051,0,0,10,49,35005500,41003
86,148480,310,1.9,113468064,73959596,38967796,35,96888,7819780,461392,3962636,1077952832,29691,1059,0,0,10,49,35005500,47409
87,150196,193,2.2,113468064,73959596,38967796,35,96888,7819780,459472,3969460,1077952832,30075,1072,0,0,10,49,35005500,46566
88,151939,232,2.4,113468064,73959596,38967796,35,96888,7819780,479960,3982368,1077952832,30464,1085,0,0,10,49,35005500,46292
89,153719,251,2.2,113468064,73959596,38967796,35,96888,7819780,464988,3974908,1077952832,30873,1103,0,0,10,49,35005500,46952
90,155457,235,2.2,113468064,73959596,38967796,35,96888,7819780,480952,3990860,1077952832,31264,1118,0,0,10,49,35005500,45996
91,157242,237,2.1,113468064,73959596,38967796,35,96888,7819780,467276,3977188,1077952832,31672,1128,0,0,10,49,35005500,44098
92,158978,193,2.1,113468064,73959596,38967796,35,96888,7819780,485944,3995860,1077952832,32061,1141,0,0,10,49,35005500,41507
93,160686,236,2.0,113468064,73959596,38967796,35,96888,7819780,471044,3980964,1077952832,32440,1153,0,0,10,49,35005500,46512
94,162457,196,2.3,113468064,73959596,38967796,35,96888,7819780,458788,3968604,1077952832,32753,1165,0,0,10,49,35005500,49162
95,164206,161,2.4,113468064,73959596,38967796,35,96888,7819780,489708,3999640,1077952832,33043,1177,0,0,10,49,35005500,42435
96,165962,151,2.0,113468064,73959596,38967796,35,96888,7819780,468688,3969916,1077952832,33332,1188,0,0,10,49,35005500,42799
97,167645,206,2.2,113468064,73959596,38967796,35,96888,7819780,489036,3990800,1077952832,33651,1196,0,0,10,49,35005500,45453
98,169392,182,2.2,113468064,73959596,38967796,35,96888,7819780,472940,3975960,1077952832,33955,1206,0,0,10,49,35005500,48473
99,171117,138,2.4,113468064,73959596,38967796,35,96888,7819780,461216,3962460,1077952832,34270,1213,0,0,10,49,35005500,42592
100,172890,182,2.5,113468064,73959556,38967836,35,96888,7819780,473920,3975264,1077952832,34551,1221,0,0,10,49,35005500,41213
101,174536,174,2.3,113468064,73959556,38967836,35,96888,7819780,455372,3956712,1077952832,34862,1235,0,0,10,49,35005500,48774
102,176221,186,2.4,113468064,73959556,38967836,35,96888,7819780,436656,3946724,1077952832,35156,1244,0,0,10,49,35005500,43301
103,177877,206,2.1,113468064,73959556,38967836,35,96888,7819780,464256,3974344,4211008,35506,1253,0,0,10,49,35005500,48648
