
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: headless_fb_malicious
--------------------------------------------------------------------------------

Application output directory created at: output/headless_fb_malicious
Output will be written to file: output/headless_fb_malicious/headless_fb_malicious.2020-08-13.054748.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb_mal
\t Application local name: \t\t headless_fb_malicious
\t Run time (milliseconds): \t\t\t 270000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb_mal
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=10ms (0ms mobile, 0ms wifi, 10ms not connected)

--------------------------------------------------------------------------------

App PID: 17756
Trial start time (ms): 1597312068945

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,93.7,2.0,113468064,74072208,38855184,35,99380,7819780,434696,3972388,1077952832,360,38,0,0,10,54,35038189,50733
2,2191,119,2.7,113468064,74072200,38855192,35,99380,7819780,454564,3983036,1077952832,509,54,0,0,10,54,35038189,39888
3,3927,87.0,2.2,113468064,74072200,38855192,35,99380,7819780,431960,3962336,1077952832,666,67,0,0,10,50,35038189,39071
4,5633,72.4,1.9,113468064,74072200,38855192,35,99380,7819780,446700,3977572,1077952832,810,86,0,0,10,50,35038189,42601
5,7349,106,2.1,113468064,74072200,38855192,35,99380,7819780,466260,3994800,1077952832,971,99,0,0,10,50,35038189,35643
6,9079,76.6,1.9,113468064,74072200,38855192,35,99380,7819780,475176,4012968,1077952832,1115,112,0,0,10,50,35038189,37863
7,10775,87.0,2.2,113468064,74072200,38855192,35,99380,7819780,461744,3999576,1077952832,1283,126,0,0,10,50,35038189,40695
8,12508,106,2.1,113468064,74072200,38855192,35,99380,7819780,459472,3988064,4211008,1426,145,0,0,10,50,35038189,39716
9,14245,103,2.3,113468064,74072232,38855160,35,99380,7819780,453500,3991312,1077952832,1588,164,0,0,10,50,35038189,43255
10,15987,87.0,2.3,113468064,74072232,38855160,35,99380,7819780,480180,4014568,1077952832,1747,179,0,0,10,50,35038189,41295
