
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: headless_fb-Object-Text-13pt5min
--------------------------------------------------------------------------------

Application output directory created at: output/headless_fb-Object-Text-13pt5min
Output will be written to file: output/headless_fb-Object-Text-13pt5min/headless_fb-Object-Text-13pt5min.2020-08-27.134122.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb
\t Application local name: \t\t headless_fb-Object-Text-13pt5min
\t Run time (milliseconds): \t\t\t 810000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=8ms (0ms mobile, 0ms wifi, 8ms not connected)

--------------------------------------------------------------------------------

App PID: 9752
Trial start time (ms): 1598550082505

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,26.6,1.9,113468064,72919444,40007948,36,3188,7819780,184624,3364948,1077952832,147,21,0,0,10,41,158839508,41907
2,1376,R,38.7,113468064,72919436,40007956,36,3188,7819780,163576,3343912,1077952832,167,23,0,0,10,41,158839508,47046
3,2186,45.1,2.4,113468064,72919436,40007956,36,3188,7819780,140880,3321212,1077952832,193,27,0,0,10,41,158839508,51365
4,3013,60.0,2.6,113468064,72919436,40007956,36,3188,7819780,209160,3388784,1077952832,227,32,0,0,10,37,158839508,36415
5,3837,26.6,1.9,113468064,72919436,40007956,36,3188,7819780,183128,3372004,1077952832,254,36,0,0,10,37,158839508,34217
6,4631,23.3,1.8,113468064,72919436,40007956,36,3188,7819780,193304,3382244,1077952832,276,42,0,0,10,37,158839508,39445
7,5438,32.2,2.0,113468064,72919436,40007956,36,3188,7819780,207884,3388340,1077952832,301,46,0,0,10,37,158839508,36816
8,6231,40.0,1.9,113468064,72919436,40007956,36,3188,7819780,186592,3366280,1077952832,323,49,0,0,10,37,158839508,42037
9,7019,R,36.6,113468064,72919436,40007956,36,3188,7819780,197124,3376812,1077952832,348,52,0,0,10,37,158839508,39202
10,7803,30.0,2.0,113468064,72919436,40007956,36,3188,7819780,199236,3388176,1077952832,374,54,0,0,10,37,158839508,37975
11,8533,55.1,1.9,113468064,72919436,40007956,36,3188,7819780,196056,3395696,1077952832,395,58,0,0,10,37,158839508,41866
12,9340,50.0,1.7,113468064,72919436,40007956,36,3188,7819780,209024,3408664,1077952832,423,63,0,0,10,37,158839508,38555
13,10122,27.5,2.0,113468064,72919436,40007956,36,3188,7819780,215496,3424388,1077952832,456,67,0,0,10,37,158839508,34567
14,10906,26.6,1.8,113468064,72919436,40007956,36,3188,7819780,232268,3441160,1077952832,477,73,0,0,10,37,158839508,39447
15,11715,R,63.3,113468064,72919436,40007956,36,3188,7819780,247348,3446988,4211008,505,76,0,0,10,37,158839508,36612
16,12476,40.0,1.9,113468064,72919436,40007956,36,3188,7819780,238184,3447076,1077952832,543,78,0,0,10,37,158839508,33776
17,13272,43.3,1.7,113468064,72919436,40007956,36,3188,7819780,248420,3457312,1077952832,578,81,0,0,10,37,158839508,39265
18,14080,55.1,2.0,113468064,72919436,40007956,36,3188,7819780,255024,3463916,1077952832,609,85,0,0,10,37,158839508,37687
19,14795,45.1,1.9,113468064,72919436,40007956,36,3188,7819780,232284,3431924,1077952832,631,87,0,0,10,37,158839508,42162
20,15555,48.3,1.7,113468064,72919436,40007956,36,3188,7819780,251660,3451300,1077952832,662,93,0,0,10,37,158839508,37952
21,16371,53.3,2.0,113468064,72919436,40007956,36,3188,7819780,263204,3462844,4211008,693,97,0,0,10,37,158839508,36467
22,17165,48.3,1.8,113468064,72919428,40007964,36,3188,7819780,242944,3442596,1077952832,721,99,0,0,10,37,158839508,40728
23,17948,41.9,1.7,113468064,72919428,40007964,36,3188,7819780,252172,3451824,1077952832,751,103,0,0,10,37,158839508,37952
24,18732,48.3,1.9,113468064,72919428,40007964,36,3188,7819780,262652,3462304,1077952832,784,105,0,0,10,37,158839508,35526
25,19534,45.4,1.9,113468064,72919428,40007964,36,3188,7819780,240836,3441272,1077952832,824,107,0,0,10,37,158839508,41648
26,20345,50.0,1.7,113468064,72919428,40007964,36,3188,7819780,253796,3453448,1077952832,856,109,0,0,10,37,158839508,38180
27,21156,23.3,2.0,113468064,72919428,40007964,36,3188,7819780,260016,3468936,1077952832,890,112,0,0,10,37,158839508,36871
28,21930,12.9,1.9,113468064,72919428,40007964,36,3188,7819780,239944,3448848,1077952832,917,117,0,0,10,37,158839508,41824
29,22717,55.1,2.2,113468064,72919428,40007964,36,3188,7819780,258220,3467128,1077952832,949,122,0,0,10,37,158839508,37305
30,23482,24.1,1.9,113468064,72919428,40007964,36,3188,7819780,239024,3447932,1077952832,984,126,0,0,10,37,158839508,34009
31,24250,31.0,1.7,113468064,72919428,40007964,36,3188,7819780,252720,3452376,4211008,1007,128,0,0,10,37,158839508,41587
32,25032,66.6,2.1,113468064,72919428,40007964,36,3188,7819780,264128,3463784,1077952832,1037,135,0,0,10,37,158839508,38049
33,25801,50.0,2.0,113468064,72919428,40007964,36,3188,7819780,240848,3441272,1077952832,1077,135,0,0,10,37,158839508,44375
34,26578,R,70.0,113468064,72919428,40007964,36,3188,7819780,252156,3461064,1077952832,1118,138,0,0,10,37,158839508,41255
35,27359,58.6,2.1,113468064,72919428,40007964,36,3188,7819780,259108,3468016,1077952832,1151,145,0,0,10,37,158839508,38984
36,28122,20.0,2.0,113468064,72919428,40007964,36,3188,7819780,235416,3444324,1077952832,1180,149,0,0,10,36,158839508,36484
37,28872,50.0,1.9,113468064,72919460,40007932,36,3188,7819780,243928,3443552,1077952832,1214,155,0,0,10,36,158839508,43020
38,29653,56.6,2.2,113468064,72919460,40007932,36,3188,7819780,254244,3463120,1077952832,1246,159,0,0,10,36,158839508,39386
39,30408,55.1,2.0,113468064,72919460,40007932,36,3188,7819780,233576,3442452,1077952832,1280,163,0,0,10,36,158839508,36638
40,31182,51.6,1.9,113468064,72919460,40007932,36,3188,7819780,241616,3441240,1077952832,1310,167,0,0,10,36,158839508,42319
41,31953,48.3,1.8,113468064,72919460,40007932,36,3188,7819780,247772,3456648,1077952832,1349,174,0,0,10,36,158839508,40413
42,32736,37.5,2.1,113468064,72919460,40007932,36,3188,7819780,258336,3457980,1077952832,1381,178,0,0,10,36,158839508,37982
43,33520,33.3,2.0,113468064,72919460,40007932,36,3188,7819780,236440,3436088,1077952832,1415,182,0,0,10,36,158839508,35609
44,34294,R,45.1,113468064,72919460,40007932,36,3188,7819780,243172,3452072,1077952832,1456,183,0,0,10,36,158839508,41827
45,35101,48.3,1.8,113468064,72919460,40007932,36,3188,7819780,254880,3454528,1077952832,1489,188,0,0,10,36,158839508,39976
46,35895,67.7,2.1,113468064,72919460,40007932,36,3188,7819780,270788,3470436,1077952832,1525,193,0,0,10,36,158839508,37328
47,36694,34.4,1.9,113468064,72919460,40007932,36,3188,7819780,242172,3451328,1077952832,1558,199,0,0,10,36,158839508,34095
48,37462,33.3,1.7,113468064,72919460,40007932,36,3188,7819780,255896,3465052,1077952832,1590,204,0,0,10,36,158839508,40562
49,38245,53.3,2.2,113468064,72919460,40007932,36,3188,7819780,265456,3465360,1077952832,1621,209,0,0,10,36,158839508,38710
50,38994,48.2,2.0,113468064,72919460,40007932,36,3188,7819780,237272,3446428,1077952832,1652,213,0,0,10,36,158839508,36300
51,39712,26.6,1.9,113468064,72919460,40007932,36,3188,7819780,246736,3455892,1077952832,1684,215,0,0,10,36,158839508,41524
52,40498,40.0,1.7,113468064,72919460,40007932,36,3188,7819780,258868,3468024,1077952832,1721,219,0,0,10,36,158839508,39052
53,41331,56.6,2.1,113468064,72919460,40007932,36,3188,7819780,267952,3467856,1077952832,1756,224,0,0,10,36,158839508,36456
54,42095,R,38.7,113468064,72919460,40007932,36,3188,7819780,244208,3453364,1077952832,1788,231,0,0,10,36,158839508,34687
55,42874,30.0,1.8,113468064,72919460,40007932,36,3188,7819780,252720,3461876,1077952832,1813,235,0,0,10,36,158839508,41808
56,43666,40.6,2.1,113468064,72919460,40007932,36,3188,7819780,263440,3472596,1077952832,1843,238,0,0,10,36,158839508,38268
57,44474,50.0,2.0,113468064,72919460,40007932,36,3188,7819780,240392,3440296,4211008,1868,247,0,0,10,36,158839508,35739
