
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: headless_fb-Object-Text-9min
--------------------------------------------------------------------------------

Application output directory created at: output/headless_fb-Object-Text-9min
Output will be written to file: output/headless_fb-Object-Text-9min/headless_fb-Object-Text-9min.2020-08-27.122455.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb
\t Application local name: \t\t headless_fb-Object-Text-9min
\t Run time (milliseconds): \t\t\t 540000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=18ms (0ms mobile, 0ms wifi, 18ms not connected)

--------------------------------------------------------------------------------

App PID: 20127
Trial start time (ms): 1598545495650

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,35.4,2.0,113468064,72861912,40065480,36,5432,7819780,336996,3532032,1077952832,1203,149,0,0,10,37,158378422,34701
2,1865,30.0,1.8,113468064,72861912,40065480,36,5432,7819780,345232,3543184,1077952832,1232,154,0,0,10,37,158378422,41143
3,2704,58.0,2.1,113468064,72861912,40065480,36,5432,7819780,355884,3561132,1077952832,1268,159,0,0,10,37,158378422,40863
4,3505,34.4,2.1,113468064,72861912,40065480,36,5432,7819780,361804,3567056,1077952832,1290,162,0,0,10,37,158378422,38117
5,4183,53.3,2.0,113468064,72861912,40065480,36,5432,7819780,342528,3547788,1077952832,1313,166,0,0,10,36,158378422,43313
6,4833,55.1,2.2,113468064,72861944,40065448,36,5432,7819780,358280,3554272,1077952832,1344,168,0,0,10,36,158378422,39678
7,5570,41.3,2.1,113468064,72861944,40065448,36,5432,7819780,337248,3533240,1077952832,1375,173,0,0,10,36,158378422,36977
8,6316,28.1,2.0,113468064,72861944,40065448,36,5432,7819780,342400,3547628,1077952832,1403,179,0,0,10,36,158378422,43597
9,7059,53.1,1.9,113468064,72861944,40065448,36,5432,7819780,348716,3545348,4211008,1432,185,0,0,10,36,158378422,42170
10,7831,55.1,2.2,113468064,72861944,40065448,36,5432,7819780,357864,3553860,1077952832,1459,193,0,0,10,36,158378422,42091
11,8603,32.2,2.2,113468064,72861944,40065448,36,5432,7819780,365040,3561672,1077952832,1496,193,0,0,10,36,158378422,38719
12,9338,53.3,2.0,113468064,72861944,40065448,36,5432,7819780,340704,3536712,1077952832,1526,197,0,0,10,36,158378422,44942
13,10069,62.0,1.9,113468064,72861944,40065448,36,5432,7819780,354916,3560176,1077952832,1562,202,0,0,10,37,158378422,44037
14,10824,40.0,2.3,113468064,72861944,40065448,36,5432,7819780,365632,3570892,1077952832,1589,206,0,0,10,37,158378422,40138
15,11526,33.3,2.0,113468064,72861944,40065448,36,5432,7819780,342480,3547740,1077952832,1622,209,0,0,10,37,158378422,37773
16,12170,30.0,1.9,113468064,72861944,40065448,36,5432,7819780,355224,3560484,1077952832,1648,211,0,0,10,37,158378422,42859
17,12906,62.0,2.2,113468064,72861944,40065448,36,5432,7819780,369076,3565084,1077952832,1678,214,0,0,10,37,158378422,40497
18,13598,37.9,2.1,113468064,72861944,40065448,36,5432,7819780,344732,3541508,1077952832,1705,221,0,0,10,37,158378422,39129
19,14320,45.1,2.0,113468064,72861944,40065448,36,5432,7819780,346960,3552220,1077952832,1741,223,0,0,10,37,158378422,44692
20,15041,63.3,1.9,113468064,72861944,40065448,36,5432,7819780,360316,3565576,1077952832,1775,228,0,0,10,37,158378422,42107
21,15737,64.5,2.2,113468064,72861944,40065448,36,5432,7819780,373356,3569368,1077952832,1809,234,0,0,10,37,158378422,40214
22,16493,35.4,2.1,113468064,72861944,40065448,36,5432,7819780,345852,3551140,1077952832,1838,239,0,0,10,37,158378422,37561
23,17221,41.3,1.9,113468064,72861944,40065448,36,5432,7819780,357852,3563140,1077952832,1864,244,0,0,10,37,158378422,42666
24,17933,34.4,2.2,113468064,72861944,40065448,36,5432,7819780,366464,3571768,1077952832,1887,248,0,0,10,37,158378422,40875
25,18601,35.4,2.1,113468064,72861944,40065448,36,5432,7819780,344836,3550148,1077952832,1922,248,0,0,10,37,158378422,37665
26,19350,33.3,1.9,113468064,72861944,40065448,36,5432,7819780,354208,3550268,1077952832,1947,250,0,0,10,37,158378422,43055
27,20082,53.3,2.3,113468064,72861944,40065448,36,5432,7819780,357652,3562964,1077952832,1976,256,0,0,10,37,158378422,43121
28,20810,45.1,2.2,113468064,72861944,40065448,36,5432,7819780,339828,3535888,1077952832,1998,262,0,0,10,37,158378422,37746
29,21569,41.9,1.9,113468064,72861944,40065448,36,5432,7819780,355368,3551428,4211008,2028,263,0,0,10,37,158378422,44124
30,22326,60.0,2.2,113468064,72861944,40065448,36,5432,7819780,362520,3558568,1077952832,2058,268,0,0,10,37,158378422,40709
31,23016,45.4,2.1,113468064,72861944,40065448,36,5432,7819780,337804,3543104,1077952832,2094,271,0,0,10,37,158378422,38586
32,23838,36.6,2.0,113468064,72861944,40065448,36,5432,7819780,348524,3544568,1077952832,2114,276,0,0,10,37,158378422,44820
33,24618,30.0,1.8,113468064,72861944,40065448,36,5432,7819780,360648,3565912,1077952832,2136,282,0,0,10,37,158378422,42147
34,25414,56.6,2.2,113468064,72861944,40065448,36,5432,7819780,371984,3568000,1077952832,2168,289,0,0,10,37,158378422,39350
