
--------------------------------------------------------------------------------
 \t MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
 \t TESTING APPLICATION: headless_fb_mal-Object-Text-9min
--------------------------------------------------------------------------------

Application output directory created at: output/headless_fb_mal-Object-Text-9min
Output will be written to file: output/headless_fb_mal-Object-Text-9min/headless_fb_mal-Object-Text-9min.2020-08-27.144933.csv

Running test script with params: 
\t Application package name: \t\t edu.temple.mar_security.headless_fb_mal
\t Application local name: \t\t headless_fb_mal-Object-Text-9min
\t Run time (milliseconds): \t\t\t 540000

  bash arg: -p
  bash arg: edu.temple.mar_security.headless_fb_mal
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=16ms (0ms mobile, 0ms wifi, 16ms not connected)

--------------------------------------------------------------------------------

App PID: 20194
Trial start time (ms): 1598554173256

TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,60.0,2.0,113468064,72913460,40013932,36,6032,7819780,676040,3794292,1077952832,288,29,0,0,10,54,159248597,43195
2,1232,50.0,2.2,113468064,72913456,40013936,36,6032,7819780,654984,3773244,1077952832,351,31,0,0,10,54,159248597,47983
3,2058,90.0,2.4,113468064,72913456,40013936,36,6032,7819780,639152,3757416,1077952832,403,33,0,0,10,54,159248597,51131
4,2747,72.4,2.6,113468064,72913456,40013936,36,6032,7819780,618356,3736620,1077952832,466,43,0,0,10,54,159248597,34902
5,3531,64.5,1.8,113468064,72913456,40013936,36,6032,7819780,670420,3788684,1077952832,535,45,0,0,10,50,159248597,41295
6,4292,117,2.1,113468064,72913456,40013936,36,6032,7819780,686080,3795092,1077952832,588,48,0,0,10,50,159248597,37548
7,4978,63.3,1.9,113468064,72913456,40013936,36,6032,7819780,669012,3786344,1077952832,630,55,0,0,10,50,159248597,40873
8,5652,63.3,2.1,113468064,72913456,40013936,36,6032,7819780,693800,3812064,1077952832,685,63,0,0,10,50,159248597,35762
9,6319,116,1.8,113468064,72913456,40013936,36,6032,7819780,674968,3783980,1077952832,743,64,0,0,10,50,159248597,41623
10,7071,50.0,1.8,113468064,72913456,40013936,36,6032,7819780,677728,3795992,1077952832,802,67,0,0,10,50,159248597,39362
11,7783,113,2.0,113468064,72913456,40013936,36,6032,7819780,660576,3769588,1077952832,863,69,0,0,10,50,159248597,43355
12,8537,79.3,1.7,113468064,72913456,40013936,36,6032,7819780,672128,3800492,1077952832,936,73,0,0,10,50,159248597,39678
13,9274,67.7,2.0,113468064,72913456,40013936,36,6032,7819780,686280,3814644,1077952832,997,77,0,0,10,50,159248597,36346
14,10051,55.1,1.9,113468064,72913456,40013936,36,6032,7819780,666072,3794436,1077952832,1042,80,0,0,10,50,159248597,40904
15,10792,103,2.1,113468064,72913456,40013936,36,6032,7819780,683984,3803096,1077952832,1106,82,0,0,10,50,159248597,34998
16,11509,61.2,1.8,113468064,72913456,40013936,36,6032,7819780,664280,3784028,1077952832,1176,84,0,0,10,50,159248597,41679
17,12218,100,2.1,113468064,72913456,40013936,36,6032,7819780,679796,3798908,1077952832,1235,85,0,0,10,50,159248597,36572
18,12874,83.3,1.9,113468064,72913456,40013936,36,6032,7819780,663340,3782452,1077952832,1277,88,0,0,10,50,159248597,41417
19,13630,100,1.7,113468064,72913456,40013936,36,6032,7819780,675132,3794244,1077952832,1345,91,0,0,10,50,159248597,37875
20,14345,63.3,1.9,113468064,72913456,40013936,36,6032,7819780,655964,3775076,4211008,1398,93,0,0,10,50,159248597,32943
21,15140,100,1.7,113468064,72913456,40013936,36,6032,7819780,668020,3787132,4211008,1461,98,0,0,10,50,159248597,39248
22,15911,113,2.0,113468064,72913456,40013936,36,6032,7819780,681180,3800292,1077952832,1522,102,0,0,10,50,159248597,36756
23,16581,66.6,1.9,113468064,72913456,40013936,36,6032,7819780,664796,3783908,1077952832,1569,103,0,0,10,50,159248597,40522
24,17353,96.7,2.0,113468064,72913456,40013936,36,6032,7819780,675636,3794748,4211008,1631,109,0,0,10,50,159248597,44735
25,18158,110,2.3,113468064,72913456,40013936,36,6032,7819780,684392,3803504,4211008,1685,115,0,0,10,50,159248597,42069
26,18937,83.3,2.2,113468064,72913456,40013936,36,6032,7819780,662208,3781376,4211008,1737,118,0,0,10,50,159248597,49495
27,19722,90.3,2.1,113468064,72913456,40013936,36,6032,7819780,673788,3802984,1077952832,1794,124,0,0,10,50,159248597,45792
28,20506,100,2.3,113468064,72913456,40013936,36,6032,7819780,650972,3780168,1077952832,1846,131,0,0,10,50,159248597,40250
29,21295,83.8,2.1,113468064,72913456,40013936,36,6032,7819780,661548,3793080,1077952832,1919,132,0,0,10,50,159248597,46076
30,22095,43.7,2.0,113468064,72913456,40013936,36,6032,7819780,673788,3805320,1077952832,1968,135,0,0,10,50,159248597,44102
31,22888,56.6,2.3,113468064,72914140,40013252,36,6032,7819780,692756,3823604,1077952832,2024,140,0,0,10,50,159248597,38469
32,23598,51.6,2.0,113468064,72914140,40013252,36,6032,7819780,664644,3795492,1077952832,2073,145,0,0,10,50,159248597,37428
33,24244,90.0,1.9,113468064,72914140,40013252,36,6032,7819780,671944,3795316,1077952832,2118,146,0,0,10,50,159248597,43284
